identifier,title,date,year,matched_keywords,kind,ia_detail_url
cia-readingroom-document-cia-rdp79-01090a000400060003-9,"CIA Reading Room cia-rdp79-01090a000400060003-9: OFFICE OF REPORTS AND ESTIMATES, CIA FAR EAST/PACIFIC BRANCH",1946-05-10,1946,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp79-01090a000400060003-9
cia-readingroom-document-cia-rdp78-01617a002800020001-8,CIA Reading Room cia-rdp78-01617a002800020001-8: CIA INTELLIGENCE GROUP SOVIET FOREIGN AND MILITARY POLICY,1946-07-23,1946,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002800020001-8
cia-readingroom-document-cia-rdp01-01773r000100100002-1,CIA Reading Room cia-rdp01-01773r000100100002-1: HANDWRITTEN NOTES,1947-02-26,1947,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp01-01773r000100100002-1
cia-readingroom-document-cia-rdp78-01617a002900100001-8,CIA Reading Room cia-rdp78-01617a002900100001-8: A COUNTRY REPORT ON BURMA TO THE SPECIAL AD HOC COMMITTEE BY THE SUBCOMMITTEE FOR THE NEAR AND MIDDLE EAST,1947-04-01,1947,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002900100001-8
cia-readingroom-document-cia-rdp78-01617a002900070001-2,CIA Reading Room cia-rdp78-01617a002900070001-2: SPECIAL AD HOC COMMITEE COUNTRY REPORT ON THE PHILLIPPINES,1947-06-23,1947,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002900070001-2
cia-readingroom-document-cia-rdp78-01617a003000240001-1,CIA Reading Room cia-rdp78-01617a003000240001-1: CENTRAL INTELLIGENCE AGENCY THE CURRENT SITUATION IN FRANCE,1947-12-31,1947,"""minor parties"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a003000240001-1
cia-readingroom-document-cia-rdp78-01617a004600020002-7,"CIA Reading Room cia-rdp78-01617a004600020002-7: OFFICE OF REPORTS AND ESTIMATES, CIA FAR EAST/PACIFIC BRANCH INTELLIGENCE HIGHLIGHTS -- WEEK OF 13 JANUARY - 19 JANUARY - 1948",1948-01-13,1948,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a004600020002-7
cia-readingroom-document-cia-rdp78-01617a002000030001-5,CIA Reading Room cia-rdp78-01617a002000030001-5: WEEKLY SUMMARY #3,1948-06-02,1948,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002000030001-5
cia-readingroom-document-cia-rdp78-01617a003100160001-9,CIA Reading Room cia-rdp78-01617a003100160001-9: THE SIGNIFICANCE OF THE WORLD FEDERATION OF TRADE UNIONS IN THE PRESENT POWER CONFLICE,1948-06-14,1948,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a003100160001-9
cia-readingroom-document-cia-rdp78-01617a002000050001-3,CIA Reading Room cia-rdp78-01617a002000050001-3: WEEKLY SUMMARY #5,1948-06-18,1948,"""third force"" China",concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002000050001-3
cia-readingroom-document-cia-rdp78-01617a002000110001-6,CIA Reading Room cia-rdp78-01617a002000110001-6: WEEKLY REPORT #11,1948-07-30,1948,Coalition Government China 1946,concept,https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002000110001-6
