identifier,title,date,matched_keywords,is_meng,decision,meng_mentions,people,summary_zh,review_method,evidence_snippet,ia_detail_url
cia-readingroom-document-cia-rdp80-00809a000600390004-4,CIA Reading Room cia-rdp80-00809a000600390004-4: COUNTERREVOLUTIONARY ACTIVITIES IN CHINA,1951-04-13,"""Political Consultative"" 1946; ""third force"" China",True,related,民盟人物: wen i-to,wen i-to,OCR 出现民盟核心人物姓名，虽未必直接提及民盟组织名，但与民盟史研究密切相关。,local_rules,"1 cases involving insurrection plots, and confiscated 113 pieces of radio equipment. Among the KMT agents captured were Hsiung Fu-kuang (103), who murdered Li Kung-p'u (104) and Wen I-to (105); and Hu Cheng-chao (106), who killed Tu Pin-ch'eng (107), a Democratic League official in Sian. Among those captured and later executed were two murderers belonging to Ch || sion in the Far East. The paper also stated that the members of the Youth Party are collaborating with Japanese agents to counterfeit",https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600390004-4
cia-readingroom-document-cia-rdp79r01012a000500040040-0,CIA Reading Room cia-rdp79r01012a000500040040-0: POSSIBLE NIE ON INDIA'S POSITION IN THE WORLD BALANCE OF POWER,1950-01-05,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"the country. 7, Although the Government of India continues to pursue a ""middle course"" in the East-West struggle, its faith in the concepts of an Asian accord and an Asiatic Third Force appears to be weakening. It recently turned to the US with a request for 2,000,000 tons of wheat, although admitting that it was in no position to pay for it. (At the same time,",https://archive.org/details/cia-readingroom-document-cia-rdp79r01012a000500040040-0
cia-readingroom-document-cia-rdp82-00457r004200290005-3,CIA Reading Room cia-rdp82-00457r004200290005-3: SITUATION IN SINKIANG PROVINCE,1950-01-26,"""Political Consultative"" 1946",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"ang Frovince FANTIVL a) CY Situation in Sinkiang Frovi CUNT! CD NO. NO. OF PAGES = 1 THIS 1S UNEVALUATED INFORMATION 1. The Sinkiang delegates to the Chinese People's Political Consultative Conference* returned to Sinkiang from “eiping prior to 8 January 1950. Their leader, Saifeddin Azizi**, has been appointed Vice Chairman of the Sinkiang Provincial Government**",https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r004200290005-3
cia-readingroom-document-cia-rdp78-01617a002300270001-6,CIA Reading Room cia-rdp78-01617a002300270001-6: WEEKLY SUMMARY #87,1950-01-27,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"increasing dissatisfaction over leftwing control of important Party posts and the leftwing policy of , Supporting “working - class’’ interests, has weakened Japan’s potential ‘“‘Third Force” and strengthened Conservative control over the government. -Under leftist leadership, the Socialist Party has made progress toward regaining trade union support, promoting",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002300270001-6
cia-readingroom-document-cia-rdp78-01617a001300320001-1,CIA Reading Room cia-rdp78-01617a001300320001-1: REVIEW OF THE WORLD SITUATION,1950-03-15,Coalition Government China 1946,False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"roubled days of 1946, rendered an essentially divided verdict despite the strong support accorded the left-center group under Plastiras. The effectiveness and stability of any coalition government which is formed will be impaired by the difficulty, in the face of a strong opposition, of reconciling the demands of its several nearly equal components. In- deed, it is quit",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a001300320001-1
cia-readingroom-document-cia-rdp82-00457r004500500008-3,CIA Reading Room cia-rdp82-00457r004500500008-3: DENIAL OF NEWS REPORTS BY CHANG FA-KNEI,1950-03-20,"""third party"" Chiang Kai-shek",False,skip,无,,OCR 缺/太短,ocr_missing,,https://archive.org/details/cia-readingroom-document-cia-rdp82-00457r004500500008-3
cia-readingroom-document-cia-rdp78-01617a003800070002-1,CIA Reading Room cia-rdp78-01617a003800070002-1: FRENCH LABOR UNREST IN 1950 AND ITS IMPLICATIONS FOR THE ATTAINMENT OF US OBJECTIVES IN WESTERN EUROPE,1950-04-10,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"in labor- management relations, and the inflationary impact resulting both from interruptions in the scheduled production of goods and from the expected rise in money wages. Third Force Governments—the only kind of French Government foreseeable with the present Assembly—will be increasingly vul- nerable to labor pressure, which can be ex- Note: The intellig",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a003800070002-1
cia-readingroom-document-cia-rdp67-00059a000500100013-1,CIA Reading Room cia-rdp67-00059a000500100013-1: REVIEW OF THE WORLD SITUATION AS IT RELATES TO THE SECURITY OF THE UNITED STATES,1950-06-12,"""third force"" China",False,exclude,无,,未发现民盟名称、民盟前身或核心人物，暂不入库。,local_rules,,https://archive.org/details/cia-readingroom-document-cia-rdp67-00059a000500100013-1
cia-readingroom-document-cia-rdp78-01617a001300350001-8,CIA Reading Room cia-rdp78-01617a001300350001-8: REVIEW OF THE WORLD SITUATION,1950-06-14,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"o concern lest the US convert the North Atlantic Treaty into an alli- ance in preparation for an early war rather than a commitment designed to deter the USSR from war. The “third force” idea, which has been crit- icized as incompatible with North Atlantic Treaty objectives, is not a serious problem for the North Atlantic alliance for the time being. 2. T",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a001300350001-8
cia-readingroom-document-cia-rdp78-01617a002300060001-9,CIA Reading Room cia-rdp78-01617a002300060001-9: WEEKLY SUMMARY #108,1950-06-23,"""third force"" China",False,background,无,,OCR 仅出现第三势力、联合政府、少数党派等背景概念，未发现民盟名称或核心人物。,local_rules,"o believe that Nehru will now align his country firmly against Communism as such or cooperate more closely with the West. Presumably still committed to the concept of Asia as a third force, Nehru might instead balance any possible offensive against the tactics of international Communism with a © parallel attack on the tactics of the West. Nehru’s stand against t",https://archive.org/details/cia-readingroom-document-cia-rdp78-01617a002300060001-9
