doc_key,grade,score,needs_review,reason
frus1943China/d232,核心文献,60,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位；文本信息量较高；命中民盟前身译名
frus1943China/d272,相关文献,40,0,组织词出现 1 次；涉及政治纲领；命中民盟前身译名
frus1943China/d310,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1944v06/d287,核心文献,79,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、政治纲领、压制/解散；文本信息量较高；命中民盟前身译名
frus1944v06/d329,相关文献,50,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位；命中民盟前身译名
frus1944v06/d349,相关文献,57,0,组织词出现 1 次；涉及组织定位、政治纲领；文本信息量较高；命中民盟前身译名
frus1944v06/d360,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1944v06/d380,相关文献,57,0,组织词出现 1 次；涉及组织定位、政治纲领；文本信息量较高；命中民盟前身译名
frus1944v06/d384,核心文献,62,0,组织词出现 2 次；涉及组织定位、政治纲领；文本信息量较高；命中民盟前身译名
frus1944v06/d385,核心文献,67,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位、政治纲领；文本信息量较高；命中民盟前身译名
frus1944v06/d400,相关文献,50,0,组织词出现 2 次；涉及组织定位；文本信息量较高；命中民盟前身译名
frus1944v06/d401,相关文献,42,0,组织词出现 2 次；涉及政治纲领；文本信息量较高
frus1944v06/d414,相关文献,47,0,组织词出现 1 次；命中民盟关键人物；涉及组织定位；文本信息量较高
frus1944v06/d421,背景材料,25,0,组织词弱命中或上下文较少，作为背景线索保留
frus1944v06/d445,核心文献,62,0,组织词出现 4 次；命中民盟关键人物；涉及组织定位；文本信息量较高
frus1944v06/d477,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1944v06/d478,相关文献,52,0,组织词出现 7 次；涉及政协/谈判；文本信息量较高
frus1945v07/d48,背景材料,29,0,组织词弱命中或上下文较少，作为背景线索保留
frus1945v07/d95,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1945v07/d137,相关文献,37,0,组织词出现 1 次；涉及组织定位；文本信息量较高
frus1945v07/d142,核心文献,76,0,组织词出现 2 次；命中民盟关键人物；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1945v07/d147,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1945v07/d169,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1945v07/d207,核心文献,61,0,组织词出现 1 次；涉及组织定位、政治纲领、政协/谈判；文本信息量较高
frus1945v07/d228,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
frus1945v07/d234,核心文献,64,0,组织词出现 6 次；涉及组织定位、政协/谈判；文本信息量较高
frus1945v07/d245,人物关联,20,0,由民盟重要人物异写触发，作为人物线索纳入资料库
