_matched_queries,題名,典藏號,全宗號,全宗名稱,全宗系列,隸屬卷名/件號,本件日期,卷件開始日期,卷件結束日期,密等,密等/解密紀錄,隱私問題,提供方式/地點,閱覽方式,數位化,應用限制,_collection,_identifier,入藏登錄號,內容描述,卷名,本卷日期,檔案年代,檔案系列,申請序號,相關人員,相關地點,調閱參照,資料類型,關鍵詞組
中國民主同盟; 民主同盟; 張瀾,青海省參議會議長馬元海等電國民政府主席蔣中正請對中國民主同盟主席張瀾等荒謬言論予以糾正並轉電美國說明真象以正是非,001-050060-00007-001,001,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,省參議會各項內政措施建議,1946/07/16 ~ 1946/07/16,1946/07/16,1946/07/16,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,001000004560A,001-050060-00007-001,001000004560A,青海省參議會議長馬元海等電國民政府主席蔣中正請對中國民主同盟主席張瀾等荒謬言論予以糾正並轉電美國說明真象以正是非,省參議會各項內政措施建議,,1946民國35年,國民政府/內政/內政總綱/檢討建議反映,001000004560A001-050060-00007-001,,,001000004560A001-050060-00007-001,文件,
中國民主同盟; 民主同盟; 張瀾,國民政府文官處函青海省參議會關於電請對中國民主同盟主席張瀾等荒謬言論予以糾正並轉電美國說明真象以正是非一案業奉主席閱悉,001-050060-00007-002,001,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,省參議會各項內政措施建議,1946/08/03 ~ 1946/08/03,1946/08/03,1946/08/03,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,001000004560A,001-050060-00007-002,001000004560A,國民政府文官處函青海省參議會關於電請對中國民主同盟主席張瀾等荒謬言論予以糾正並轉電美國說明真象以正是非一案業奉主席閱悉,省參議會各項內政措施建議,,1946民國35年,國民政府/內政/內政總綱/檢討建議反映,001000004560A001-050060-00007-002,,,001000004560A001-050060-00007-002,文件,
中國民主同盟; 民主同盟; 張瀾,四川省參議會議長向傳義等電國民政府為山東省參議會電以中國民主同盟主席張瀾等致電美國反對對華任何貸款請予以駁斥並轉電美國說明真像,001-050060-00007-003,001,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,省參議會各項內政措施建議,1946/07/22 ~ 1946/07/22,1946/07/22,1946/07/22,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,001000004560A,001-050060-00007-003,001000004560A,四川省參議會議長向傳義等電國民政府為山東省參議會電以中國民主同盟主席張瀾等致電美國反對對華任何貸款請予以駁斥並轉電美國說明真像,省參議會各項內政措施建議,,1946民國35年,國民政府/內政/內政總綱/檢討建議反映,001000004560A001-050060-00007-003,,,001000004560A001-050060-00007-003,文件,
中國民主同盟; 民主同盟; 張瀾,國民政府文官處函四川省參議會關於山東省參議會電以中國民主同盟主席張瀾等致電美國反對對華任何貸款請予以駁斥並轉電美國說明真像一案業奉主席閱悉,001-050060-00007-004,001,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,省參議會各項內政措施建議,1946/08/02 ~ 1946/08/02,1946/08/02,1946/08/02,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,001000004560A,001-050060-00007-004,001000004560A,國民政府文官處函四川省參議會關於山東省參議會電以中國民主同盟主席張瀾等致電美國反對對華任何貸款請予以駁斥並轉電美國說明真像一案業奉主席閱悉,省參議會各項內政措施建議,,1946民國35年,國民政府/內政/內政總綱/檢討建議反映,001000004560A001-050060-00007-004,,,001000004560A001-050060-00007-004,文件,
中國民主同盟; 民主同盟; 張瀾,浙江省臨時參議會議長朱獻文等電國民政府為中國民主同盟主席張瀾等致電美國民主黨議員反對盟邦對華增進友誼之所為祈賜糾正,001-050060-00007-005,001,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,省參議會各項內政措施建議,1946/08/07 ~ 1946/08/07,1946/08/07,1946/08/07,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,001000004560A,001-050060-00007-005,001000004560A,浙江省臨時參議會議長朱獻文等電國民政府為中國民主同盟主席張瀾等致電美國民主黨議員反對盟邦對華增進友誼之所為祈賜糾正,省參議會各項內政措施建議,,1946民國35年,國民政府/內政/內政總綱/檢討建議反映,001000004560A001-050060-00007-005,,,001000004560A001-050060-00007-005,文件,
中國民主同盟; 民主同盟; 張瀾,國民政府文官處函浙江省臨時參議會關於貴會電為中國民主同盟主席張瀾等致電美國民主黨議員反對盟邦對華增進友誼之所為祈賜糾正一案已奉主席閱悉,001-050060-00007-006,001,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,省參議會各項內政措施建議,1946/08/21 ~ 1946/08/21,1946/08/21,1946/08/21,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,001000004560A,001-050060-00007-006,001000004560A,國民政府文官處函浙江省臨時參議會關於貴會電為中國民主同盟主席張瀾等致電美國民主黨議員反對盟邦對華增進友誼之所為祈賜糾正一案已奉主席閱悉,省參議會各項內政措施建議,,1946民國35年,國民政府/內政/內政總綱/檢討建議反映,001000004560A001-050060-00007-006,,,001000004560A001-050060-00007-006,文件,
中國民主同盟; 民主同盟,川康軍人動態含成都某方面對時局陰謀文件與川康某種運動負責人名單等，中國民主同盟對抗戰最後階段的主要政治主張，周成虎呈潘文華有關四川預備計畫,002-080101-00039-006,002,蔣中正總統文物,蔣中正總統文物/ 特交檔案 / 分類資料 / 政治,川康滇黔政情 （二）,1944/00/00 ~ 1944/00/00,1944/00/00,1944/00/00,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000000973A,002-080101-00039-006,002000000973A,川康軍人動態含成都某方面對時局陰謀文件與川康某種運動負責人名單等，中國民主同盟對抗戰最後階段的主要政治主張，周成虎呈潘文華有關四川預備計畫,川康滇黔政情 （二）,,1944民國33年,蔣中正總統文物/特交檔案/分類資料/政治,002000000973A002-080101-00039-006,先智淵，冷薰南，劉湘，劉航琛，周成虎，張清源，潘文華，穆瀛洲，鄧錫侯，黃炎培,四川-宜賓，四川-成都，廣西-桂林，湖南-芷江，西康-西昌，貴州-貴陽,002000000973A002-080101-00039-006,文件,軍事-情報，政治-政情
中國民主同盟; 民主同盟,軍事委員會北平分會電蔣中正駐馬蘭峪日軍剿擊張海交匪部及豐台亂匪策動總機關為天津日租界內中國民主同盟會等華北匪情,002-080200-00236-035,002,蔣中正總統文物,蔣中正總統文物/ 特交檔案 / 一般資料 /,一般資料—民國二十四年 （三十八）,1935/07/03 ~ 1935/07/03,1935/07/03,1935/07/03,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000001625A,002-080200-00236-035,002000001625A,軍事委員會北平分會電蔣中正駐馬蘭峪日軍剿擊張海交匪部及豐台亂匪策動總機關為天津日租界內中國民主同盟會等華北匪情,一般資料—民國二十四年 （三十八）,,1935民國24年,蔣中正總統文物/特交檔案/一般資料/,002000001625A002-080200-00236-035,植田正秋，汪敏儒,天津，察哈爾-延慶，熱河-灤平,002000001625A002-080200-00236-035,文件,軍事-剿匪，軍事-情報
中國民主同盟; 民主同盟,葉鎮宇呈蔣中正中國民主同盟傳李宗仁與赫爾利晤談中共問題情形,002-080200-00301-043,002,蔣中正總統文物,蔣中正總統文物/ 特交檔案 / 一般資料 /,一般資料—民國三十四年 （一）,1945/05/21 ~ 1945/05/21,1945/05/21,1945/05/21,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000001690A,002-080200-00301-043,002000001690A,葉鎮宇呈蔣中正中國民主同盟傳李宗仁與赫爾利晤談中共問題情形,一般資料—民國三十四年 （一）,,1945民國34年,蔣中正總統文物/特交檔案/一般資料/,002000001690A002-080200-00301-043,史達林，邱吉爾,重慶，英國-倫敦，蘇俄-莫斯科,002000001690A002-080200-00301-043,文件,軍事-情報，外交-中俄關係
中國民主同盟; 民主同盟,蔣中正電戴笠前報中國民主同盟傳與李宗仁赫爾利晤談中共問題事應徹查所說之人,002-080200-00301-056,002,蔣中正總統文物,蔣中正總統文物/ 特交檔案 / 一般資料 /,一般資料—民國三十四年 （一）,1945/06/23 ~ 1945/06/23,1945/06/23,1945/06/23,普通,普通,無隱私,數位檔／線上閱覽,數位檔／線上閱覽,已數位化,,002000001690A,002-080200-00301-056,002000001690A,蔣中正電戴笠前報中國民主同盟傳與李宗仁赫爾利晤談中共問題事應徹查所說之人,一般資料—民國三十四年 （一）,,1945民國34年,蔣中正總統文物/特交檔案/一般資料/,002000001690A002-080200-00301-056,,,002000001690A002-080200-00301-056,文件,軍事-情報
