tier,review_score,grade,class_score,doc_id,page_id,date_guess,title,reason,doc_key,url
重点校订,141,A,90,514,905,1945/05/24 ~ 1945/05/24,戴笠呈蒋中正民主同盟分子左舜生张君劢拟从事调解国共纠纷,组织直接命中：民主同盟；人物：张君劢、左舜生；事件：调解国共；机关/情报：戴笠、蒋中正；年份：1945,drnh:002-020300-00050-104,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTAyMDMwMC0wMDA1MC0xMDQiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,141,A,90,534,925,1945/07/01 ~ 1945/07/01,蒋中正接宋子文电如接洽各事一切顺利拟向苏联提出军火租借案又接戴笠电据报美大使赫尔利曾召民主同盟份子张申府董时进谈话且美军机一架载黄炎培左舜生傅斯年等人自九龙…,组织直接命中：民主同盟；人物：左舜生、黄炎培；事件：赫尔利；机关/情报：戴笠、蒋中正；年份：1945,drnh:002-060100-00202-001,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA2MDEwMC0wMDIwMi0wMDEiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,139,A,90,591,982,1947/10/22 ~ 1947/10/22,薛岳呈蒋中正各党派动态民盟决定坚守立场不参加改组政府及李济琛何香凝等企图发动新政治协商与冯玉祥在美从事反政府活动等情报提要等六则,组织直接命中：民盟；事件：政治协商、改组政府；机关/情报：蒋中正、情报；年份：1947,drnh:002-080200-00537-058,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDUzNy0wNTgiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,138,A,90,604,995,1947/01/31 ~ 1947/01/31,保密局及张镇等呈蒋中正民社党参加政府内情中共与民盟对改组政府意向及朱学范在港重组劳协情形等情报提要三则,组织直接命中：民盟；事件：改组政府；机关/情报：蒋中正、情报、保密局；年份：1947,drnh:002-080200-00541-022,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDU0MS0wMjIiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,138,A,90,585,976,1947/05/19 ~ 1947/05/19,保密局呈蒋中正民盟企图于本届参政会发动和平运动提出就地停战实行民选情报提要,组织直接命中：民盟；事件：停战；机关/情报：蒋中正、情报、保密局；年份：1947,drnh:002-080200-00536-024,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDUzNi0wMjQiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,138,A,90,587,978,1947/08/02 ~ 1947/08/02,保密局等呈蒋中正民盟向魏德迈使团活动情形美国出面调停内战之情报提要等四则,组织直接命中：民盟；事件：内战；机关/情报：蒋中正、情报、保密局；年份：1947,drnh:002-080200-00536-092,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDUzNi0wOTIiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,138,A,90,592,983,1947/11/05 ~ 1947/11/05,保密局呈蒋中正民盟留沪人员姓名及疏散情形与中共唆使李济琛等召集非法国民党代表大会等情报提要等四则,组织直接命中：民盟；事件：非法；机关/情报：蒋中正、情报、保密局；年份：1947,drnh:002-080200-00537-081,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDUzNy0wODEiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,137,A,90,623,1014,1945/09/22 ~ 1945/09/22,邱清泉电唐纵戴笠等情报暂十七师开越及共党在昆活动机关有观察报社等又民盟罗隆基李公朴潘光旦等人于各大学演讲诋毁元首请令严密防范为要,组织直接命中：民盟；人物：罗隆基、李公朴；机关/情报：戴笠、情报；年份：1945,drnh:002-090300-00017-115,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA5MDMwMC0wMDAxNy0xMTUiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,137,A,90,606,997,1947/04/16 ~ 1947/04/16,保密局呈报蒋中正告以章伯钧企图分化民社党及民盟对时局之观察与所持态度等情报提要四则,组织直接命中：民盟；人物：章伯钧；机关/情报：蒋中正、情报、保密局；年份：1947,drnh:002-080200-00541-036,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA4MDIwMC0wMDU0MS0wMzYiLCJhdHRyIjoiKyJ9XX0%3D
重点校订,136,A,90,556,947,1946/05/01 ~ 1946/05/01,郑介民电蒋中正徐永昌谍报延安派来姚某与叶剑英谈话内容在军事面中共于华北取守势对东北采攻势及政治取攻势以民主同盟为先锋政治协商为战场使马歇尔观战,组织直接命中：民主同盟；事件：政治协商、马歇尔；机关/情报：蒋中正；年份：1946,drnh:002-090300-00023-138,https://ahonline.drnh.gov.tw/index.php?act=Archive/search/eyJxdWVyeSI6W3siZmllbGQiOiJzdG9yZV9ubyIsInZhbHVlIjoiMDAyLTA5MDMwMC0wMDAyMy0xMzgiLCJhdHRyIjoiKyJ9XX0%3D
