priority,material,source_type,target_scope,channel,next_action,deliverable,platform_code,status
P0,中国民主同盟历史文献 1941-1949,民盟自编文件汇编,全书目录与1941-1949核心文件,盟内渠道;读秀/超星,获取目录和核心文件扫描,PDF或图片加页码,mengnei-history-docs,待获取
P0,光明报1941-09-18创刊号,民盟机关报,建盟宣言;十大纲领;创刊号全文,港大Special Collections（HKC 951 G91 M）;盟内渠道;国图;全国报刊索引,按港大索书号预约缩微胶卷并确认三目标日期影像,报纸影像加OCR与卷期页码,guangmingbao,已定位馆藏待调阅
P0,黄炎培日记,本人日记,1941-03-19和1941-09-18前后;1945-1949关键日,读秀/超星;图书馆;购书,取建盟日与创刊日前后页,扫描页加卷册页码,huangyanpei-diary,待获取
P1,民主报1946重庆民盟机关报,民盟机关报,政协会议;停战;国共谈判;民盟声明,重庆市图;全国报刊索引,查1946年1-7月重点期号,报纸影像加OCR,minzhubao,待获取
P1,梁漱溟全集,本人文集,建盟;光明报;政协;调停相关文字,读秀/超星;馆藏,取目录并筛民盟相关篇章,扫描页加页码,liangshuming-collected,待获取
P1,罗隆基文集,本人文集,政协;反内战;民盟被迫害时期文章,读秀/超星;馆藏,取目录并筛1946-1949民盟发言,扫描页加页码,lo-lung-chi-collected,待获取
P1,张澜文集与张澜年谱,本人文献/年谱,1947民盟非法化;1949新政协,盟内渠道;读秀/超星,取1947-1949相关页,扫描页加页码,chang-lan-docs,待获取
P1,沈钧儒文集,本人文集,1948-1949新政协;民盟公开立场,读秀/超星;馆藏,取目录和1948-1949篇章,扫描页加页码,shen-junru-collected,待获取
P2,上海市档案馆民盟上海支部筹建档,原档,1946黄炎培愚园路茶会;上海支部成立,上海市档案馆,查目录号并预约调阅,目录记录加拍照或复印件,shanghai-archives-meng,待查目录
P2,民盟上海/中央盟史资料室机关刊合订本,组织内部资料,机关刊;内部汇编;纪念资料,盟内渠道,列出可公开或可研究使用目录,目录加扫描或复印件,mengnei-archive,待询问
