volume_id,volume_title,doc_id,doc_number,title,opener,date_guess,url,local_html,local_txt,hit_type,matched_terms,excerpt
frus1943China,"Foreign Relations of the United States, Diplomatic Papers, 1943, China",d232,232,The Consul at Kweilin (Ringwalt) to the Chargé in China (Atcheson),"No. 24 Kweilin , July 31, 1943.","July 31, 1943",https://history.state.gov/historicaldocuments/frus1943China/d232,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1943China/d232.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1943China/d232.txt,direct_org,Federation of Chinese Democratic Parties; Liang Shu-ming,"alt) to the Chargé in China (Atcheson) 893.00/15104 [Document 232] The Consul at Kweilin ( Ringwalt ) to the Chargé in China ( Atcheson ) 16 No. 24 Kweilin , July 31, 1943. Sir : I have the honor to report hereunder the substance of an interview with Mr. Liang Shu-ming, well-known promoter of experiments in Village Self-Government in Honan and Shantung Provinces, and a prominent member of the Federation of Chinese Democratic Parties. Mr. Liang agreed to talk freely with the undersigned only on condition that his anonymity be strictly safeguard --- son ) 16 No. 24 Kweilin , July 31, 1943. Sir : I have the honor to report hereunder the substance of an interview with Mr. Liang Shu-ming, well-known promoter of experiments in Village Self-Government in Honan and Shantung Provinces, and a prominent member of the Federation of Chinese Democratic Parties. Mr. Liang agreed to talk freely with the undersigned only on condition that his anonymity be strictly safeguarded. The views expressed in this report, it must be understood, are those of Mr. Liang and not necessarily those of the undersigned. Summary . The political power --- n ineptness in all forms of government and the present political structure is becoming increasingly insecure; its eventual fall is inevitable. In such an event, there should be a minimum of disorder, as the will of the Chinese people for national resistance remains constant. The Federation of Chinese Democratic Parties does not believe in the overthrow of the Kuomintang, but rather in its reform from a party of national monopoly to one of national cooperation. The present role of the Federation, which is daily increasing in prestige and authority, is to develop a liaison for all political grou --- 3 Troy L. Perkins of the Division of Far Eastern Affairs observed: “Mr. Liang is perhaps too optimistic in regard to the ability of the spirit of resistance alone to carry on should China’s leader pass out of the picture, with the factional strife which would probably ensue. The Federation of Chinese Democratic Parties is not an antagonist of the Kuomintang; it hopes mainly to ameliorate the shortcomings of that party and to effect eventually cooperation of all parties.” (893.00/15104)"
frus1943China,"Foreign Relations of the United States, Diplomatic Papers, 1943, China",d272,272,The Chargé in China (Atcheson) to the Secretary of State,[Extract],"September 18, 1943",https://history.state.gov/historicaldocuments/frus1943China/d272,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1943China/d272.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1943China/d272.txt,direct_org,Federation of Chinese Democratic Parties,"3.00/15145 [Document 272] The Chargé in China ( Atcheson ) to the Secretary of State [Extract] No. 1594 Chungking , September 18, 1943. [Received October 14.] Sir : Referring to the Embassy’s despatch No. 1458 of August 13, 1943, 47 in regard to the Federation of Chinese Democratic Parties, I have the honor to enclose a copy of despatch No. 41 of September 2, 1943, from the Consul at Kweilin 48 describing the political platform of the Federation. Summary . The Federation, which was organized in Hong Kong late in 1941, is said to include the following minori"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d287,287,The Ambassador in China (Gauss) to the Secretary of State,"No. 2208 Chungking , February 21, 1944. [Received March 6.]","February 21, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d287,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d287.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d287.txt,direct_org,Federation of Chinese Democratic Parties; Chang Lan,"The Ambassador in China ( Gauss ) to the Secretary of State No. 2208 Chungking , February 21, 1944. [Received March 6.] Sir : I have the honor to enclose a translation 71 of a pamphlet entitled “China Needs True Democracy” published in September 1943 by Mr. Chang Lan (also known as Chang Piao-fang), recently named President of the Federation of Chinese Democratic Parties. Mr. Chang, 72 years of age, is now resident at Chengtu and is considered a distinguished scholar. He was at one time civil governor of Szechuan Province, of which he is a n --- 2208 Chungking , February 21, 1944. [Received March 6.] Sir : I have the honor to enclose a translation 71 of a pamphlet entitled “China Needs True Democracy” published in September 1943 by Mr. Chang Lan (also known as Chang Piao-fang), recently named President of the Federation of Chinese Democratic Parties. Mr. Chang, 72 years of age, is now resident at Chengtu and is considered a distinguished scholar. He was at one time civil governor of Szechuan Province, of which he is a native, and from 1918 until 1931 he was President of Chengtu University. He was appointed a member of the P"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d329,329,The Ambassador in China (Gauss) to the Secretary of State,"No. 2466 Chungking , April 21, 1944. [Received May 11.]","April 21, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d329,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d329.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d329.txt,direct_org,Federation of Chinese Democratic Parties; Shen Chun-ju,"etary of State 893.00/15370 [Document 329] The Ambassador in China ( Gauss ) to the Secretary of State No. 2466 Chungking , April 21, 1944. [Received May 11.] Sir : Referring to the Embassy’s despatch no. 1594 of September 18, 1943, 17a in regard to the Federation of Chinese Democratic Parties, and to the Embassy’s despatch no. 2303 of March 14, 1944, in regard to the unification of anti-Central Government elements, I have the honor to enclose a copy of a memorandum of April 14, 1944 18 prepared by Second Secretary John S. Service, on detail to General Stilwell’s sta --- a memorandum of April 14, 1944 18 prepared by Second Secretary John S. Service, on detail to General Stilwell’s staff, reporting the views of Chinese minority party leaders. Summary . The views reported are those expressed by Tso Shunsheng, leader of the Youth Party, and Shen Chun-ju of the National Salvation Association during an interview with Mr. Service. The largest of the minority parties is the Youth Party with a membership of about 20,000 in free China, the majority of whom are in Szechuan. The minority parties and groups exert an influence far beyond"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d349,349,The Ambassador in China (Gauss) to the Secretary of State,"No. 2606 Chungking , May 24, 1944. [Received June 2.]","May 24, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d349,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d349.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d349.txt,direct_org,Federation of Chinese Democratic Parties,"21, 1944, in regard to the views of Chinese minority party leaders, I have the honor to enclose a copy of a memorandum of May 18, 1944, 52 written by Second Secretary John S. Service, on detail to General Stilwell’s staff, summarizing a statement issued in booklet form by the Federation of Chinese Democratic Parties on May 14, a translation of which is attached to the memorandum. Mr. Service comments that the highlights of the statement are: a moderate demand for democratic reform, i. e. freedom of expression and person, recognition of parties other than the Kuomintang, greater non-Kuomin"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d380,380,The Consul General at Kunming (Langdon) to the Secretary of State,"No. 48 Kunming , July 11, 1944. [Received July 20.]","July 11, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d380,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d380.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d380.txt,direct_org,Federation of Chinese Democratic Parties,"ordance with the instructions of the Committee at Chungking that such organs be established through-out free China for the study of constitutional government. The Kunming Association actually provides a cover for the activities of a group of liberals, the nucleus of which is the Federation of Chinese Democratic Parties. Under the cloak of the Association, Federation members are enabled to discuss the question of constitutional government and related matters and to present their views to the Chungking authorities as coming from an organ established in accordance with the wishes of the Central G"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d384,384,The Consul General at Kunming (Langdon) to the Secretary of State,"No. 51 Kunming , July 14, 1944. [Received July 25.]","July 14, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d384,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d384.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d384.txt,direct_org,Democratic League; Federation of Chinese Democratic Parties,": Referring to the Consulate General’s despatch no. 48 of July 11, 1944, in regard to the petition to the Central Government for certain governmental reforms circulated at Kunming by a group of Chinese liberals, I have the honor to inform the Department of the activities of the Federation of Chinese Democratic Parties * at Kunming and their relation to future political developments in China. The information contained in this despatch was obtained during conversations with members of the Federation and with other Chinese liberals at Kunming. Summary: The Federation of Chinese Democrati --- n of Chinese Democratic Parties * at Kunming and their relation to future political developments in China. The information contained in this despatch was obtained during conversations with members of the Federation and with other Chinese liberals at Kunming. Summary: The Federation of Chinese Democratic Parties at Kunming functions partly under the cover of the Cultural Circles Association for the Study of Constitutional Government and apparently operates with relative freedom under the protection of General Lung Yun, Chairman of the Yunnan Provincial Government. Representatives of the --- peace of the Far East and that American pressure alone and at this juncture may possibly prevent the emergence of such a postwar China. Respectfully yours, Wm . R. Langdon 4 Drafted by the Consul at Kunming (Sprouse). * Now translated by Federation members as “Democratic League.” [Footnote in the original.]"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d385,385,The Second Secretary of Embassy in China (Penfield) to the Secretary of State,"No. 37 Chengtu , July 14, 1944. [Received August 1.]","July 14, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d385,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d385.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d385.txt,direct_org,Federation of Chinese Democratic Parties; Chang Lan,"trength to go through this most critical stage; the fundamental reason for this is nothing but the lack of democracy in our political life.” The Society for the Promotion of Democratic Constitutional Government is a private organization said to have been established last year. Chang Lan (Chang Piao-fang), Chairman of the Federation of Chinese Democratic Parties, and Young China Party leaders (from whom I obtained a copy of the manifesto) appear to be the most active elements in its direction. It is asserted locally that this organization has been given quarters --- e; the fundamental reason for this is nothing but the lack of democracy in our political life.” The Society for the Promotion of Democratic Constitutional Government is a private organization said to have been established last year. Chang Lan (Chang Piao-fang), Chairman of the Federation of Chinese Democratic Parties, and Young China Party leaders (from whom I obtained a copy of the manifesto) appear to be the most active elements in its direction. It is asserted locally that this organization has been given quarters in Chengtu and at least negative support—in other words, relative freedom f"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d400,400,The Consul General at Kunming (Langdon) to the Secretary of State,[Extracts],"August 1, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d400,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d400.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d400.txt,direct_org,Federation of Chinese Democratic Parties,"g machinations and approves them. . . . . . . . . . . . . . . Forces Opposing the Generalissimo . The forces which might support an active movement against the supreme authority of the Generalissimo include four groups: the Chinese Communist Party, provincial warlords, the Federation of Chinese Democratic Parties and Chinese cultural elements. The Communists are easily the most important of these four groups as without their military assistance success for such a movement would be impossible. The warlords give visible proof of one grave error on the part of the Generalissimo: they are re --- most important of these four groups as without their military assistance success for such a movement would be impossible. The warlords give visible proof of one grave error on the part of the Generalissimo: they are relics of the past and should have been destroyed long ago. The Federation of Chinese Democratic Parties is composed of honest, sincere men but the organization contains no men of stature capable of being leaders. The Chinese cultural elements include writers and newspapermen, some of whom have prostituted themselves to provincial leaders in the past. An active movement against the"
frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",d401,401,The Ambassador in China (Gauss) to the Secretary of State,"Chungking , August 2, 1944—noon. [Received August 22—8 a.m.]","August 2, 1944",https://history.state.gov/historicaldocuments/frus1944v06/d401,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d401.html,/Users/cheer/Documents/New project/data/frus_meng/documents/frus1944v06/d401.txt,direct_org,Democratic League,"244: Airgram [Document 401] The Ambassador in China ( Gauss ) to the Secretary of State Chungking , August 2, 1944—noon. [Received August 22—8 a.m.] A–76. Reference Embassy’s telegram 1316, July 31 and despatch no. 2797, July 22, 1944. 24 Source close to both Democratic League and Communists states secret meeting of representatives of parties and groups associated in Democratic League is scheduled to be held in Chungking about September 1. Representatives from Kweilin, Kunming, Chengtu, and Chungking are to be present. Purpose of meeting is said to be --- ng , August 2, 1944—noon. [Received August 22—8 a.m.] A–76. Reference Embassy’s telegram 1316, July 31 and despatch no. 2797, July 22, 1944. 24 Source close to both Democratic League and Communists states secret meeting of representatives of parties and groups associated in Democratic League is scheduled to be held in Chungking about September 1. Representatives from Kweilin, Kunming, Chengtu, and Chungking are to be present. Purpose of meeting is said to be to determine upon platform acceptable to all dissident elements represented with view to forming a single De"
