query,iaid,ref,title,date,held_by,catalogue_level,department,url
"""Chinese Democratic League""",C14050228,FCO 141/16965,Singapore: Chinese Democratic League branch in Hong Kong,1947 Jan 01 - 1947 Dec 31,,,FCO,https://discovery.nationalarchives.gov.uk/details/r/C14050228
"""China Democratic League""",C1253349,CO 537/4820,China Democratic League,1949,,,CO,https://discovery.nationalarchives.gov.uk/details/r/C1253349
"""China Democratic League""",C1252251,CO 537/3724,China Democratic League,1948,,,CO,https://discovery.nationalarchives.gov.uk/details/r/C1252251
"""Democratic League""",C1253349,CO 537/4820,China Democratic League,1949,,,CO,https://discovery.nationalarchives.gov.uk/details/r/C1253349
"""Democratic League""",C1252251,CO 537/3724,China Democratic League,1948,,,CO,https://discovery.nationalarchives.gov.uk/details/r/C1252251
"""Democratic League""",C4414285,WO 208/4770,Reports on political parties: Democratic League,1947 Sept-1948 Oct,,,WO,https://discovery.nationalarchives.gov.uk/details/r/C4414285
"""Democratic League""",2dfe916f-96f7-4f83-898c-f864c99e5b86,IOR/L/I/1/105,File 16/48 Indo-British Democratic League,1946,,,,https://discovery.nationalarchives.gov.uk/details/r/2dfe916f-96f7-4f83-898c-f864c99e5b86
"""Democratic League""",C14050228,FCO 141/16965,Singapore: Chinese Democratic League branch in Hong Kong,1947 Jan 01 - 1947 Dec 31,,,FCO,https://discovery.nationalarchives.gov.uk/details/r/C14050228
"""Democratic League""",bf82d982-84f1-488a-964f-8c182004602e,CP/CENT/INT/36/05,"Papers re Malaya incl reports on economic and political situ, manifesto of Singapore Youth New Democratic League, material on trade unions and labour movement, etc; also material re civil liberties",1940-1948,,,,https://discovery.nationalarchives.gov.uk/details/r/bf82d982-84f1-488a-964f-8c182004602e
"""Democratic League"" Hong Kong",C14050228,FCO 141/16965,Singapore: Chinese Democratic League branch in Hong Kong,1947 Jan 01 - 1947 Dec 31,,,FCO,https://discovery.nationalarchives.gov.uk/details/r/C14050228
"""Democratic League"" Hong Kong",C1253349,CO 537/4820,China Democratic League,1949,,,CO,https://discovery.nationalarchives.gov.uk/details/r/C1253349
"""Democratic League"" Hong Kong",C1252251,CO 537/3724,China Democratic League,1948,,,CO,https://discovery.nationalarchives.gov.uk/details/r/C1252251
Chang Lan,acc88df7-8c97-431f-9350-77e8b4fb6e5d,LCC/EO/DIV1/LAN/MISC/2,Record of Absence and Changes of Permanent Teaching Staff,1950-1958,,,,https://discovery.nationalarchives.gov.uk/details/r/acc88df7-8c97-431f-9350-77e8b4fb6e5d
Chang Lan,4aecd95a-cdd4-4aa5-9cff-8bc5bdc33253,846/1.2.132,2 E LAN R: Next of Kin change of address listing: C Coy,8th April 1941,,,,https://discovery.nationalarchives.gov.uk/details/r/4aecd95a-cdd4-4aa5-9cff-8bc5bdc33253
"""third party"" China",0cb62ac5-ad17-4593-8f98-fe2ebb2915e0,3AMS,Records of the Association for Moral and Social Hygiene,1824-2006,,,,https://discovery.nationalarchives.gov.uk/details/r/0cb62ac5-ad17-4593-8f98-fe2ebb2915e0
