dataset,newspaper_title,issue_id,issue_date,page_number,article_id,article_title,article_text_1st50words,matched_terms,url
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19460701-1,1 July 1946,1,indiandailymail19460701-1.2.11,Another Political Army In China?,Another Political Army In China? Nanking. June 30. Another Chinese political party will have an army if the Communist New China News Agency report of a formation of a Democratic League army m Manchuria is true. The report which appeared too late for confirmation said that a member of the,Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19460701-1.2.11
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19471101-1,1 November 1947,6,indiandailymail19471101-1.2.57,MALAYA BRANCH OF DEMOCRATIC LEAGUE WILL CONTINUE TO FUNCTION,"MALAYA BRANCH OF DEMOCRATIC LEAGUE WILL CONTINUE TO FUNCTION I&gt;_Sl'll_ RANkING UOVT.'S BAH Ihe decision to carry on the activities of the China Democratic League was unanimously armed at at an emergency meeting of the Standing %_.om notice oj the Malayan Branch Headquarters of the League held on Thursday, Oct.",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19471101-1.2.57
Morning Tribune 1946-1949,Morning Tribune,morningtribune19471101-1,1 November 1947,4,morningtribune19471101-1.2.30,Police Guard Shanghai  Democratic League Hq,"Police Guard Shanghai Democratic League Hq SHANGHAI, Oct. 31— A coir i?le of armed policemen siood guard this mcrcteg outside the bhanghai headquarters of the Democratic League, which has been outlawed by the NaUoral Goverr.mer t. following the offiI cial sealing of the premises yestorday afterr.oon by the local authorities.",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19471101-1.2.30
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19470210-1,10 February 1947,5,maltribune19470210-1.2.67,"Meeting Ends In ""Free For All""","Meeting Ends In ""Free For All"" U.P. Shanghai. Feb. 9.—An antiAmencan meeting this morning ended in a tree for all in Nanking Read with police arresting several preson.s. The Democratic League—close to the Communists—called the meet ng this mornmg. One labour faction walked out when they discovered the reason for",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19470210-1.2.67
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19460710-1,10 July 1946,5,maltribune19460710-1.2.58,Complete Deadlock In China,Complete Deadlock In China Ju'v 9.—The Chinese I the Communist dereached a complete China's protracted peace ttta by both sides sugi two-hour talk with GeneGeneral Chou En-lai. ununist representative in a long discussion un- y.ght with Lo Lunj-chi Democratic League. «ai reason for the deadrchng to the Communists is of,Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19460710-1.2.58
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19490510-1,10 May 1949,3,maltribune19490510-1.2.39,TWO CHINESE PARTIES LOSE STATUS,"TWO CHINESE PARTIES LOSE STATUS KM. T, China Democratic League Come Under Society Law T 1 22 the Ruo f** have heen im mrW ii f lmrA] fi cal ablatio©*. l%i s means that tntj come under the provisions of the Societies o, -J in an™ k9 m r«» rrnment",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19490510-1.2.39
Indian Daily Mail 1946-1947,Indian Daily Mail,indiandailymail19471110-1,10 November 1947,3,indiandailymail19471110-1.2.42,Overseas Democratic League's Decision,"Overseas Democratic League's Decision HONG KONG, Nov. 'J.— The South rn branch ot th* Democratic Leagi:* n a statement issued said ""we will ight on"" despite th« Democratic League requests to dissolve overseas iranches. The statement, published in th« iberal China I igett, denounced ""Fa3:ist Dictatorship"" an&lt;l atfirmed 'wo vill",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19471110-1.2.42
Morning Tribune 1946-1949,Morning Tribune,morningtribune19471010-1,10 October 1947,20,morningtribune19471010-1.2.220,Democratic League Indicted,"Democratic League Indicted NANKING, Oct. 9. Tao Chsheng, Kuomintang Vice-Mil is. ter of Informa i n, today charged the Democratic League China's third largest political party with disi 'minatii pro. paganda for the Chii ese Com* nun isLs. In m interview with Chinese pressmen Mr. Tao accused two Democi atic",Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/morningtribune19471010-1.2.220
Indian Daily Mail 1949-1953,Indian Daily Mail,indiandailymail19490510-1,10-May-49,4,indiandailymail19490510-1.2.51,Exemption To Foreign Political Bodies In S'pore Withdraw,"Exemption To Foreign Political Bodies In S'pore W ithdraw China Democratic League K- M. T. Affected A N OBSTACLE 10 DEVELOPMENT OF A S'POKE roLiuiAL Coi\iJUol^\tsS,'' SAVS GOVT. ""The local organisation of foreign political associations in Singapore is an obstacle to tne development oi a Singapore political consciousness, and tne",China Democratic League; Democratic League,https://eresources.nlb.gov.sg/newspapers/digitised/article/indiandailymail19490510-1.2.51
Malaya Tribune 1945-1949,Malaya Tribune,maltribune19470811-1,11 August 1947,8,maltribune19470811-1.2.111,A. DENIAL,"A. DENIAL NANKING, Aug. 10.—Dr. to Lo Lung-chi, spokesman nf the Democratic League Clvna's th rd largest political par*v v.h'ch refuses to co-ooerate wi*h the Nations 1 Goverrment —10--day den ed local nress reports ihat the League has or*»sent&lt;*d M memorardum appealing to General A C. Wedemeyer *0 «top aid",Democratic League; Lo Lung-chi,https://eresources.nlb.gov.sg/newspapers/digitised/article/maltribune19470811-1.2.111
