issue_id,date,newspaper,page_label,title,url,matched_terms,images,chars
nysp19460501-1,1946-05-01,南洋商报,1,本坡民盟辦事處負責人對時局發表談話,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460501-1.2.40,民盟,5,2652
nysp19460514-1,1946-05-14,南洋商报,1,中國民盟雪分部籌委會成立,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460514-1.2.36,民盟,3,718
nysp19460601-1,1946-06-01,南洋商报,1,民盟領袖羅隆基又責美協助國軍中立界對東北局勢抱悲觀,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460601-1.2.12,民盟,4,2616
nysp19460604-1,1946-06-04,南洋商报,1,民盟星辦事處召開盟員茶話會歡迎莊明理先生報告祖國政情,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460604-1.2.37,民盟,3,392
nysp19460709-1,1946-07-09,南洋商报,1,中國民主同盟新加坡分部前日成立選出臨時執委七人,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460709-1.2.40,民主同盟; 中國民主同盟,3,555
nysp19460709-1,1946-07-09,南洋商报,1,各地僑胞紛紛召開反對內戰大會致電民主同盟加緊督促實現全面停戰,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460709-1.2.60,民主同盟,3,1078
nysp19460719-1,1946-07-19,南洋商报,1,李公樸聞一多被剌案政府决嚴令澈查彭宣傳部長答記者問張主任電滇省緝兇手,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460719-1.2.65,李公樸; 聞一多,6,1845
nysp19460719-1,1946-07-19,南洋商报,1,民盟辦事處主任胡愈之給王吉士先生的公開信,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460719-1.2.69,民盟; 胡愈之,6,3158
nysp19460722-1,1946-07-22,南洋商报,1,關於李公樸案論爭民盟堅持反對特務暗殺國新社記者訪問胡愈之,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460722-1.2.59,民盟; 胡愈之; 李公樸,8,3610
nysp19460831-1,1946-08-31,南洋商报,1,張君勱組黨將告實現,https://eresources.nlb.gov.sg/newspapers/digitised/article/nysp19460831-1.2.9,張君勱,5,1713
