_priority,_year,典藏號,題名,全宗名稱,全宗系列,本件日期,密等/解密紀錄,提供方式/地點,_matched_queries,_reason,_collection,_identifier
A,1946,001-050060-00007-001,青海省參議會議長馬元海等電國民政府主席蔣中正請對中國民主同盟主席張瀾等荒謬言論予以糾正並轉電美國說明真象以正是非,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,1946/07/16 ~ 1946/07/16,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,數位檔／線上閱覽,中國民主同盟; 民主同盟; 張瀾,題名直接命中「中國民主同盟」+ 核心時段 1946 + 國家核心全宗,001000004560A,001-050060-00007-001
A,1946,001-050060-00007-002,國民政府文官處函青海省參議會關於電請對中國民主同盟主席張瀾等荒謬言論予以糾正並轉電美國說明真象以正是非一案業奉主席閱悉,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,1946/08/03 ~ 1946/08/03,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,數位檔／線上閱覽,中國民主同盟; 民主同盟; 張瀾,題名直接命中「中國民主同盟」+ 核心時段 1946 + 國家核心全宗,001000004560A,001-050060-00007-002
A,1946,001-050060-00007-003,四川省參議會議長向傳義等電國民政府為山東省參議會電以中國民主同盟主席張瀾等致電美國反對對華任何貸款請予以駁斥並轉電美國說明真像,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,1946/07/22 ~ 1946/07/22,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,數位檔／線上閱覽,中國民主同盟; 民主同盟; 張瀾,題名直接命中「中國民主同盟」+ 核心時段 1946 + 國家核心全宗,001000004560A,001-050060-00007-003
A,1946,001-050060-00007-004,國民政府文官處函四川省參議會關於山東省參議會電以中國民主同盟主席張瀾等致電美國反對對華任何貸款請予以駁斥並轉電美國說明真像一案業奉主席閱悉,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,1946/08/02 ~ 1946/08/02,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,數位檔／線上閱覽,中國民主同盟; 民主同盟; 張瀾,題名直接命中「中國民主同盟」+ 核心時段 1946 + 國家核心全宗,001000004560A,001-050060-00007-004
A,1946,001-050060-00007-005,浙江省臨時參議會議長朱獻文等電國民政府為中國民主同盟主席張瀾等致電美國民主黨議員反對盟邦對華增進友誼之所為祈賜糾正,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,1946/08/07 ~ 1946/08/07,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,數位檔／線上閱覽,中國民主同盟; 民主同盟; 張瀾,題名直接命中「中國民主同盟」+ 核心時段 1946 + 國家核心全宗,001000004560A,001-050060-00007-005
A,1946,001-050060-00007-006,國民政府文官處函浙江省臨時參議會關於貴會電為中國民主同盟主席張瀾等致電美國民主黨議員反對盟邦對華增進友誼之所為祈賜糾正一案已奉主席閱悉,國民政府,國民政府/ 內政 / 內政總綱 / 檢討建議反映,1946/08/21 ~ 1946/08/21,普通 / 總統府94年9月13日華總一智字第09400132570號函概括解密,數位檔／線上閱覽,中國民主同盟; 民主同盟; 張瀾,題名直接命中「中國民主同盟」+ 核心時段 1946 + 國家核心全宗,001000004560A,001-050060-00007-006
A,1944,002-080101-00039-006,川康軍人動態含成都某方面對時局陰謀文件與川康某種運動負責人名單等，中國民主同盟對抗戰最後階段的主要政治主張，周成虎呈潘文華有關四川預備計畫,蔣中正總統文物,蔣中正總統文物/ 特交檔案 / 分類資料 / 政治,1944/00/00 ~ 1944/00/00,普通,數位檔／線上閱覽,中國民主同盟; 民主同盟,題名直接命中「中國民主同盟」+ 核心時段 1944 + 國家核心全宗,002000000973A,002-080101-00039-006
B,1935,002-080200-00236-035,軍事委員會北平分會電蔣中正駐馬蘭峪日軍剿擊張海交匪部及豐台亂匪策動總機關為天津日租界內中國民主同盟會等華北匪情,蔣中正總統文物,蔣中正總統文物/ 特交檔案 / 一般資料 /,1935/07/03 ~ 1935/07/03,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,數位檔／線上閱覽,中國民主同盟; 民主同盟,題名命中「中國民主同盟」但時段 1935 外圍,002000001625A,002-080200-00236-035
A,1945,002-080200-00301-043,葉鎮宇呈蔣中正中國民主同盟傳李宗仁與赫爾利晤談中共問題情形,蔣中正總統文物,蔣中正總統文物/ 特交檔案 / 一般資料 /,1945/05/21 ~ 1945/05/21,普通,數位檔／線上閱覽,中國民主同盟; 民主同盟,題名直接命中「中國民主同盟」+ 核心時段 1945 + 國家核心全宗,002000001690A,002-080200-00301-043
A,1945,002-080200-00301-056,蔣中正電戴笠前報中國民主同盟傳與李宗仁赫爾利晤談中共問題事應徹查所說之人,蔣中正總統文物,蔣中正總統文物/ 特交檔案 / 一般資料 /,1945/06/23 ~ 1945/06/23,普通,數位檔／線上閱覽,中國民主同盟; 民主同盟,題名直接命中「中國民主同盟」+ 核心時段 1945 + 國家核心全宗,002000001690A,002-080200-00301-056
A,1945,002-080200-00301-070,葉鎮宇函蔣中正中國民主同盟聽取黃炎培等報告赴延安與共黨毛澤東晤談及受歡迎情形暨民盟之立場等,蔣中正總統文物,蔣中正總統文物/ 特交檔案 / 一般資料 /,1945/07/07 ~ 1945/07/07,普通,數位檔／線上閱覽,中國民主同盟; 民主同盟; 民盟; 張瀾; 沈鈞儒; 羅隆基; 章伯鈞,題名直接命中「中國民主同盟」+ 核心時段 1945 + 國家核心全宗,002000001690A,002-080200-00301-070
B,1935,002-090300-00123-361,北平軍委分會電蔣中正號稱正義救國自治軍之豐台亂匪其策動總機關為中國民主同盟會位在天津日租界及永安堡果家灣匪三百餘人首領石友六蔡石河之匪首領汪敏儒,蔣中正總統文物,蔣中正總統文物/ 特交文電 / 共匪禍國 / 共匪禍國,1935/07/04 ~ 1935/07/04,普通 / 國防部民國105年11月10日國辦文檔字第1050005267號函註銷密等,數位檔／線上閱覽,中國民主同盟; 民主同盟,題名命中「中國民主同盟」但時段 1935 外圍,002000002377A,002-090300-00123-361
C,1945,020-010607-0014,保護馬來亞（馬來西亞）華僑（二）,外交部,外交部/ 亞東太平洋司 / 馬來西亞 / 僑務,,普通 / 外交部98年2月17日外檔資一字第09801013150號函註銷密等,數位檔／線上閱覽,中國民主同盟; 民主同盟; 政治協商會議,題名含「華僑」屬南洋華僑/清末民初同名誤命中,020000000333A,020-010607-0014
C,1948,020-011108-0002,中緬共黨活動,外交部,外交部/ 亞東太平洋司 / 緬甸 / 國際共黨活動與中共動態,,普通 / 外交部98年3月31日外檔資一字第09837001700號函註銷密等,數位檔／線上閱覽,中國民主同盟; 民主同盟; 民盟,無民盟直接命中，剔除,020000000595A,020-011108-0002
C,1940,020-041106-0076,交通雜件,外交部,外交部/ 歐洲司 / 英國 / 交通電信,,普通 / 外交部98年3月31日外檔資一字第09837001700號函註銷密等,數位檔／線上閱覽,中國民主同盟; 民主同盟,無民盟直接命中，剔除,020000003702A,020-041106-0076
C,1943,020-101700-0151,國際慶弔（十五）,外交部,外交部/ 禮賓司 / 外國慶弔 /,,普通 / 外交部98年3月31日外檔資一字第09837001700號函註銷密等,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,020000006233A,020-101700-0151
C,1990,020-059999-0016,華興小組剪報（二）,外交部,外交部/ 北美司 / 綜合 / 其他,,普通 / 外交部108年3月28日資電史字第10836503650號函註銷密等,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1990），超出本平台 1941-1950 範圍,020000011787A,020-059999-0016
C,,129-010000-0101,高崇民,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,無民盟直接命中，剔除,129000000101A,129-010000-0101
C,,129-010000-0234,鮮英,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟; 張瀾,人物擦邊（ 張瀾），時段 不明,129000000234A,129-010000-0234
C,1906,129-010000-1256,郭則沉,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1906），早於民盟前身成立,129000001256A,129-010000-1256
C,1901,129-010000-3520,鄭南宣,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列一 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1901），早於民盟前身成立,129000003520A,129-010000-3520
A,,129-020000-2819,張瀾,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列二 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 張瀾; 沈鈞儒; 羅隆基; 章伯鈞; 政治協商會議,題名直接命中「張瀾」+ 國家核心全宗（日期待現場確認）,129000007819A,129-020000-2819
C,,129-030000-1276,許德珩,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000011276A,129-030000-1276
C,,129-030000-1283,黃炎培,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000011283A,129-030000-1283
A,,129-030000-1310,羅隆基,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟; 張瀾; 羅隆基; 政治協商會議,題名直接命中「羅隆基」+ 國家核心全宗（日期待現場確認）,129000011310A,129-030000-1310
C,1902,129-030000-2342,郭翹然,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 章伯鈞,時段錯位（1902），早於民盟前身成立,129000012342A,129-030000-2342
C,,129-030000-4269,林仲易,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列三 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 政治協商會議,無民盟直接命中，剔除,129000014269A,129-030000-4269
C,,129-040000-1043,王文光,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列四 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,無民盟直接命中，剔除,129000016043A,129-040000-1043
C,,129-040000-2265,何公敢,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列四 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000017265A,129-040000-2265
C,1900,129-040000-2284,曾昭掄,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列四 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1900），早於民盟前身成立,129000017284A,129-040000-2284
C,1901,129-050000-3528,李敷仁,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列五 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,時段錯位（1901），早於民盟前身成立,129000023528A,129-050000-3528
C,1904,129-060000-1513,許德瑗,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列六 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 民盟,時段錯位（1904），早於民盟前身成立,129000026513A,129-060000-1513
C,1907,129-090000-3945,許廣平,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1907），早於民盟前身成立,129000043945A,129-090000-3945
C,,129-090000-4415,徐伯昕,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000044415A,129-090000-4415
C,,129-090000-4416,周建人,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000044416A,129-090000-4416
C,,129-090000-4428,吳鴻賓,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000044428A,129-090000-4428
C,,129-090000-4472,王雨亭,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,無民盟直接命中，剔除,129000044472A,129-090000-4472
C,1911,129-090000-4483,莊明理,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟,時段錯位（1911），早於民盟前身成立,129000044483A,129-090000-4483
C,1902,129-090000-4488,費振東,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 章伯鈞,時段錯位（1902），早於民盟前身成立,129000044488A,129-090000-4488
C,,129-090000-4489,戴子良,軍事委員會委員長侍從室,軍事委員會委員長侍從室/ 系列九 / /,,普通,數位檔／臺北閱覽室,中國民主同盟; 民主同盟; 政治協商會議,無民盟直接命中，剔除,129000044489A,129-090000-4489
