document_id,grade,score,needs_review,reason
325,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
330,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
331,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
333,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
335,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
338,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
339,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
340,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
341,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
346,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
348,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
358,相关文献,60,0,CIA 民盟关键词命中但主题相关性次于核心档案
402,相关文献,50,0,archive.org 全文检索命中 Democratic League
403,相关文献,50,0,archive.org 全文检索命中 Democratic League
422,相关文献,50,0,archive.org 全文检索命中 Democratic League
