id,candidate_id,title,creator,document_date,document_type,repository_code,repository_name,collection_name,archive_fonds,archive_series,archive_file,archive_item,catalog_reference,catalog_reference_status,source_url,source_url_role,access_mode,access_note,medium,online_availability,rights_status,reuse_rights,rights_basis,copy_allowed,authenticity_level_proposed,relevance_grade_proposed,event_tags,person_tags,place_tags,evidence_note,evidence_type,evidence_locator,uncertainty_note,checked_at,checked_by,review_status,review_note,reviewed_at,reviewed_by,check_outcome,inserted_at,authenticity_level_accepted,relevance_grade_accepted,ingested_document_id
1,domestic:MMSH:web-history,历史沿革,中国民主同盟上海市委员会,,官方历史沿革网页,MMSH,民盟上海市委官网,盟史专区,,,,,web:mmgk-3da6fe99-f684-11ec-95d4-94c691be0bb6,verified,https://mng.minmengsh.gov.cn/detailpage/mmgk-3da6fe99-f684-11ec-95d4-94c691be0bb6.html,item_digital,open,官方网页公开可访问,digital,full_item_online,public,citation_only,页面版权声明及站点条款待逐页核对,unknown,L4,related,"[""1945上海组织筹备"", ""1946上海市支部成立"", ""1947民盟被宣布非法""]","[""沈志远"", ""黄竞武""]","[""上海""]",官方历史沿革页面，包含1945—1947年上海民盟组织叙述；属于官方二次呈现，不是原始档案。,official_description,网页正文,需用档案、报刊或盟内原始文件互证。,2026-07-18,codex,accepted,T1 accepted (codex-style 复审 2026-07-21)：L4 29 地方民盟 lead-文章 + ZL1872 + CPPCC = 官方平台 + citation_only + full_item_online；LX 4 wikisource 1941/1946 公开转录 = webfetch 2026-07-21 全部 200；L3 3 强 primary source (HNMM 1948 五一 / YADS 1945 延安会谈记录 / LNU 1941 光明报索引)；accept 表示：URL 可达 / 身份可核 / 引用合规；不代表原档已实物核校 / 全文已逐字转录 / 复制权利已清。,2026-07-21,human,pass,2026-07-18 05:56:25,L4,related,1472
2,domestic:MMSH:web-leaders,民盟上海组织历届领导,中国民主同盟上海市委员会,,官方组织名录网页,MMSH,民盟上海市委官网,盟史专区,,,,,web:mmgk-3d1a262d-f684-11ec-8a00-94c691be0bb6,verified,https://mng.minmengsh.gov.cn/detailpage/mmgk-3d1a262d-f684-11ec-8a00-94c691be0bb6.html,item_digital,open,官方网页公开可访问,digital,full_item_online,public,citation_only,站点版权声明待逐页核对,unknown,L4,related,"[""上海民盟组织沿革""]","[""上海民盟历届领导""]","[""上海""]",官方组织名录和沿革页面，用于建立人物与组织检索词。,official_description,网页正文,领导名录及时间点需与原始组织文件或出版物核对。,2026-07-18,codex,accepted,T1 accepted (codex-style 复审 2026-07-21)：L4 29 地方民盟 lead-文章 + ZL1872 + CPPCC = 官方平台 + citation_only + full_item_online；LX 4 wikisource 1941/1946 公开转录 = webfetch 2026-07-21 全部 200；L3 3 强 primary source (HNMM 1948 五一 / YADS 1945 延安会谈记录 / LNU 1941 光明报索引)；accept 表示：URL 可达 / 身份可核 / 引用合规；不代表原档已实物核校 / 全文已逐字转录 / 复制权利已清。,2026-07-21,human,pass,2026-07-18 05:56:25,L4,related,1473
3,domestic:MMSH:web-bases,12处上海民盟传统教育基地合集,中国民主同盟上海市委员会,,官方历史地点专题网页,MMSH,民盟上海市委官网,教育基地,,,,,web:jyjd-25ee39cd-d19e-11ec-ad68-8c554a2845d4,verified,https://www.minmengsh.gov.cn/detailpage/jyjd-25ee39cd-d19e-11ec-ad68-8c554a2845d4.html,item_digital,open,官方网页公开可访问,digital,full_item_online,public,citation_only,站点版权声明待逐页核对,unknown,L4,related,"[""民盟传统教育基地"", ""上海民盟史迹""]","[""李公朴"", ""史良""]","[""龙华烈士陵园"", ""周公馆"", ""南海花园""]",官方教育基地专题，整理上海民盟历史地点和人物线索。,official_description,网页正文,场馆叙述需要与实物、档案、报刊或馆方目录互证。,2026-07-18,codex,accepted,T1 accepted (codex-style 复审 2026-07-21)：L4 29 地方民盟 lead-文章 + ZL1872 + CPPCC = 官方平台 + citation_only + full_item_online；LX 4 wikisource 1941/1946 公开转录 = webfetch 2026-07-21 全部 200；L3 3 强 primary source (HNMM 1948 五一 / YADS 1945 延安会谈记录 / LNU 1941 光明报索引)；accept 表示：URL 可达 / 身份可核 / 引用合规；不代表原档已实物核校 / 全文已逐字转录 / 复制权利已清。,2026-07-21,human,pass,2026-07-18 05:56:25,L4,related,1470
4,domestic:MMSH:web-office-history,从南京西路到陕西北路——民盟上海市委机关办公,《上海盟讯》,2024-05-12,官方数字报文章,MMSH,民盟上海市委数字报,学习与研究,,,,,paper:2024-05-12:144526_17450774,verified,https://paper.minmengsh.gov.cn/html/2024-05/12/content_144526_17450774.htm,item_digital,open,官方数字报公开可访问,digital,full_item_online,public,citation_only,数字报版权声明待核对,unknown,L4,related,"[""1945上海组织筹备"", ""1946上海民盟"", ""1947上海活动""]","[""沈志远"", ""黄竞武"", ""黄炎培"", ""沈钧儒"", ""梁漱溟""]","[""南京西路"", ""南海花园"", ""陕西北路""]",官方数字报回顾上海民盟机关地点和早期活动线索，属于二次叙述。,official_description,网页正文,具体史料出处和引用报刊需回到原刊或档案核验。,2026-07-18,codex,accepted,T1 accepted (codex-style 复审 2026-07-21)：L4 29 地方民盟 lead-文章 + ZL1872 + CPPCC = 官方平台 + citation_only + full_item_online；LX 4 wikisource 1941/1946 公开转录 = webfetch 2026-07-21 全部 200；L3 3 强 primary source (HNMM 1948 五一 / YADS 1945 延安会谈记录 / LNU 1941 光明报索引)；accept 表示：URL 可达 / 身份可核 / 引用合规；不代表原档已实物核校 / 全文已逐字转录 / 复制权利已清。,2026-07-21,human,pass,2026-07-18 05:56:25,L4,related,1494
5,domestic:MMSH:web-political-cooperation,新中国成立前民盟对政治协商制度的贡献,《上海盟讯》,2024-10-12,官方数字报文章,MMSH,民盟上海市委数字报,学习与研究,,,,,paper:2024-10-12:144526_17882979,verified,https://paper.minmengsh.gov.cn/html/2024-10/12/content_144526_17882979.htm,item_digital,open,官方数字报公开可访问,digital,full_item_online,public,citation_only,数字报版权声明待核对,unknown,L4,related,"[""政治协商"", ""民盟成立"", ""1949前多党合作""]","[""黄炎培"", ""左舜生"", ""章伯钧""]","[""上海"", ""延安""]",官方数字报研究文章，提供民盟与政治协商关系的二次叙述和检索词。,official_description,网页正文,文章中的史实和引文需逐项回溯原始文献。,2026-07-18,codex,accepted,T1 accepted (codex-style 复审 2026-07-21)：L4 29 地方民盟 lead-文章 + ZL1872 + CPPCC = 官方平台 + citation_only + full_item_online；LX 4 wikisource 1941/1946 公开转录 = webfetch 2026-07-21 全部 200；L3 3 强 primary source (HNMM 1948 五一 / YADS 1945 延安会谈记录 / LNU 1941 光明报索引)；accept 表示：URL 可达 / 身份可核 / 引用合规；不代表原档已实物核校 / 全文已逐字转录 / 复制权利已清。,2026-07-21,human,pass,2026-07-18 05:56:25,L4,related,1495
6,domestic:MMSH:web-newspapers,1940年代民盟的声音：中国民主政团同盟全国代表会议前后的报刊宣传,《上海盟讯》,2024-09-12,官方数字报研究文章,MMSH,民盟上海市委数字报,学习与研究,,,,,paper:2024-09-12:144526_17806617,verified,https://paper.minmengsh.gov.cn/html/2024-09/12/content_144526_17806617.htm,item_digital,open,官方数字报公开可访问,digital,full_item_online,public,citation_only,数字报版权声明待核对,unknown,L4,related,"[""1940年代民盟报刊宣传"", ""中国民主政团同盟""]","[""张澜"", ""梁漱溟""]","[""上海"", ""重庆"", ""香港""]",官方数字报研究文章，指向《民宪》《民主周刊》《沪盟通讯》等报刊线索。,official_description,网页正文,报刊原件和具体期号尚未从数据库逐条定位。,2026-07-18,codex,accepted,T1 accepted (codex-style 复审 2026-07-21)：L4 29 地方民盟 lead-文章 + ZL1872 + CPPCC = 官方平台 + citation_only + full_item_online；LX 4 wikisource 1941/1946 公开转录 = webfetch 2026-07-21 全部 200；L3 3 强 primary source (HNMM 1948 五一 / YADS 1945 延安会谈记录 / LNU 1941 光明报索引)；accept 表示：URL 可达 / 身份可核 / 引用合规；不代表原档已实物核校 / 全文已逐字转录 / 复制权利已清。,2026-07-21,human,pass,2026-07-18 05:56:25,L4,related,1496
7,domestic:MMSH:web-zhanglan,雨过天晴月更明——张澜先生在迎接上海解放的日子里,中国民主同盟上海市委员会,,官方人物史文章,MMSH,民盟上海市委官网,盟史人物,,,,,web:mszq-29d09e8a-f61b-11ec-a3f5-94c691be0bb6,verified,https://www.minmengsh.gov.cn/detailpage/mszq-29d09e8a-f61b-11ec-a3f5-94c691be0bb6.html,item_digital,open,官方网页公开可访问,digital,full_item_online,public,citation_only,站点版权声明待逐页核对,unknown,L4,related,"[""上海解放"", ""张澜在沪"", ""周公馆""]","[""张澜""]","[""上海"", ""周公馆""]",官方人物史文章，提供张澜1946—1949年在沪活动和地点线索。,official_description,网页正文,文章中的声明、演讲和活动需回溯原始报刊或档案。,2026-07-18,codex,accepted,T1 accepted (codex-style 复审 2026-07-21)：L4 29 地方民盟 lead-文章 + ZL1872 + CPPCC = 官方平台 + citation_only + full_item_online；LX 4 wikisource 1941/1946 公开转录 = webfetch 2026-07-21 全部 200；L3 3 强 primary source (HNMM 1948 五一 / YADS 1945 延安会谈记录 / LNU 1941 光明报索引)；accept 表示：URL 可达 / 身份可核 / 引用合规；不代表原档已实物核校 / 全文已逐字转录 / 复制权利已清。,2026-07-21,human,pass,2026-07-18 05:56:25,L4,related,1471
8,domestic:MMSH:web-intro,中国民主同盟上海市委员会简介,中国民主同盟上海市委员会,,官方机构简介网页,MMSH,民盟上海市委官网,民盟概况,,,,,web:mmjs,verified,https://mng.minmengsh.gov.cn/detailpage/mmjs.html,item_digital,open,官方网页公开可访问,digital,full_item_online,public,citation_only,站点版权声明待逐页核对,unknown,L4,related,"[""上海民盟组织史""]","[""黄炎培"", ""沈志远"", ""黄竞武""]","[""上海""]",官方机构简介，明确提供1945年筹备、1946年成立等组织史线索。,official_description,网页正文,网页叙述仍需与档案和当时报刊互证。,2026-07-18,codex,accepted,T1 accepted (codex-style 复审 2026-07-21)：L4 29 地方民盟 lead-文章 + ZL1872 + CPPCC = 官方平台 + citation_only + full_item_online；LX 4 wikisource 1941/1946 公开转录 = webfetch 2026-07-21 全部 200；L3 3 强 primary source (HNMM 1948 五一 / YADS 1945 延安会谈记录 / LNU 1941 光明报索引)；accept 表示：URL 可达 / 身份可核 / 引用合规；不代表原档已实物核校 / 全文已逐字转录 / 复制权利已清。,2026-07-21,human,pass,2026-07-18 05:56:25,L4,related,1474
9,domestic:MMSH:web-liukaiqu,刘开渠在上海（1946—1949）,赵彦,2024-10-12,官方数字报文章,MMSH,民盟上海市委数字报,学习与研究,,,,,paper:2024-10-12:144526_17882981,verified,https://paper.minmengsh.gov.cn/html/2024-10/12/content_144526_17882981.htm,item_digital,open,民盟上海市委数字报公开可访问,digital,full_item_online,public,citation_only,数字报版权声明待核对,unknown,L4,related,"[""1946上海"", ""1949上海解放"", ""民主人士活动""]","[""刘开渠"", ""赵彦"", ""赵祖康"", ""陈白尘""]","[""上海"", ""南京路"", ""大新公司""]",官方数字报文章回顾刘开渠1946—1949年在上海的活动，正文包含具体时间、地点和人物线索，属于二次叙述。,official_description,网页正文与数字报页脚,页面未提供原始档案案卷号、报刊期号或原件影像链接，相关事实需回溯原始报刊或档案。,2026-07-18,codex,accepted,T1 accepted (codex-style 复审 2026-07-21)：L4 29 地方民盟 lead-文章 + ZL1872 + CPPCC = 官方平台 + citation_only + full_item_online；LX 4 wikisource 1941/1946 公开转录 = webfetch 2026-07-21 全部 200；L3 3 强 primary source (HNMM 1948 五一 / YADS 1945 延安会谈记录 / LNU 1941 光明报索引)；accept 表示：URL 可达 / 身份可核 / 引用合规；不代表原档已实物核校 / 全文已逐字转录 / 复制权利已清。,2026-07-21,human,pass,2026-07-18 06:26:59,L4,related,1497
10,domestic:DAJS:guangming-suzhou-1949,《光明报》苏州解放号外（1949年）,中国民主同盟苏州支部；黄肇模,1949-04-27,地方报刊号外,DAJS,苏州市档案馆,珍档赏析 / 江苏百件红色珍档,,,,《光明报》（号外）苏州解放,dajs:art_123_45642,verified,https://www.dajs.gov.cn/art/2026/2/19/art_123_45642.html,item_surrogate,open,江苏档案信息网官方展示页；页面含原报图片，原件档号未公开,hybrid,surrogate_online,public,citation_only,档案馆页面与原件影像版权规则待核对,unknown,L1,related,"[""1949苏州解放"", ""地方民盟组织"", ""解放号外""]","[""黄肇模""]","[""苏州""]",苏州市档案馆官方页面标明保管单位，并展示1949年4月27日中国民主同盟苏州支部印刷出版的《光明报》号外及其版面图片；这是具体原件的官方数字替身，但不是上海档案。,digital_image,官方展示页标题、保管单位、正文说明和图片,页面未公开原件档号、全宗号、目录号和原图永久链接，L1仅为待人工复核的建议等级。,2026-07-18,codex,accepted,2026-08-02 降级 lead_only：surrogate_online 无可采集全文，仅线索登记；未真正进入 documents/pages，不再计入已收集。,2026-07-18,codex,lead_only,2026-07-18 06:41:40,L1,related,
