id,doc_key,title,date_guess,url,hit_type,ingested_candidate_id,volume_title,volume_id,doc_id,doc_number,class_grade,class_score,class_needs_review,class_reason,source_type,source_registry_id,source_title,source_origin_url,source_local_path,sub_count,prov_count
1048,domestic-ocr/MMHIST:formation-declaration-1941:ocr-pilot,中国民主政团同盟成立宣言（OCR试点页）,1941-10-10,https://www.marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf,domestic_ocr_pilot,,《中国民主同盟历史文献 1941—1949》（1983）,MMHIST,MMHIST:formation-declaration-1941:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:MMHIST:formation-declaration-1941:ocr-pilot,中国民主政团同盟成立宣言（OCR试点页）,https://www.marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,3,0
1049,domestic-ocr/MMHIST:platform-1945:ocr-pilot,中国民主同盟纲领（OCR试点页）,1945-10,https://www.marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf,domestic_ocr_pilot,,《中国民主同盟历史文献 1941—1949》（1983）,MMHIST,MMHIST:platform-1945:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:MMHIST:platform-1945:ocr-pilot,中国民主同盟纲领（OCR试点页）,https://www.marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,1,0
1050,domestic-ocr/MMHIST:political-report-1945:ocr-pilot,中国民主同盟临时全国代表大会政治报告（OCR试点页）,1945-10-11,https://www.marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf,domestic_ocr_pilot,,《中国民主同盟历史文献 1941—1949》（1983）,MMHIST,MMHIST:political-report-1945:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:MMHIST:political-report-1945:ocr-pilot,中国民主同盟临时全国代表大会政治报告（OCR试点页）,https://www.marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,2,0
1051,domestic-ocr/MMHIST:congress-declaration-1945:ocr-pilot,中国民主同盟临时全国代表大会宣言（OCR试点页）,1945-10-16,https://www.marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf,domestic_ocr_pilot,,《中国民主同盟历史文献 1941—1949》（1983）,MMHIST,MMHIST:congress-declaration-1945:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:MMHIST:congress-declaration-1945:ocr-pilot,中国民主同盟临时全国代表大会宣言（OCR试点页）,https://www.marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf,2,0
1052,domestic-ocr/NLC:minmeng-wenxian-1946-minmeng-platform-1945:ocr-pilot,中国民主同盟纲领（1946年官方汇编OCR试点）,1945-10,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,domestic_ocr_pilot,,《民主同盟文獻》（1946）,MMHIST,NLC:minmeng-wenxian-1946-minmeng-platform-1945:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:minmeng-wenxian-1946-minmeng-platform-1945:ocr-pilot,中国民主同盟纲领（1946年官方汇编OCR试点）,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf,26,0
1053,domestic-ocr/NLC:minmeng-wenxian-1946-formation-group:ocr-pilot,1941成立文件页组（OCR试点）,1941-10-10,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,domestic_ocr_pilot,,《民主同盟文獻》（1946）,MMHIST,NLC:minmeng-wenxian-1946-formation-group:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:minmeng-wenxian-1946-formation-group:ocr-pilot,1941成立文件页组（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf,5,0
1054,domestic-ocr/NLC:minmeng-wenxian-1946-early-group:ocr-pilot,1944—1945早期文件页组（OCR试点）,1944-10—1945-01,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,domestic_ocr_pilot,,《民主同盟文獻》（1946）,MMHIST,NLC:minmeng-wenxian-1946-early-group:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:minmeng-wenxian-1946-early-group:ocr-pilot,1944—1945早期文件页组（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf,9,0
1055,domestic-ocr/NLC:minmeng-wenxian-1946-boundary-group:ocr-pilot,1945政治主张文件页组（上，OCR试点）,1945,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,domestic_ocr_pilot,,《民主同盟文獻》（1946）,MMHIST,NLC:minmeng-wenxian-1946-boundary-group:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:minmeng-wenxian-1946-boundary-group:ocr-pilot,1945政治主张文件页组（上，OCR试点）,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf,9,0
1056,domestic-ocr/NLC:minmeng-wenxian-1946-around-group:ocr-pilot,1945政治主张文件页组（下，OCR试点）,1945,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,domestic_ocr_pilot,,《民主同盟文獻》（1946）,MMHIST,NLC:minmeng-wenxian-1946-around-group:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:minmeng-wenxian-1946-around-group:ocr-pilot,1945政治主张文件页组（下，OCR试点）,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf,4,0
1057,domestic-ocr/NLC:minmeng-wenxian-1946-target-group:ocr-pilot,1945文件页组（续，OCR试点）,1945,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,domestic_ocr_pilot,,《民主同盟文獻》（1946）,MMHIST,NLC:minmeng-wenxian-1946-target-group:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:minmeng-wenxian-1946-target-group:ocr-pilot,1945文件页组（续，OCR试点）,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf,6,0
1058,domestic-ocr/NLC:minmeng-wenxian-1946-late-group:ocr-pilot,1945大会宣言后续页组（日期待核，OCR试点）,1945-12或待核,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,domestic_ocr_pilot,,《民主同盟文獻》（1946）,MMHIST,NLC:minmeng-wenxian-1946-late-group:ocr-pilot,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:minmeng-wenxian-1946-late-group:ocr-pilot,1945大会宣言后续页组（日期待核，OCR试点）,https://commons.wikimedia.org/wiki/File:NLC416-01jh004281-12557_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf,11,0
1059,domestic-ocr/NLC:guangmingbao-1947-19-key-pages,《光明報》1947年新十九號关键页（OCR试点）,1947-10-28,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10458_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B419%E6%9C%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1947-19-key-pages,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1947-19-key-pages,《光明報》1947年新十九號关键页（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10458_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B419%E6%9C%9F.pdf,data/domestic/press_scans/NLC404-01J000514-10458_光明報_1947年19期.pdf,12,0
1060,domestic-ocr/NLC:guangmingbao-1947-12-full-ocr,《光明報》1947年新十二號（OCR试点）,1947-08-08,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-72818_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E4%BA%8C%E8%99%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1947-12-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1947-12-full-ocr,《光明報》1947年新十二號（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-72818_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E4%BA%8C%E8%99%9F.pdf,data/domestic/press_scans/NLC404-01J000514-72818_光明報_1947年12期.pdf,16,0
1061,domestic-ocr/NLC:guangmingbao-1947-13-full-ocr,《光明報》1947年新十三號（OCR试点）,1947-01-18,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10453_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E4%B8%89%E8%99%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1947-13-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1947-13-full-ocr,《光明報》1947年新十三號（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10453_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E4%B8%89%E8%99%9F.pdf,data/domestic/press_scans/NLC404-01J000514-10453_光明報_1947年13期.pdf,16,0
1062,domestic-ocr/NLC:guangmingbao-1947-14-full-ocr,《光明報》1947年新十四號（OCR试点）,1947-01-28,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10454_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E5%9B%9B%E8%99%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1947-14-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1947-14-full-ocr,《光明報》1947年新十四號（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10454_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E5%9B%9B%E8%99%9F.pdf,data/domestic/press_scans/NLC404-01J000514-10454_光明報_1947年14期.pdf,16,0
1063,domestic-ocr/NLC:guangmingbao-1947-15-full-ocr,《光明報》1947年新十五號（OCR试点）,1947-02-08,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10455_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E4%BA%94%E8%99%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1947-15-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1947-15-full-ocr,《光明報》1947年新十五號（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10455_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E4%BA%94%E8%99%9F.pdf,data/domestic/press_scans/NLC404-01J000514-10455_光明報_1947年15期.pdf,16,0
1064,domestic-ocr/NLC:guangmingbao-1947-16-17-full-ocr,《光明報》1947年新十六—十七號（OCR试点）,1947-03-18,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10456_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B416%E2%80%9317%E6%9C%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1947-16-17-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1947-16-17-full-ocr,《光明報》1947年新十六—十七號（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10456_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B416%E2%80%9317%E6%9C%9F.pdf,data/domestic/press_scans/NLC404-01J000514-10456_光明報_1947年16–17期.pdf,17,0
1065,domestic-ocr/NLC:guangmingbao-1947-18-full-ocr,《光明報》1947年新十八號（OCR试点）,1947-05-14,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10457_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E5%85%AB%E8%99%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1947-18-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1947-18-full-ocr,《光明報》1947年新十八號（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10457_%E5%85%89%E6%98%8E%E5%A0%B1_1947%E5%B9%B4%E6%96%B0%E5%8D%81%E5%85%AB%E8%99%9F.pdf,data/domestic/press_scans/NLC404-01J000514-10457_光明報_1947年18期.pdf,16,0
1066,domestic-ocr/NLC:guangmingbao-1948-v1n1-full-ocr,《光明報》1948年第一卷第一期（OCR试点）,1948-03-01,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10484_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B71%E6%9C%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1948-v1n1-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1948-v1n1-full-ocr,《光明報》1948年第一卷第一期（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10484_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B71%E6%9C%9F.pdf,data/domestic/press_scans/NLC404-01J000514-10484_光明報_1948年1卷1期.pdf,24,0
1067,domestic-ocr/NLC:guangmingbao-1948-v1n12-full-ocr,《光明報》1948年第一卷第十二期（OCR试点）,1948-08-16,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10514_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B712%E6%9C%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1948-v1n12-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1948-v1n12-full-ocr,《光明報》1948年第一卷第十二期（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10514_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B712%E6%9C%9F.pdf,data/domestic/press_scans/NLC404-01J000514-10514_光明報_1948年1卷12期.pdf,20,0
1068,domestic-ocr/NLC:guangmingbao-1949-v2n1-full-ocr,《光明報》1949年第二卷第一期（OCR试点）,1949-05-10,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10515_%E5%85%89%E6%98%8E%E5%A0%B1_1949%E5%B9%B42%E5%8D%B71%E6%9C%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1949-v2n1-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1949-v2n1-full-ocr,《光明報》1949年第二卷第一期（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10515_%E5%85%89%E6%98%8E%E5%A0%B1_1949%E5%B9%B42%E5%8D%B71%E6%9C%9F.pdf,data/domestic/press_scans/NLC404-01J000514-10515_光明報_1949年2卷1期.pdf,20,0
1069,domestic-ocr/NLC:guangmingbao-1949-v2n12-full-ocr,《光明報》1949年第二卷第十二期（OCR试点）,1949-06-16,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-72821_%E5%85%89%E6%98%8E%E5%A0%B1_1949%E5%B9%B42%E5%8D%B712%E6%9C%9F.pdf,domestic_ocr_pilot,,《光明報》,MMHIST,NLC:guangmingbao-1949-v2n12-full-ocr,,,,,,domestic_ocr_pilot,domestic-ocr:NLC:guangmingbao-1949-v2n12-full-ocr,《光明報》1949年第二卷第十二期（OCR试点）,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-72821_%E5%85%89%E6%98%8E%E5%A0%B1_1949%E5%B9%B42%E5%8D%B712%E6%9C%9F.pdf,data/domestic/press_scans/NLC404-01J000514-72821_光明報_1949年2卷12期.pdf,20,0
