id,source_id,source_name,institution,source_type,authority_level,official_url,record_or_search_url,material_types,shanghai_relevance,access_mode,rights_status,verification_note,checked_at,status
1,domestic:source:modernhistory,抗日战争与近代中日关系文献数据平台,中国历史研究院近代史研究所等,官方文献数据库,一手原件数字化入口,https://www.modernhistory.org.cn/,,"[""图书"", ""报纸"", ""档案"", ""期刊"", ""图片""]",高,在线检索；部分全文,以平台和具体记录为准,官方首页可见图书、报纸、档案、期刊等检索分类；具体记录需逐条核验,2026-07-18,verified_entry
2,domestic:source:nlc_republican,国家图书馆民国时期文献保护计划资源库,国家图书馆,官方文献数据库,一手原件数字化入口,https://mgwxbh.nlc.cn/zyk/,,"[""民国图书"", ""民国期刊"", ""民国报纸"", ""革命文献""]",高,在线目录与部分阅览,以国图版权声明和具体资源条款为准,官方资源页明确列出民国图书、期刊、报纸资源库,2026-07-18,verified_entry
3,domestic:source:nlc_local,民国时期地方文献知识库,国家图书馆,地方文献数据库,数字化文献入口,https://mg.nlc.cn/,,"[""地方志"", ""地方文献"", ""人物"", ""机构"", ""事件""]",中高,在线图文阅览,以页面版权声明为准,官方页面说明支持图文对照、知识关联和文献溯源,2026-07-18,verified_entry
4,domestic:source:cnbksy,全国报刊索引,上海图书馆,报刊索引与全文数据库,一手报刊定位入口,https://www.cnbksy.com/,https://www.cnbksy.com/portal/pushManager/pushItem?id=322&isActivity=true&source=index,"[""近代报刊索引"", ""民国期刊"", ""近代报纸""]",极高,在线检索；全文依订阅或馆内权限,索引与全文使用权分开核实,官方页面确认由上海图书馆主管主办；具体条目需登录或馆内检索。2026-07-19公开检索进一步确认其民国时期期刊全文数据库覆盖1911—1949年两万五千余种期刊，但未在无需登录的公开页面取得《光明報》1941-10-10或1941-10-16原刊影像；保留为可执行的一手报刊定位入口。,2026-07-19,verified_entry
5,domestic:source:shanghai_archives,跟着档案观上海数字人文平台,上海市档案馆,官方档案数字平台,一手档案入口,https://dh.archives.sh.cn/,,"[""上海地方档案"", ""社会团体档案"", ""数字档案文献"", ""照片""]",极高,在线浏览部分数字档案；具体档案依开放状态,以档案馆开放和版权规则为准,官方平台说明馆藏含1945—1949年上海党政军警机关及社会团体档案,2026-07-18,verified_entry
6,domestic:source:shac,中国第二历史档案馆,中国第二历史档案馆,民国档案馆,一手档案入口,https://www.shac.net.cn/,https://www.shac.net.cn/mgcq/,"[""民国中央政府档案"", ""党派档案"", ""社会团体档案"", ""编研成果""]",高,目录、预约查档、现场利用,以开放办法和利用者须知为准,官网可核验预约查档、开放办法和民国档案栏目；具体档号不在本次入库中推断,2026-07-18,verified_entry
7,domestic:source:minmengsh,中国民主同盟上海市委员会,民盟上海市委,官方地方组织网站,官方历史叙述与盟史线索,https://www.minmengsh.gov.cn/,https://mng.minmengsh.gov.cn/detailpage/mmgk-3da6fe99-f684-11ec-95d4-94c691be0bb6.html,"[""组织沿革"", ""盟史专区"", ""人物资料"", ""数字报""]",极高,在线公开浏览,以站点版权声明和具体页面条款为准,官方历史沿革页可核验1945年筹备、1946年成立、1947年被宣布非法等叙述；页面本身不是原始档案,2026-07-18,verified_entry
8,domestic:source:cppcc,全国政协文史资料入口,中国人民政治协商会议全国委员会,官方文史资料入口,亲历回忆与官方整理,http://www.cppcc.gov.cn/,,"[""文史资料"", ""亲历亲见亲闻回忆"", ""政协史料""]",高,官网栏目与出版物并行,以网页和出版物版权规则为准,具体上海民盟条目尚需站内检索或纸本核对；文史资料不等同于原始档案,2026-07-18,verified_entry
9,domestic:source:ncpssd,国家哲学社会科学文献中心,中国社会科学院,官方学术文献平台,二次研究入口,https://www.ncpssd.cn/,https://www.nssd.cn/,"[""社科期刊"", ""学术论文"", ""研究文献""]",中,注册后在线；全文依授权,按平台和期刊授权,nssd.cn 官方通知说明服务并入 ncpssd.cn；只用于研究谱系和反查档案线索,2026-07-18,verified_entry
10,domestic:source:jiangsu_archives,江苏档案信息网 / 苏州市档案馆珍档赏析,苏州市档案馆,官方档案数字展示页,一手档案数字影像入口,https://www.dajs.gov.cn/,https://www.dajs.gov.cn/art/2026/2/19/art_123_45642.html,"[""民盟地方报刊"", ""解放战争时期地方史料"", ""档案影像""]",中；用于全国民盟地方组织对位研究,在线浏览具体展示页；原件利用依馆方规则,以档案馆开放和版权规则为准,官方珍档赏析页明确标注保管单位为苏州市档案馆，并展示1949年民盟苏州支部印刷的《光明报》解放号外；页面未公开档号,2026-07-18,verified_entry
