id,scope_type,scope_slug,scope_name,page_id,event_date,event_year,event_title,event_summary,actors,tags,places,organizations,importance
1,topic,kunming-assassinations,昆明暗杀与民盟政治压力,656,1945-10-05,1945,昆明暗杀事件引发的政治压力与外交关注,他们询问苏联对美国军队在天津和北平地区登陆的立场。,周恩来; 蒋介石,昆明暗杀; 北平接触,昆明; 北平; 重庆; 延安; 满洲; 天津,国民党; 中国共产党,60
2,topic,kunming-assassinations,昆明暗杀与民盟政治压力,1014,1945/09/22 ~ 1945/09/22,1945,昆明暗杀事件引发的政治压力与外交关注,邱清泉电唐纵戴笠等情报暂十七师开越及共党在昆活动机关有观察报社等又民盟罗隆基李公朴潘光旦等人于各大学演讲诋毁元首请令严密防范为要,罗隆基,昆明暗杀; 民盟,,中国民主同盟,45
3,topic,kunming-assassinations,昆明暗杀与民盟政治压力,1005,1946/07/15 ~ 1946/07/15,1946,昆明暗杀事件引发的政治压力与外交关注,陶镕电蒋中正民盟负责人李公朴被人刺死后捕获嫌疑犯一人警备总部正在严缉中惟奸党阴谋借此攻击国民党和青年团支团并煽动学生,,昆明暗杀; 民盟,,中国民主同盟; 国民党,35
4,topic,kunming-assassinations,昆明暗杀与民盟政治压力,785,1948-11-19,1948,昆明暗杀事件引发的政治压力与外交关注,在所有有组织的国民党抵抗停止后，内战结束的标志很可能是组建一个包括现国民政府重要成员在内的新联合政府。 这样的联合政府有可能在“反帝国主义”这一核心议题上寻求团结，但也有可能避免与美国对抗。,蒋介石,昆明暗杀; 马歇尔调处; 联合政府; 民盟,香港; 满洲,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,55
5,topic,kunming-assassinations,昆明暗杀与民盟政治压力,1013,1948/07/22 ~ 1948/07/22,1948,陶镕电蒋中正立院休会返昆昆明学潮虽解决但因中共民盟发展已久外县仍多奸党活动及滇省共匪在滇桂越边境较多企图与桂境李济琛指挥下之民主联军联合,陶镕电蒋中正立院休会返昆昆明学潮虽解决但因中共民盟发展已久外县仍多奸党活动及滇省共匪在滇桂越边境较多企图与桂境李济琛指挥下之民主联军联合,,民盟,昆明,中国民主同盟; 中国共产党,20
6,topic,kunming-assassinations,昆明暗杀与民盟政治压力,1025,1948/09/07 ~ 1948/09/07,1948,卢汉电蒋中正称滇西匪段英已遭击溃在昆明捕获现正严讯中期得民盟在云南逆谋以为预防,卢汉电蒋中正称滇西匪段英已遭击溃在昆明捕获现正严讯中期得民盟在云南逆谋以为预防,,民盟,昆明,中国民主同盟,20
7,topic,kunming-assassinations,昆明暗杀与民盟政治压力,419,1949-01-01,1949,北平接触与民盟人士沟通,迁沪后不久，北平、南京分会相继成立，随后于1946年开设了香港九龙分会。 实际上，各分会及上海总部均由中共地下女党员、中国民主同盟成员及其他左翼人士领导，他们与解放区妇女联合会筹备委员会合作，并秘密接受蔡畅、邓颖超及该筹备委员会其他核心成员的指导。,,北平接触; 民盟,昆明; 北平; 南京; 重庆; 上海; 香港; 成都,中国民主同盟; 国民党; 中国共产党,75
8,topic,kunming-assassinations,昆明暗杀与民盟政治压力,698,1949-06-14,1949,昆明暗杀事件引发的政治压力与外交关注,我军计划于今年冬季攻占以下城市：广州、南宁、昆明、贵阳、重庆、成都、青海、宁夏。为防止帝国主义列强可能实施的经济封锁和军事干预，应采取以下措施： a) 尽快将帝国主义的走狗——国民党残余势力从地球上彻底消灭。这是首要任务。如果中国大陆没有帝国主义的走狗，那么帝国主义者实施经济封锁和干预将十分困难，甚至几乎不可能。 b) 建立沿海防线。 c) 准备实现经济自给自足，以免受可能的经济封锁之影响。 4. 事态发展比我们此前预想的更为迅速。我军部队不依赖后方补给，而是就地取给（人力补充、弹药、粮秣、被服等），在国民党区域…,,昆明暗杀,昆明; 重庆; 成都,国民党,40
9,topic,kunming-assassinations,昆明暗杀与民盟政治压力,877,1950-01-20,1950,昆明暗杀事件引发的政治压力与外交关注,**中共决定承认越南民主共和国** 昨晚在此间收听到的北平电台广播宣布，中共政府已决定承认胡志明博士在越南的越南民主共和国（Vietminh Republic）。,蒋介石,昆明暗杀; 第三方面; 北平接触,昆明; 北平; 香港; 延安; 满洲; 华盛顿,国民党; 中国共产党; 美国国务院,20
10,topic,kunming-assassinations,昆明暗杀与民盟政治压力,806,1951-03-24,1951,北平接触与民盟人士沟通,**中央情报局** **第2页** 广州参加干部学校的6名大学生已准备在西安、迪化、汉口、北平、昆明等地开课。,,北平接触; 民盟,昆明; 北平; 香港; 沈阳; 满洲,中国民主同盟; 中国共产党,55
11,topic,kunming-assassinations,昆明暗杀与民盟政治压力,807,1951-04-13,1951,昆明暗杀事件引发的政治压力与外交关注,1950年11月6日的乌鲁木齐《新疆日报》刊登了一则新华社电讯，称麦克阿瑟正在指挥由国民党特务组织的所谓“第三方面”，配合美国在远东的侵略，在中国进行颠覆活动。 该报还称，青年党成员正与日本特务合作伪造人民币，以资助“第三方面”在中国的活动。,,昆明暗杀; 政协; 第三方面; 北平接触; 民盟,北平; 南京; 重庆; 上海; 香港; 沈阳; 天津,中国民主同盟; 国民党; 中国共产党; 青年党; 政治协商会议,55
12,topic,kunming-assassinations,昆明暗杀与民盟政治压力,469,1952-06-04,1952,昆明暗杀事件引发的政治压力与外交关注,这一说法在李济深（Li Chi-shen）和张澜（Chang Lan）为纪念《中苏友好同盟互助条约》签署两周年（1952 年 2 月 14 日）而发表的讲话中得到了重申，但未作进一步阐述。 主题内容** 在 1952 年 1 月 1 日发表于北平《光明日报》（Peiping Kuang-ming Jih-pao）的一篇新年贺词中，致公党（Chih Kung Tang）主席、代表海外华侨的中国人民政治协商会议（CPPCC）委员司徒美堂，在呼吁海外华侨提供财政和政治支持时，清晰地勾勒了中国共产党的“国际”取向： “最…,张澜,昆明暗杀; 政协; 北平接触; 民盟,北平; 南京; 上海,中国民主同盟; 中国共产党; 政治协商会议,65
13,topic,kunming-assassinations,昆明暗杀与民盟政治压力,474,1953-09-14,1953,北平接触与民盟人士沟通,中国主要城市食品工业初步调查结果** | 工业 | 项目 | 上海 | 南京 | 北平 | 天津 | 青岛 | 重庆 | 沈阳 | 西安 | 汉口 | 广州 | 台湾 | 兰州 | 汕头 | 福州 | 昆明 | 贵阳 | 衡阳 | 晋江 | | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--…,,马歇尔调处; 北平接触,昆明; 北平; 南京; 重庆; 上海; 沈阳; 天津,,40
