id,source_type,source_id,title,origin_url,local_path
1,frus_epub,frus1943China,"Foreign Relations of the United States, Diplomatic Papers, 1943, China",https://history.state.gov/historicaldocuments/frus1943China,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1943China.epub
2,frus_epub,frus1944v06,"Foreign Relations of the United States, Diplomatic Papers, 1944, China, Volume VI",https://history.state.gov/historicaldocuments/frus1944v06,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1944v06.epub
3,frus_epub,frus1945v07,"Foreign Relations of the United States, Diplomatic Papers, 1945, The Far East, China, Volume VII",https://history.state.gov/historicaldocuments/frus1945v07,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1945v07.epub
4,frus_epub,frus1946v09,"Foreign Relations of the United States, 1946, The Far East: China, Volume IX",https://history.state.gov/historicaldocuments/frus1946v09,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1946v09.epub
5,frus_epub,frus1946v10,"Foreign Relations of the United States, 1946, The Far East: China, Volume X",https://history.state.gov/historicaldocuments/frus1946v10,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1946v10.epub
6,frus_epub,frus1947v07,"Foreign Relations of the United States, 1947, The Far East: China, Volume VII",https://history.state.gov/historicaldocuments/frus1947v07,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1947v07.epub
7,frus_epub,frus1948v07,"Foreign Relations of the United States, 1948, The Far East: China, Volume VII",https://history.state.gov/historicaldocuments/frus1948v07,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1948v07.epub
8,frus_epub,frus1948v08,"Foreign Relations of the United States, 1948, The Far East: China, Volume VIII",https://history.state.gov/historicaldocuments/frus1948v08,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1948v08.epub
9,frus_epub,frus1949v08,"Foreign Relations of the United States, 1949, The Far East: China, Volume VIII",https://history.state.gov/historicaldocuments/frus1949v08,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1949v08.epub
10,frus_epub,frus1949v09,"Foreign Relations of the United States, 1949, The Far East: China, Volume IX",https://history.state.gov/historicaldocuments/frus1949v09,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1949v09.epub
11,frus_epub,frus1950v06,"Foreign Relations of the United States, 1950, East Asia and the Pacific, Volume VI",https://history.state.gov/historicaldocuments/frus1950v06,/Users/cheer/Documents/New project/data/frus_meng/epubs/frus1950v06.epub
12,cia,ciareadingroom,CIA Records Reading Room (archive.org mirror),https://archive.org/details/ciareadingroom,/home/zq/work/mingmeng-history-research/data/cia_meng
13,wilson,wilson-digital-archive,Wilson Center Digital Archive,https://www.wilsoncenter.org/digital-archive,data/wilson_center
14,hathi_ia,archive.org,HathiTrust / Internet Archive 公开档案,https://archive.org,/home/zq/work/mingmeng-history-research/data/hathitrust_ia
