id,cluster_id,canonical_candidate_id,cluster_size,members,inserted_at
1,DCL-0001,domestic:SAAC:1949-index-c01,2,"[""domestic:SAAC:1949-index-c01"", ""domestic:SAAC:catalog-05-05_01""]",2026-08-03 02:13:11
2,DCL-0002,domestic:GXMM:dagongbao-dissolution-report-1947-11-06,2,"[""domestic:GXMM:dagongbao-dissolution-report-1947-11-06"", ""domestic:GXMM:dagongbao-tianjin-dissolution-1947-11-06""]",2026-08-03 02:13:11
3,DCL-0003,domestic:NLC:guangmingbao-1947-issue22,22,"[""domestic:NLC:guangmingbao-1947-issue22"", ""domestic:NLC:guangmingbao-1947-issue22-middle-route-again-deng"", ""domestic:NLC:guangmingbao-1947-issue22-one-year-war-result-lu"", ""domestic:NLC:guangmingbao-1947-issue22-cry-recall-xingzhi-deng"", ""domestic:NLC:guangmingbao-1947-issue22-gongpu-still-beside-zhang"", ""domestic:NLC:guangmingbao-1947-issue22-learn-taofen-spirit-hu"", ""domestic:NLC:guangmingbao-1947-issue22-patriotic-poet-wen-hong"", ""domestic:NLC:guangmingbao-1947-issue22-hengshe-tonghua-sa"", ""domestic:NLC:guangmingbao-1947-issue22-action-memorial-peng"", ""domestic:NLC:guangmingbao-1947-issue22-double-effort-people-shen"", ""domestic:NLC:guangmingbao-1947-issue22-wipe-out-killers-li"", ""domestic:NLC:guangmingbao-1947-issue22-pass-the-test-hu-sheng"", ""domestic:NLC:guangmingbao-1947-issue22-liwen-anniversary-qian"", ""domestic:NLC:guangmingbao-1947-issue22-painful-memorial-chen"", ""domestic:NLC:guangmingbao-1947-issue22-mourn-and-spur-song"", ""domestic:NLC:guangmingbao-1947-issue22-dare-not-forget-chen"", ""domestic:NLC:guangmingbao-1947-issue22-dictators-killed-them-ye"", ""domestic:NLC:guangmingbao-1947-issue22-gongpu-rest-in-peace-simu"", ""domestic:NLC:guangmingbao-1947-issue22-one-falls-thousands-rise-lu"", ""domestic:NLC:guangmingbao-1947-issue22-history-essays-shen-gong"", ""domestic:NLC:guangmingbao-1947-issue22-shantou-black-terror"", ""domestic:NLC:guangmingbao-1947-issue22-meixian-recent-look""]",2026-08-03 02:13:11
4,DCL-0004,domestic:NLC:guangmingbao-1946-issue11,2,"[""domestic:NLC:guangmingbao-1946-issue11"", ""domestic:NLC:guangmingbao-1946-issue11-anti-one-party-constitution""]",2026-08-03 02:13:11
5,DCL-0005,domestic:NLC:dagongbao-shanghai-1947-11-06-page2-full,2,"[""domestic:NLC:dagongbao-shanghai-1947-11-06-page2-full"", ""domestic:NLC:dagongbao-tianjin-1947-11-06-page2-full""]",2026-08-03 02:13:11
6,DCL-0006,domestic:NLC:minxian-v1n9-1944-11-20,2,"[""domestic:NLC:minxian-v1n9-1944-11-20"", ""domestic:NLC:minxian-v1n9-democracy-vs-nondemocracy-1944-11-20""]",2026-08-03 02:13:11
7,DCL-0007,domestic:NLC:guangmingbao-1946-issue11-zhang-lan-shanghai-welcome-speech,3,"[""domestic:NLC:guangmingbao-1946-issue11-zhang-lan-shanghai-welcome-speech"", ""domestic:NLC:guangmingbao-1946-issue11-china-at-1947-threshold"", ""domestic:NLC:guangmingbao-1946-issue11-truman-december-18-statement""]",2026-08-03 02:13:11
8,DCL-0008,domestic:NLC:dagongbao-hankow-1947-11-04-zhang-qun-notice,2,"[""domestic:NLC:dagongbao-hankow-1947-11-04-zhang-qun-notice"", ""domestic:NLC:dagongbao-hankow-1947-11-04-league-dissolution-meeting""]",2026-08-03 02:13:11
9,DCL-0009,domestic:NLC:guangmingbao-1946-issue01-refounding-editorial,3,"[""domestic:NLC:guangmingbao-1946-issue01-refounding-editorial"", ""domestic:NLC:guangmingbao-1946-issue01-shen-zhiyuan-minmeng-current-situation-proposal"", ""domestic:NLC:guangmingbao-1946-issue01-liu-simou-youth-degeneration""]",2026-08-03 02:13:11
10,DCL-0010,domestic:NLC:guangmingbao-1946-issue02-people-power-editorial,2,"[""domestic:NLC:guangmingbao-1946-issue02-people-power-editorial"", ""domestic:NLC:guangmingbao-1946-issue02-huang-yaomian-us-imperialism-china""]",2026-08-03 02:13:11
