candidate_id,period,repository_code,repository_name,title,document_date,authenticity_level_accepted,evidence_grade,source_url,source_family,source_kind,citation_ready,review_status,catalog_reference,sha256,page_count,cluster_id,cluster_role,needs_ocr,notes
domestic:SAAC:catalog-05-05_01,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_01.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,DCL-0001,duplicate,yes,国家档案局／中央档案馆官方专题具体条目页，题名、形成日期和公开影像入口可追踪。
domestic:GXMM:dagongbao-tianjin-dissolution-1947-11-06,1946-1950,GXMM,,,1947-11-06,L4,L4_secondary,https://www.gxmm.gov.cn/index/index/artical/id/7063.html,民盟自身与盟史,official_history_page,no,accepted,,,0,DCL-0002,duplicate,no,民盟广西区委官方文章明确给出天津版《大公报》1947年11月6日第2版《民盟宣布解散》及中央社上海五日电的报道定位。
domestic:NLC:dagongbao-tianjin-1947-11-06-page2-full,1946-1950,NLC,,,1947-11-06,L1,L1_citation_ready,http://tk.dhcdb.com.tw/tknewsc/tknewskm?@@1,国内党政机关与档案馆,press_scan,yes,accepted,,,0,DCL-0005,duplicate,no,数据库结果明确标示‘大公報天津版’、日期1947/11/06、版次02，记录标题为‘民盟宣布解散 公告與政府洽商之經過 通知盟員停止政治活動 一律免除登記可享合法自由’。全版影像中可直接看到报头、日期、版次，版面中部可见‘民盟宣布解散’及相关副标题，属于同期原刊全版影像；与GXMM公开嵌图截取相互印证。
domestic:NLC:guangmingbao-1946-issue11-anti-one-party-constitution,1946-1950,NLC,,,1946-09-13,L1,L1_citation_ready,https://commons.wikimedia.org/wiki/File%3ANLC404-01J000514-23806_%E5%85%89%E6%98%8E%E5%A0%B1_1946%E5%B9%B411%E6%9C%9F.pdf,国内党政机关与档案馆,press_scan,yes,accepted,,,0,DCL-0004,duplicate,no,逐页核读公开原刊：PDF第1页目录列出‘反对一党独裁宪法（社论）’，PDF第3页正文首页大标题为《反对一党独裁的宪法！》。该社论是1946年国民大会与宪法争议的同期民盟机关报证据。
domestic:NLC:minxian-v1n9-democracy-vs-nondemocracy-1944-11-20,1944-1945,NLC,,,1944-11-20,L1,L1_citation_ready,https://commons.wikimedia.org/wiki/File:NLC404-00J001436-85450_%E6%B0%91%E6%86%B2_1944%E2%80%931945%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%8D%B7%E7%AC%AC%E4%B9%9D%E6%9C%9F.pdf,国内党政机关与档案馆,press_scan,yes,accepted,,,0,DCL-0006,duplicate,no,原刊目录页（PDF第2页）列出《民主政治與非民主政治》；正文页眉与印刷页码核见该文，正文跨印刷页13—17（PDF第16—20页），末页印刷页17可清楚核读。作者陈启天由公开学术引文与该文题名、刊期、页码互证；学术引文不是替代原刊的一级证据。 本轮已逐页目视核对PDF第16—20页，确认文章页界闭合。
domestic:NLC:guangmingbao-1946-issue11-china-at-1947-threshold,1946-1950,NLC,,,1946-09-13,L1,L1_citation_ready,https://commons.wikimedia.org/wiki/File%3ANLC404-01J000514-23806_%E5%85%89%E6%98%8E%E5%A0%B1_1946%E5%B9%B411%E6%9C%9F.pdf,国内党政机关与档案馆,press_scan,yes,accepted,,,3,DCL-0007,duplicate,no,公开原刊逐页核读：PDF第1页目录列出题名并署黄药眠，PDF第6页正文以同名大标题开始，PDF第7—8页为连续正文；刊物版面日期为1946-09-13。
domestic:NLC:guangmingbao-1946-issue11-truman-december-18-statement,1946-1950,NLC,,,1946-09-13,L1,L1_citation_ready,https://commons.wikimedia.org/wiki/File%3ANLC404-01J000514-23806_%E5%85%89%E6%98%8E%E5%A0%B1_1946%E5%B9%B411%E6%9C%9F.pdf,国内党政机关与档案馆,press_scan,yes,accepted,,,1,DCL-0007,duplicate,no,公开原刊逐页核读：PDF第1页目录列出该社论，PDF第2页正文页顶可核到完整题名；正文讨论政协会决议、民盟人士受压和美国对华政策。
domestic:NLC:dagongbao-hankow-1947-11-04-league-dissolution-meeting,1946-1950,NLC,,,1947-11-04,L1,L1_citation_ready,https://commons.wikimedia.org/wiki/Special:FilePath/NLC1080-00N001037-7604_%E5%A4%A7%E5%89%9B%E5%A0%B1_1947%E5%B9%B411%E6%9C%8804%E6%97%A5.pdf,国内党政机关与档案馆,press_scan,yes,accepted,,,0,DCL-0008,duplicate,no,已完成人工目视复核：汉口版1947-11-04第1版可见‘民盟将召开中常会讨论解散’标题，记录的是解散前会议消息与同期传播语境，不是民盟总部解散公告原件。
domestic:NLC:guangmingbao-1948-1949-v1n1-article,1946-1950,NLC,,,1948-03-01,L1,L1_citation_ready,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10484_光明報_1948年1卷1期.pdf,国内党政机关与档案馆,press_scan,yes,accepted,,,0,DCL-0013,duplicate,no,PDF第2页目录列出《民盟三中全会的成就》并署沈钧儒；PDF第4页版面大标题和右下署名均可见，第5页已转入《略论民主同盟当前的任务》。
domestic:NLC:guangmingbao-1948-1949-v1n12-article,1946-1950,NLC,,,1948-08-16,L1,L1_citation_ready,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10514_光明報_1948年1卷12期.pdf,国内党政机关与档案馆,press_scan,yes,accepted,,,0,DCL-0014,duplicate,no,PDF第2页可视核到《反對美國援蔣扶日》标题与正文；第3页已转入《二個前提與五項原則》，因此当前文章页界为PDF第2页；OCR仅作定位辅助。
