candidate_id,period,repository_code,repository_name,title,document_date,authenticity_level_accepted,evidence_grade,source_url,source_family,source_kind,citation_ready,review_status,catalog_reference,sha256,page_count,cluster_id,cluster_role,needs_ocr,notes
domestic:HKU:guangmingbao-1941-microform-holdings,1941-1943,HKU,,,1941-09-18—1941-12-12,,L2_page_cite,https://lib.hku.hk/sites/all/files/files/hkspc/pathfinders/newspaper_1940s_update_072021.pdf,公共数字化/学术/海外,press_scan,no,needs_human_review,,,0,,,yes,香港大学图书馆《Hong Kong Newspapers - Chronological List 1940s》列出第21项《光明報》，格式为Microform，访问方式为Microfilm at Special Collections，馆藏范围为1941年9月18日至12月12日且标注无缺期。该机构级记录首次把《光明報》创刊日与具体缩微胶卷馆藏关联，为回查创刊号、成立宣言及1941年10月16日社论提供可执行入口。
domestic:HKU:guangmingbao-primo-record,1941-1943,HKU,,,1941—1949,,L2_page_cite,https://julac.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=HKU_IZ21440249790003414&vid=HKU&lang=en_US,公共数字化/学术/海外,press_scan,no,needs_human_review,,,0,,,yes,港大 JULAС/Primo 公开书目记录将《光明報》定位为香港出版、1941年开始至1949年停刊的报刊，并给出 Special Collections Counter、Hong Kong Closed Materials 和索书号 HKC 951 G91 M；与港大官方1940年代报刊馆藏表的1941-09-18至12-12无缺期缩微记录相互印证。
domestic:SHPRESS:zhanglan-shidai-ribao-1947-11-07-lead,1946-1950,SHPRESS,,,1947-11-07,,L4_secondary,http://www.sdmm.org.cn/bencandy.php?fid=33&id=7998,公共数字化/学术/海外,web_transcription,no,needs_human_review,,,0,,,no,阶段3公开检索复核：山东民盟等后期盟史页记载11月6日总部解散公告见报后，11月7日张澜以个人名义在上海《时代日报》发表书面谈话，表示信念不改。此为传播链线索，不是总部解散公告原件，也不是《时代日报》原版。
domestic:WS:dagongbao-1946-pcc-five-agreements-1946-01-31,1946-1950,WS,,,1946-01-31,,L1_needs_review,https://www.dagongbao.com/ (及公网数据库入口),公共数字化/学术/海外,web_transcription,no,needs_human_review,,,0,,,no,"1946-01-31 政协会议闭幕,通过《和平建国纲领》《政府组织案》《军事问题案》《国民大会案》《宪法草案案》五项协议;《大公报》作为当时北方主流民营大报,对五项协议作全版报道,呼应同期《新华日报》《文汇报》《新民报》等报道。证据基础为多源公开网综述及研究文章(如搜狐、人民网党史频道、张家界市统战部网);原刊完整 PDF 未公开核验。"
domestic:XHB:xinhuaribao-1946-pcc-five-agreements-1946-01-31,1946-1950,XHB,,,1946-01-31,,L1_needs_review,https://news.xinhuanet.com/zwcp/jsxwh/ (及新华日报数据库入口),公共数字化/学术/海外,press_scan,no,needs_human_review,,,0,,,no,"1946-01-31 政协会议闭幕日,《新华日报》作为中共在国统区公开发行的机关报,对政协五项协议作头版/要闻版报道。证据基础为多源公开网综述(中国江苏网传媒观察、人民网党史频道等);原刊完整 PDF 未直接核验。"
domestic:WH:wenhuibao-1946-pcc-five-agreements-1946-01-31,1946-1950,WH,,,1946-01-31,,L1_needs_review,https://www.whb.cn/ (及文汇报数据库入口),其他,other,no,needs_human_review,,,0,,,no,"1946-01-31 政协会议闭幕日,《文汇报》作为上海重要民营进步报纸,对政协五项协议作头版/要闻版报道。证据基础为多源公开网综述(搜狐党史专栏、人民网党史频道、张家界市统战部网等);原刊完整 PDF 未直接核验。"
domestic:WS:dagongbao-1946-refuse-national-assembly-minmeng-1946-11-14,1946-1950,WS,,,1946-11-14,,L1_needs_review,https://www.dagongbao.com/,公共数字化/学术/海外,web_transcription,no,needs_human_review,,,0,,,no,"1946-11-14 民盟总部向各省市民盟组织发布《紧急通告》,正式宣布拒绝参加国民党一党包办的国大,要求广泛宣传民盟决定和张澜主席指示。多源报道《大公报》《新华日报》《文汇报》《新民报》同期作头版/要闻版报道(《张家界市统战部》《澎湃新闻》《中国共产党新闻网》等多源引用)。原刊完整 PDF 未直接核验。"
domestic:XHB:xinhuaribao-1946-refuse-national-assembly-editorial-1946-11-25,1946-1950,XHB,,,1946-11-25,,L1_needs_review,https://news.xinhuanet.com/zwcp/jsxwh/,公共数字化/学术/海外,press_scan,no,needs_human_review,,,0,,,no,"1946-11-25《新华日报》(公开影印本/54 年版系列)发表社论'立刻解散非法的国大',配合同日(孔夫子旧书网等公开目录证实)报道系列内容:毛主席朱总司令电贺苏国庆,斯大林复电致谢,中外舆论看穿蒋记国大骗局,自七月蒋介石发动全面内战以来蒋军被歼达40个旅等。原刊完整 PDF 未直接核验。"
domestic:WH:wenhuibao-1946-refuse-national-assembly-shanghai-1946-11-25,1946-1950,WH,,,1946-11-25,,L1_needs_review,https://www.whb.cn/ (及孔夫子旧书网 book.kongfz.com 公开目录),其他,other,no,needs_human_review,,,0,,,no,"1946-11-25 上海《文汇报》第8期 总第8期 四版全(孔夫子旧书网公开目录有售,八品 168 元)。多源证实 1946-11-25 民盟上海临时总部召开中外记者招待会,说明民盟一年来参加政协会议和南京和谈的经过、不参加国大的理由,以及今后为中国和平、民主、统一而继续奋斗的方针。原刊完整 PDF 未直接核验。"
domestic:KMY:minzhuzhoukan-1946-li-wen-wen-yiduo-1946-07,1946-1950,KMY,,,1946-07-15,,L1_needs_review,https://www.cctv.com (CCTV.com '闻一多骨灰保存和安葬'等公开资料),其他,other,no,needs_human_review,,,0,,,no,"1944 年闻一多加入民盟,出任民盟中央执行委员、民盟云南支部宣传委员兼《民主周刊》社社长。1946-07-11 李公朴被暗杀,07-15 闻一多在云南大学至公堂举行的李公朴追悼会上发表著名的《最后一次讲演》,当日下午 5 时在西仓坡被国民党特务刺杀,殉难。讲演原文已通过民盟中央、云南日报等公开渠道全文发表(《闻一多全集·第二卷》湖北人民出版社)。原刊《民主周刊》同期追悼文章完整影像未公开核验。"
