sample_id,page_id,document_id,doc_key,title,page_label,text_length,disposition_code,batch7_bucket,image_path_resolved,page_url,text_excerpt,check_items,human_result,human_reviewer,human_reviewed_at,human_notes
S13-01,20708,1527,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde03-f1,中国人民政治协商会议筹备会第二次全体会议记录（1949-09-17）,page-04,0,D0_EMPTY_LIKELY_BLANK,Q0_EMPTY,/Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/raw/saac_scans/sec03_03-03/s03_04.jpg,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/raw/saac_scans/sec03_03-03/s03_04.jpg,,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-02,20718,1530,domestic-ocr/SAAC:domestic:SAAC:51koukou-p04-dde01-i3,新政治协商会议筹备会关于召开成立会的通知（1949-06-14）,page-02,0,D0_EMPTY_NEEDS_REOCR,Q0_EMPTY,/Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/raw/saac_scans/sec04_04-01/02.jpg,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/raw/saac_scans/sec04_04-01/02.jpg,,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-03,20762,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,page-02,0,D0_EMPTY_HANDWRITING,Q0_EMPTY,/Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/raw/saac_scans/sec05_05-05/02.jpg,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/raw/saac_scans/sec05_05-05/02.jpg,,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-04,20763,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,page-03,0,D0_EMPTY_HANDWRITING,Q0_EMPTY,/Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/raw/saac_scans/sec05_05-05/03.jpg,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/raw/saac_scans/sec05_05-05/03.jpg,,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-05,20623,1468,domestic-web/DL-20260802-049,《民盟宣布解散·公告与政府洽商之经过·通知盟员停止政治活动·一律免除登记可享合法自由》,full-text,5,D1_BINARY_GARBAGE,Q4_FRAGMENT,/Users/cheer/Documents/mm agent/mingmeng-history-research/https:/www.gxmm.gov.cn/Upload/img/2025-11-07/690da67967700.png,https://www.gxmm.gov.cn/Upload/img/2025-11-07/690da67967700.png,�PNG ,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-06,20338,1348,domestic-ocr/S3:domestic:NLC:minmeng-wenxian-1946-whole,《民主同盟文獻》,page-0002,60,D2_LIBRARY_STAMP,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC511-027032013012333-19131/ocr/page-0002.ocr.md,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC511-027032013012333-19131/ocr/page-0002.ocr.md#text,上海图书馆藏书 A541 212 0022 87788 <!-- month-task-ocr-complete -->,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-07,20463,1427,domestic-ocr/S3:domestic:NLC:minmeng-yanlunji-1945-whole,《中國民主同盟言論集》,page-0002,65,D2_LIBRARY_STAMP,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC511-027032016010761-42571/ocr/page-0002.ocr.md,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC511-027032016010761-42571/ocr/page-0002.ocr.md#text,上海图书馆藏书 A541 212 0019 9602B 香姐 D <!-- month-task-ocr-complete -->,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-08,16802,1259,domestic-page/NLC404-00J001436-85444,《民憲》第一卷第三期,1,11,D3_ISSUE_HEADER,Q3_OCR_SUSPECT,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC404-00J001436-85444/images/page-0001.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/press_scans/NLC404-00J001436-85444_民憲_第一卷第三期.pdf#page=1,年 第 卷 3 第 期,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-09,16843,1255,domestic-page/NLC404-00J001436-85453,《民憲》第一卷第十二期,1,12,D3_ISSUE_HEADER,Q3_OCR_SUSPECT,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC404-00J001436-85453/images/page-0001.png,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/data/domestic/press_scans/NLC404-00J001436-85453_民憲_第一卷第十二期.pdf#page=1,年 第 卷 12 第 期,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
S13-10,20337,1348,domestic-ocr/S3:domestic:NLC:minmeng-wenxian-1946-whole,《民主同盟文獻》,page-0002,62,D4_COVER_TITLE,Q5_SHORT_REVIEW,/Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC416-01jh004281-12557/ocr/page-0002.ocr.md,file:///Users/cheer/Documents/mm agent/mingmeng-history-research/work/domestic/month_20260728/pages/NLC416-01jh004281-12557/ocr/page-0002.ocr.md#text,民主同盟文献 中国民主同盟总部编印 中华民国三十五年十二月 <!-- month-task-ocr-complete -->,影像是否存在|OCR是否完整|是否正文|是否可引用|建议动作,,,,
