candidate_id,title,author_editor,institution,year,publisher_journal,isbn,doi,evidence_level,material_class,note
domestic:HE:zhongguo-minmengtongmeng-shijiazhuang-shi-zhi-2013,中国民主同盟石家庄市志,中国民主同盟石家庄市委员会（编著）,民盟石家庄市委员会,2013,河北人民出版社,,,L4,二手,市级民盟组织志
domestic:SN:shaanxi-minmengshi-chenxitao,陕西民盟史,陈希滔,民盟陕西省委,,陕西人民出版社,,,L4,二手,
domestic:AH:anhui-minzhudangpai-shi-meng-zhangjie-2009,安徽民主党派史（民盟章节）,,时代出版传媒股份有限公司、安徽教育出版社,2009,安徽教育出版社,,,L4,二手,省级民主党派史
domestic:ZJ:zhejiang-sheng-minzhudangpai-zhi-2002,浙江省民主党派志,浙江省民主党派志编纂委员会,浙江省民主党派志编纂委员会,2002,浙江人民出版社,,,L4,二手,851 页 1215 千字；民盟篇为第二篇
domestic:HB:hubei-minmengshi-2014-xiangbiwu,湖北民盟史,向必武,民盟湖北省委,2014,湖北人民出版社,,,L4,二手,1946—2013
domestic:FJ:zhongguo-minmengtongmeng-fujian-jianshi-2018,中国民主同盟福建简史,苏增添（主编）,民盟福建省委,2018,线装书局,978-7-5120-2896-2,,L4,二手,1946—2018 简史
domestic:HN:hunan-minmengrenwu-2020,湖南民盟人物,杨君武（编）；民盟湖南省委员会,民盟湖南省委员会,2020,群言出版社,9787519306090,,L4,二手,湖南盟史丛书；352 页
domestic:JS:zhongguo-minmengtongmeng-jiangsu-jianshi-2012,中国民主同盟江苏简史,民盟江苏省委员会、江苏省中共党史资料征集协作小组（编）,民盟江苏省委,2012,中央党史出版社,,,L4,二手,
domestic:GD:guangdong-minmengshi-2012-lijingxian,广东民盟史,李竟先（主编）,民盟广东省委,2012,广东人民出版社,,,L4,二手,
domestic:SC:sichuan-minmengshi-sichuan-renmin,四川民盟史,民盟四川省委（编）,民盟四川省委,,四川人民出版社,,,L4,二手,
domestic:JS:jiangsu-minmengshi-gao-2004,江苏民盟史稿,民盟江苏省委员会、江苏省政协文史资料委员会（编）,民盟江苏省委,2004,江苏人民出版社,,,L4,二手,
domestic:GZ:guizhou-minmengshi-2013,贵州民盟史,民盟贵州省委（编）,民盟贵州省委,2013,贵州人民出版社,,,L4,二手,
domestic:YN:yunan-minmengshi-2021-chenguang,云南民盟史,（云南出版集团晨光出版社）,民盟云南省委,2021,云南出版集团晨光出版社,,,L4,二手,约 48 万字
