candidate_id,title,author_editor,institution,year,publisher_journal,isbn,doi,evidence_level,material_class,note,stable_url,source_locator,catalog_reference,verification_status,verified_at,bibliographic_use
domestic:HE:zhongguo-minmengtongmeng-shijiazhuang-shi-zhi-2013,中国民主同盟石家庄市志,中国民主同盟石家庄市委员会（编著）,民盟石家庄市委员会,2013,河北人民出版社,,,L4,二手,市级民盟组织志,https://book.kongfz.com/403130/6623127635/,孔夫子 https://book.kongfz.com/403130/6623127635/,河北人民出版社 2013-05 第 1 版；精装；ISBN 待查,stable_link_present;isbn_missing;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:SN:shaanxi-minmengshi-chenxitao,陕西民盟史,陈希滔,民盟陕西省委,,陕西人民出版社,,,L4,二手,,,WebSearch 2026-07-20（陕西人民出版社 / 各省市出版信息聚合）,陕西人民出版社；ISBN 待查；具体出版年待核,no_stable_link;isbn_missing;year_missing,2026-07-20,secondary_only_not_primary_substitute
domestic:AH:anhui-minzhudangpai-shi-meng-zhangjie-2009,安徽民主党派史（民盟章节）,,时代出版传媒股份有限公司、安徽教育出版社,2009,安徽教育出版社,,,L4,二手,省级民主党派史,https://www.ahmm.gov.cn/content/detail/5ed0afc0c78f09fefc1e24ae.html,民盟安徽省委官网 https://www.ahmm.gov.cn/content/detail/5ed0afc0c78f09fefc1e24ae.html,安徽教育出版社 2009-08 第 1 版；ISBN 待查；含民盟安徽省组织章节,stable_link_present;isbn_missing;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:ZJ:zhejiang-sheng-minzhudangpai-zhi-2002,浙江省民主党派志,浙江省民主党派志编纂委员会,浙江省民主党派志编纂委员会,2002,浙江人民出版社,,,L4,二手,851 页 1215 千字；民盟篇为第二篇,http://book.kongfz.com/1351/1535828790/,孔夫子 http://book.kongfz.com/1351/1535828790/,浙江人民出版社 2002-12 第 1 版第 1 次印刷；精装 16 开 851 页 1215 千字；印数 9 千册,stable_link_present;isbn_missing;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:HB:hubei-minmengshi-2014-xiangbiwu,湖北民盟史,向必武,民盟湖北省委,2014,湖北人民出版社,,,L4,二手,1946—2013,,WebSearch 2026-07-20（湖北人民出版社 / 各省市出版信息聚合）,湖北人民出版社 2014 第 1 版；ISBN 待查；系统记述 1946 成立至 2013 历程,no_stable_link;isbn_missing;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:FJ:zhongguo-minmengtongmeng-fujian-jianshi-2018,中国民主同盟福建简史,苏增添（主编）,民盟福建省委,2018,线装书局,978-7-5120-2896-2,,L4,二手,1946—2018 简史,,WebSearch 2026-07-20（线装书局 / 福建民盟官网）,ISBN 978-7-5120-2896-2；线装书局 2018-12 第 1 版；苏增添主编,no_stable_link;isbn_present;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:HN:hunan-minmengrenwu-2020,湖南民盟人物,杨君武（编）；民盟湖南省委员会,民盟湖南省委员会,2020,群言出版社,9787519306090,,L4,二手,湖南盟史丛书；352 页,https://book.kongfz.com/181694/6208047052/,孔夫子 https://book.kongfz.com/181694/6208047052/ ；新华文轩 https://book.kongfz.com/15309/5589085176/,ISBN 9787519306090；群言出版社 2020-10 第 1 版；352 页；定价 42 元；杨君武编,stable_link_present;isbn_present;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:JS:zhongguo-minmengtongmeng-jiangsu-jianshi-2012,中国民主同盟江苏简史,民盟江苏省委员会、江苏省中共党史资料征集协作小组（编）,民盟江苏省委,2012,中央党史出版社,,,L4,二手,,,WebSearch 2026-07-20（中央党史出版社 / 各省市出版信息聚合）,中央党史出版社 2012 第 1 版；ISBN 待查,no_stable_link;isbn_missing;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:GD:guangdong-minmengshi-2012-lijingxian,广东民盟史,李竟先（主编）,民盟广东省委,2012,广东人民出版社,,,L4,二手,,,WebSearch 2026-07-20（广东人民出版社 / 各省市出版信息聚合）,广东人民出版社 2012 第 1 版；ISBN 待查；记述从 1946 民盟南方总支部成立到当代,no_stable_link;isbn_missing;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:SC:sichuan-minmengshi-sichuan-renmin,四川民盟史,民盟四川省委（编）,民盟四川省委,,四川人民出版社,,,L4,二手,,,WebSearch 2026-07-20（四川人民出版社 / 民盟四川省委官网）,四川人民出版社；ISBN 与具体出版年待查,no_stable_link;isbn_missing;year_missing,2026-07-20,secondary_only_not_primary_substitute
domestic:JS:jiangsu-minmengshi-gao-2004,江苏民盟史稿,民盟江苏省委员会、江苏省政协文史资料委员会（编）,民盟江苏省委,2004,江苏人民出版社,,,L4,二手,,,WebSearch 2026-07-20（江苏人民出版社 / 各省市出版信息聚合）,江苏人民出版社 2004 第 1 版；ISBN 待查,no_stable_link;isbn_missing;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:GZ:guizhou-minmengshi-2013,贵州民盟史,民盟贵州省委（编）,民盟贵州省委,2013,贵州人民出版社,,,L4,二手,,,WebSearch 2026-07-20（贵州人民出版社 / 各省市出版信息聚合）,贵州人民出版社 2013 第 1 版；ISBN 待查,no_stable_link;isbn_missing;year_present,2026-07-20,secondary_only_not_primary_substitute
domestic:YN:yunan-minmengshi-2021-chenguang,云南民盟史,（云南出版集团晨光出版社）,民盟云南省委,2021,云南出版集团晨光出版社,,,L4,二手,约 48 万字,,WebSearch 2026-07-20（云南出版集团 / 民盟云南省委官网）,云南出版集团晨光出版社 2021-10 第 1 版；约 48 万字；ISBN 待查,no_stable_link;isbn_missing;year_present,2026-07-20,secondary_only_not_primary_substitute
