candidate_id,review_status,level,material_class,availability,catalog_reference_status,needs_ocr,staging_citation_ready,strict_gate,fail_reasons,catalog_as_fulltext_flag
domestic:8P:8-dangpai-zhongyang-chubanshe,accepted,L2,待定,catalogue_only_online,verified,yes,no,FAIL,G2_avail=catalogue_only_online;G3_class=待定;G5_ocr_draft,
domestic:93JS:lead-九三学社1947年大事记,accepted,L4,汇编,full_item_online,verified,no,no,FAIL,G1_level=L4,
domestic:93JS:lead-历史的必然-郑重的选择-中共中央发布-五一口号-的历史由,accepted,L4,待定,full_item_online,verified,no,no,FAIL,G1_level=L4;G3_class=待定,
domestic:ACAD:1977-shaheen-cdl-politics-1939-1947-phd,accepted,L2,汇编,catalogue_only_online,verified,no,yes,FAIL,G2_avail=catalogue_only_online,
domestic:ACAD:wuhan-united-front-1940s-cambridge-quarterly,accepted,L2,汇编,catalogue_only_online,verified,no,yes,FAIL,G2_avail=catalogue_only_online,
domestic:AH:anhui-minzhudangpai-shi-meng-zhangjie-2009,accepted,L3,待定,catalogue_only_online,verified,yes,no,FAIL,G1_level=L3;G2_avail=catalogue_only_online;G3_class=待定;G5_ocr_draft,
domestic:BJ:beijing-minmeng-zuzhi-chengli-70-zhounian-2016,accepted,L3,待定,catalogue_only_online,verified,yes,no,FAIL,G1_level=L3;G2_avail=catalogue_only_online;G3_class=待定;G5_ocr_draft,
domestic:BJDCMM:1945-congress-declaration-platform-clipping,accepted,L3,二手,surrogate_online,verified,no,no,FAIL,G1_level=L3;G3_class=二手,
domestic:BJDCMM:reorganization-1944,accepted,L4,二手,full_item_online,verified,no,no,FAIL,G1_level=L4;G3_class=二手,
domestic:BJMM:website-anchor,accepted,L2,二手,full_item_online,verified,no,yes,FAIL,G3_class=二手,
domestic:BJTZB:lead-人民民主统一战线的巩固和扩大,accepted,L4,待定,full_item_online,verified,no,no,FAIL,G1_level=L4;G3_class=待定,
domestic:CDMM:website-anchor,accepted,L2,二手,full_item_online,verified,no,yes,FAIL,G3_class=二手,
domestic:CJD:1945-minjian-dansheng-chongqing,accepted,L2,待定,full_item_online,verified,no,yes,FAIL,G3_class=待定,
domestic:CJD:cndca-gov-cn-history-1945-chongqing,accepted,L2,待定,full_item_online,verified,no,yes,FAIL,G3_class=待定,
domestic:CPPCC:liang-shuming-guangmingbao-founding-2020,accepted,L4,汇编,full_item_online,verified,no,no,FAIL,G1_level=L4,
domestic:CQ:Teyuan-China-Democratic-Parties-Museum-2024,accepted,L3,汇编,catalogue_only_online,verified,yes,no,FAIL,G1_level=L3;G2_avail=catalogue_only_online;G5_ocr_draft,
domestic:CQ:chongqing-minmeng-xu-chaojian-2002,accepted,L2,汇编,catalogue_only_online,verified,yes,no,FAIL,G2_avail=catalogue_only_online;G5_ocr_draft,
domestic:DAJS:guangming-suzhou-1949,accepted,L1,待定,surrogate_online,verified,yes,no,FAIL,G3_class=待定;G5_ocr_draft,
domestic:DRNH:002-020400-00011-053,accepted,L2,一手,surrogate_online,verified,yes,no,FAIL,G5_ocr_draft,
domestic:DRNH:002-020400-00012-067,accepted,L2,一手,surrogate_online,verified,yes,no,FAIL,G5_ocr_draft,
domestic:DRNH:002-060100-00229-023,accepted,L2,一手,surrogate_online,verified,yes,no,FAIL,G5_ocr_draft,
domestic:DRNH:002-080200-00301-062,accepted,L2,一手,surrogate_online,verified,yes,no,FAIL,G5_ocr_draft,
domestic:DRNH:002-080200-00301-070,accepted,L2,一手,surrogate_online,verified,yes,no,FAIL,G5_ocr_draft,
domestic:DRNH:002-080200-00321-036,accepted,L2,一手,surrogate_online,verified,yes,no,FAIL,G5_ocr_draft,
domestic:DRNH:002-080200-00537-081,accepted,L2,一手,surrogate_online,verified,yes,no,FAIL,G5_ocr_draft,
