candidate_id,review_status,level,material_class,availability,catalog_reference_status,needs_ocr,staging_citation_ready,strict_gate,fail_reasons,catalog_as_fulltext_flag
domestic:93:93-gov-cn-history-1945-chongqing,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:93:bsjs-jsjj-jianyao-1945-1949,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:93:bsjs-ljzywyh-anchor,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:CAIXIN:2023-10-18-liangshuming-yushenghua-guangmingbao,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:CPC:2024-09-30-fengyutongzhou-gongyi-guoshi,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:CSSN:lishi-zhuanti-1941-1949,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:FRUS:1943-07-31-d232-ringwalt-liang-shuming-interview,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:FRUS:1943-09-18-d272-atcheson-federation-platform,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:FRUS:1944-04-21-d329-gauss-service-minority-parties,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:FRUS:1944-07-11-d380-langdon-kunming-democratic-league,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:FRUS:1944-09-22-d445-sprouse-democratic-league-principles,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:FRUS:1944-10-30-d478-gauss-war-final-stage-proposals,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:GMD:2017-12-07-xinwen-beijing-zhongguo-minmeng,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:GMD:2022-12-22-minmeng-baodao,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:GMD:2022-12-22-zhongguo-minmeng-baojing,accepted,L2,汇编,full_item_online,verified,0,,PASS,,
domestic:GMD:epaper-meng-1941-1949-aggregate,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:MMC:lingdao-jiegou-2026,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:MMC:zhangcheng-latest,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:MMC:zuzhi-jiegou,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:NGD:jie-fang-qian-jiao-tuan-ji-fengyun,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:NGD:ngd-org-cn-history-1930-shanghai,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:NGD:website-jianjie-anchor,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:NLC:dagongbao-hankow-1947-11-04-league-dissolution-meeting,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:dagongbao-hankow-1947-11-04-zhang-qun-notice,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:dagongbao-hankow-1947-11-06-league-dissolution,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:dagongbao-shanghai-1947-11-06-page2-full,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:dagongbao-tianjin-1947-11-06-page2-full,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue01,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue01-liu-simou-youth-degeneration,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue01-refounding-editorial,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue01-shen-zhiyuan-minmeng-current-situation-proposal,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue02,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue02-huang-yaomian-us-imperialism-china,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue02-people-power-editorial,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue03,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue03-ceasefire-telegram,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue03-double-ten-task-article,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue04,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue04-di-chaobai-us-basic-attitude,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue04-urgent-situation-editorial,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue04-yang-bokai-jiang-jieshi-speech-review,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue05,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue05-beijing-comrades-editorial,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue06,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue06-editorial-pcc-ten-months,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue06-qian-jiaju-unequal-treaty,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue06-shen-zhiyuan-truce-statement-review,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue07,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue07-qian-jiaju-unequal-treaty,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue07-shen-zhiyuan-truce-statement-review,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue07-why-not-national-assembly,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue10,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue10-guangdong-kmt-protest-editorial,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue11,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue11-anti-one-party-constitution,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue11-china-at-1947-threshold,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue11-truman-december-18-statement,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1946-issue11-zhang-lan-shanghai-welcome-speech,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue8,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue8-conditional-national-assembly,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue8-qiu-xini-guangdong-shengtianli,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue8-zhang-tiesheng-republican-withdraw-us-diplomacy,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue9,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1946-issue9-anti-civil-war-conscription-editorial,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-12-congratulate-second-plenum-editorial,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-12-interview-shen-junru,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-12-oppose-us-atrocities-shanghai,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-12-qingmo-democracy-two-paths,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-12-respond-anti-us-military,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-12-second-plenum-domestic-situation,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-12-shanghai-democrats-on-us-atrocities,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-12-si-tan-guo-shi,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-12-statement-one-sided-constitution,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-12-students-letter-to-truman,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-19-article-01,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-19-article-02,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-19-article-03,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-19-article-04,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-19-article-05,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-1947-12,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-1947-13,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-1947-14,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-1947-15,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-1947-16–17,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-1947-18,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-1947-19,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-1947-20,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-issue13-our-attitude-editorial,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue13-plenum-clippings,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue13-zhang-lan-plenum-closing,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue13-zhang-lan-plenum-opening,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue14-li-boqiu-plenum-gains,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue14-pcc-anniversary-editorial,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue14-plenum-political-report,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue14-shen-zhiyuan-plenum-impression,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue15-heavier-task-editorial,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue15-huang-yaomian-pcc-line,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue16-17-li-jishen-situation-views,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue16-17-minmeng-situation-declaration,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue16-17-moscow-conference-china-editorial,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue16-17-respond-li-jishen-editorial,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue18-nantotal-press-reception,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue18-peng-zemin-statement,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue18-people-cannot-endure-editorial,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue21,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-issue21-critique-dictatorship-new-policy-editorial,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-issue21-deng-chumin-middle-route,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-issue22-action-memorial-peng,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-cry-recall-xingzhi-deng,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-dare-not-forget-chen,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-dictators-killed-them-ye,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-double-effort-people-shen,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-fight-for-human-rights-editorial,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1947-issue22-gongpu-rest-in-peace-simu,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-gongpu-still-beside-zhang,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-hengshe-tonghua-sa,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-history-essays-shen-gong,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-learn-taofen-spirit-hu,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-liwen-anniversary-qian,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-meixian-recent-look,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-middle-route-again-deng,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-mourn-and-spur-song,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-one-falls-thousands-rise-lu,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-one-year-war-result-lu,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-painful-memorial-chen,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-pass-the-test-hu-sheng,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-patriotic-poet-wen-hong,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-shantou-black-terror,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1947-issue22-wipe-out-killers-li,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1948-1949-v1n1,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1948-1949-v1n1-article,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1948-1949-v1n1-current-tasks-zhangbojun,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1948-1949-v1n1-refute-hu-shi-gaoji,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1948-1949-v1n12,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1948-1949-v1n12-article,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1948-1949-v1n12-three-premises-li-xiangfu,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1948-1949-v2n1,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1948-1949-v2n1-article,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1948-1949-v2n12,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:guangmingbao-1948-1949-v2n12-article,accepted,L1,一手,full_item_online,verified,0,,PASS,,
domestic:NLC:guangmingbao-1948-1949-v2n12-taiwan-liberation,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minmeng-wenxian-1946-congress-declaration-1945-10-16,accepted,L2,汇编,full_item_online,verified,0,,PASS,,
domestic:NLC:minmeng-wenxian-1946-final-war-political-platform,accepted,L2,汇编,full_item_online,verified,0,,PASS,,
domestic:NLC:minmeng-wenxian-1946-formation-declaration,accepted,L2,汇编,full_item_online,verified,0,,PASS,,
domestic:NLC:minmeng-wenxian-1946-minmeng-platform-1945,accepted,L2,汇编,full_item_online,verified,0,,PASS,,
domestic:NLC:minmeng-wenxian-1946-situation-declaration-1945-01-15,accepted,L2,汇编,full_item_online,verified,0,,PASS,,
domestic:NLC:minmeng-wenxian-1946-ten-program,accepted,L2,汇编,full_item_online,verified,0,,PASS,,
domestic:NLC:minmeng-wenxian-1946-whole,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minmeng-yanlunji-1945-congress-declaration,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minmeng-yanlunji-1945-congress-political-report,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minmeng-yanlunji-1945-whole,accepted,L2,汇编,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85443-1944-05-01,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85444-1944-06-15,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85445-1944-06-30,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85446-1944-07-16,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85448-1944-09-10,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85449-1944-10-12,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85452-1945-01-15,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85453-1945-02-25,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85454-1945-05-15,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-85455-1945-06-13,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-v1n1-1944-05-16,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
domestic:NLC:minxian-v1n10-1944-12-20,accepted,L1,一手,full_item_online,verified,no,yes,PASS,,
