cluster_id,role,candidate_id
DCL-0001,canonical,domestic:SAAC:1949-index-c01
DCL-0001,dup,domestic:SAAC:catalog-05-05_01
DCL-0002,canonical,domestic:GXMM:dagongbao-dissolution-report-1947-11-06
DCL-0002,dup,domestic:GXMM:dagongbao-tianjin-dissolution-1947-11-06
DCL-0003,canonical,domestic:NLC:guangmingbao-1947-issue22
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-middle-route-again-deng
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-one-year-war-result-lu
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-cry-recall-xingzhi-deng
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-gongpu-still-beside-zhang
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-learn-taofen-spirit-hu
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-patriotic-poet-wen-hong
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-hengshe-tonghua-sa
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-action-memorial-peng
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-double-effort-people-shen
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-wipe-out-killers-li
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-pass-the-test-hu-sheng
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-liwen-anniversary-qian
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-painful-memorial-chen
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-mourn-and-spur-song
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-dare-not-forget-chen
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-dictators-killed-them-ye
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-gongpu-rest-in-peace-simu
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-one-falls-thousands-rise-lu
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-history-essays-shen-gong
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-shantou-black-terror
DCL-0003,dup,domestic:NLC:guangmingbao-1947-issue22-meixian-recent-look
DCL-0004,canonical,domestic:NLC:guangmingbao-1946-issue11
DCL-0004,dup,domestic:NLC:guangmingbao-1946-issue11-anti-one-party-constitution
DCL-0005,canonical,domestic:NLC:dagongbao-shanghai-1947-11-06-page2-full
DCL-0005,dup,domestic:NLC:dagongbao-tianjin-1947-11-06-page2-full
DCL-0006,canonical,domestic:NLC:minxian-v1n9-1944-11-20
DCL-0006,dup,domestic:NLC:minxian-v1n9-democracy-vs-nondemocracy-1944-11-20
DCL-0007,canonical,domestic:NLC:guangmingbao-1946-issue11-zhang-lan-shanghai-welcome-speech
DCL-0007,dup,domestic:NLC:guangmingbao-1946-issue11-china-at-1947-threshold
DCL-0007,dup,domestic:NLC:guangmingbao-1946-issue11-truman-december-18-statement
DCL-0008,canonical,domestic:NLC:dagongbao-hankow-1947-11-04-zhang-qun-notice
DCL-0008,dup,domestic:NLC:dagongbao-hankow-1947-11-04-league-dissolution-meeting
DCL-0009,canonical,domestic:NLC:guangmingbao-1946-issue01-refounding-editorial
DCL-0009,dup,domestic:NLC:guangmingbao-1946-issue01-shen-zhiyuan-minmeng-current-situation-proposal
DCL-0009,dup,domestic:NLC:guangmingbao-1946-issue01-liu-simou-youth-degeneration
DCL-0010,canonical,domestic:NLC:guangmingbao-1946-issue02-people-power-editorial
DCL-0010,dup,domestic:NLC:guangmingbao-1946-issue02-huang-yaomian-us-imperialism-china
DCL-0011,canonical,domestic:NLC:guangmingbao-1946-issue04-urgent-situation-editorial
DCL-0011,dup,domestic:NLC:guangmingbao-1946-issue04-yang-bokai-jiang-jieshi-speech-review
DCL-0011,dup,domestic:NLC:guangmingbao-1946-issue04-di-chaobai-us-basic-attitude
DCL-0012,canonical,domestic:NLC:guangmingbao-1946-issue07-why-not-national-assembly
DCL-0012,dup,domestic:NLC:guangmingbao-1946-issue07-shen-zhiyuan-truce-statement-review
DCL-0012,dup,domestic:NLC:guangmingbao-1946-issue07-qian-jiaju-unequal-treaty
DCL-0012,dup,domestic:NLC:guangmingbao-1946-issue06-editorial-pcc-ten-months
DCL-0012,dup,domestic:NLC:guangmingbao-1946-issue06-shen-zhiyuan-truce-statement-review
DCL-0012,dup,domestic:NLC:guangmingbao-1946-issue06-qian-jiaju-unequal-treaty
DCL-0013,canonical,domestic:NLC:guangmingbao-1948-1949-v1n1
DCL-0013,dup,domestic:NLC:guangmingbao-1948-1949-v1n1-article
DCL-0013,dup,domestic:NLC:guangmingbao-1948-1949-v1n1-refute-hu-shi-gaoji
DCL-0014,canonical,domestic:NLC:guangmingbao-1948-1949-v1n12
DCL-0014,dup,domestic:NLC:guangmingbao-1948-1949-v1n12-article
DCL-0014,dup,domestic:NLC:guangmingbao-1948-1949-v1n12-three-premises-li-xiangfu
DCL-0015,canonical,domestic:NLC:guangmingbao-1948-1949-v2n1
DCL-0015,dup,domestic:NLC:guangmingbao-1948-1949-v2n1-article
DCL-0016,canonical,domestic:NLC:guangmingbao-1948-1949-v2n12
DCL-0016,dup,domestic:NLC:guangmingbao-1948-1949-v2n12-article
DCL-0017,canonical,domestic:NLC:minmeng-wenxian-1946-whole
DCL-0017,dup,domestic:NLC:minmeng-wenxian-1946-formation-declaration
DCL-0017,dup,domestic:NLC:minmeng-wenxian-1946-ten-program
DCL-0017,dup,domestic:NLC:minmeng-wenxian-1946-final-war-political-platform
DCL-0017,dup,domestic:NLC:minmeng-wenxian-1946-situation-declaration-1945-01-15
DCL-0017,dup,domestic:NLC:minmeng-wenxian-1946-minmeng-platform-1945
DCL-0017,dup,domestic:NLC:minmeng-wenxian-1946-congress-declaration-1945-10-16
DCL-0018,canonical,domestic:NLC:guangmingbao-1947-1947-12
DCL-0018,dup,domestic:NLC:guangmingbao-1947-12-si-tan-guo-shi
DCL-0018,dup,domestic:NLC:guangmingbao-1947-12-respond-anti-us-military
DCL-0018,dup,domestic:NLC:guangmingbao-1947-12-second-plenum-domestic-situation
DCL-0018,dup,domestic:NLC:guangmingbao-1947-12-interview-shen-junru
DCL-0018,dup,domestic:NLC:guangmingbao-1947-12-qingmo-democracy-two-paths
DCL-0018,dup,domestic:NLC:guangmingbao-1947-12-oppose-us-atrocities-shanghai
DCL-0018,dup,domestic:NLC:guangmingbao-1947-12-shanghai-democrats-on-us-atrocities
DCL-0019,canonical,domestic:NLC:guangmingbao-1947-1947-13
DCL-0019,dup,domestic:NLC:guangmingbao-1947-issue13-our-attitude-editorial
DCL-0019,dup,domestic:NLC:guangmingbao-1947-issue13-zhang-lan-plenum-opening
DCL-0019,dup,domestic:NLC:guangmingbao-1947-issue13-zhang-lan-plenum-closing
DCL-0019,dup,domestic:NLC:guangmingbao-1947-issue13-plenum-clippings
DCL-0020,canonical,domestic:NLC:guangmingbao-1947-1947-14
DCL-0020,dup,domestic:NLC:guangmingbao-1947-issue14-pcc-anniversary-editorial
DCL-0020,dup,domestic:NLC:guangmingbao-1947-issue14-plenum-political-report
DCL-0020,dup,domestic:NLC:guangmingbao-1947-issue14-shen-zhiyuan-plenum-impression
