entity_type,raw_name,canonical_name,mapping_status,mapping_basis
person,史良,史良,identity,no unambiguous alias
person,司徒雷登,司徒雷登,identity,no unambiguous alias
person,周恩来,周恩来,identity,no unambiguous alias
person,张东荪,张东荪,identity,no unambiguous alias
person,张君劢,张君劢,identity,no unambiguous alias
person,张澜,张澜,identity,no unambiguous alias
person,梁漱溟,梁漱溟,identity,no unambiguous alias
person,沈钧儒,沈钧儒,identity,no unambiguous alias
person,章伯钧,章伯钧,identity,no unambiguous alias
person,罗隆基,罗隆基,identity,no unambiguous alias
person,蒋介石,蒋介石,identity,no unambiguous alias
person,马歇尔,马歇尔,identity,no unambiguous alias
person,黄炎培,黄炎培,identity,no unambiguous alias
organization,中国共产党,中国共产党,identity,no unambiguous alias
organization,中国民主同盟,中国民主同盟,identity,no unambiguous alias
organization,国民党,中国国民党,mapped,controlled exact alias
organization,国民大会,国民大会,identity,no unambiguous alias
organization,国民政府,国民政府,identity,no unambiguous alias
organization,政治协商会议,政治协商会议,identity,no unambiguous alias
organization,民主社会党,民主社会党,identity,no unambiguous alias
organization,美国国务院,美国国务院,identity,no unambiguous alias
organization,美国驻上海总领事馆,美国驻上海总领事馆,identity,no unambiguous alias
organization,美国驻北平总领事馆,美国驻北平总领事馆,identity,no unambiguous alias
organization,美国驻华使馆,美国驻华使馆,identity,no unambiguous alias
organization,美国驻昆明领事馆,美国驻昆明领事馆,identity,no unambiguous alias
organization,行政院,行政院,identity,no unambiguous alias
organization,青年党,青年党,identity,no unambiguous alias
theme,北平接触,北平接触,identity,no unambiguous alias
theme,政协,政治协商会议,mapped,controlled exact alias
theme,昆明暗杀,昆明暗杀,identity,no unambiguous alias
theme,民盟,中国民主同盟,mapped,controlled exact alias
theme,第三方面,第三方面,identity,no unambiguous alias
theme,联合政府,联合政府,identity,no unambiguous alias
theme,马歇尔调处,马歇尔调停,mapped,controlled exact alias
