candidate_id,title,review_status,ingested_document_id,document_id,page_count,text_chars,citation_pages
domestic:NLC:guangmingbao-1947-19-article-01,《我们对于和平的态度》,accepted,1358,1358,2,2740,2
domestic:NLC:guangmingbao-1947-19-article-02,《民盟中央对于五参政员出席参政会之决定》,accepted,1359,1359,2,4377,2
domestic:NLC:guangmingbao-1947-19-article-03,《迎接学生运动新的高潮》,accepted,1360,1360,4,7583,4
domestic:NLC:guangmingbao-1947-19-article-04,《独裁政府是怎样摧残新闻自由的？》,accepted,1361,1361,2,3637,2
domestic:NLC:guangmingbao-1947-19-article-05,《两种制度和两种问题》,accepted,1362,1362,3,5169,3
domestic:NLC:guangmingbao-1947-issue13-our-attitude-editorial,我們的態度,accepted,1428,1428,1,1476,1
domestic:NLC:guangmingbao-1947-issue13-plenum-clippings,民盟二中全會剪影輯,accepted,1431,1431,1,1297,1
domestic:NLC:guangmingbao-1947-issue13-zhang-lan-plenum-closing,民盟二中全會張瀾主席閉幕詞,accepted,1430,1430,1,1153,1
domestic:NLC:guangmingbao-1947-issue13-zhang-lan-plenum-opening,民盟張瀾主席在一屆二中全會開幕講詞,accepted,1429,1429,2,2591,2
domestic:NLC:guangmingbao-1947-issue14-li-boqiu-plenum-gains,二中全會的收穫,accepted,1435,1435,1,1353,1
domestic:NLC:guangmingbao-1947-issue14-pcc-anniversary-editorial,政協決議一週年,accepted,1432,1432,1,1482,1
domestic:NLC:guangmingbao-1947-issue14-plenum-political-report,民盟二中全會政治報告全文,accepted,1433,1433,8,16424,8
domestic:NLC:guangmingbao-1947-issue14-shen-zhiyuan-plenum-impression,我對於民盟二中全會的觀感,accepted,1434,1434,2,3421,2
domestic:NLC:guangmingbao-1947-issue15-heavier-task-editorial,民盟的任務更繁重了,accepted,1436,1436,1,1544,1
domestic:NLC:guangmingbao-1947-issue15-huang-yaomian-pcc-line,政協決議與政協路線,accepted,1437,1437,3,4995,3
domestic:NLC:guangmingbao-1947-issue16-17-li-jishen-situation-views,李濟深將軍對時局意見,accepted,1438,1438,1,1811,1
domestic:NLC:guangmingbao-1947-issue16-17-minmeng-situation-declaration,中國民主同盟對時局宣言,accepted,1439,1439,1,1893,1
domestic:NLC:guangmingbao-1947-issue16-17-moscow-conference-china-editorial,莫斯科會議應該討論中國問題,accepted,1441,1441,1,1696,1
domestic:NLC:guangmingbao-1947-issue16-17-respond-li-jishen-editorial,響應李濟深先生對時局主張,accepted,1440,1440,1,1696,1
domestic:NLC:guangmingbao-1947-issue18-nantotal-press-reception,民盟南總支部招待中外記者誌詳,accepted,1443,1443,1,1811,1
domestic:NLC:guangmingbao-1947-issue18-peng-zemin-statement,民盟南總支部申明態度——主任委員彭澤民發表書面談話,accepted,1444,1444,1,1400,1
domestic:NLC:guangmingbao-1947-issue18-people-cannot-endure-editorial,老百姓是再也不能忍耐了,accepted,1442,1442,2,3644,2
