candidate_id,title,repository_code,level,availability,access_mode,source_kind,page_count,review_status,low_value_reasons
domestic:WS:democratic-league-declaration-1941,中国民主政团同盟成立宣言,WS,LX,full_item_online,open,web_transcription,0,accepted,等级 LX(未定)
domestic:WS:peace-building-program-1946,和平建国纲领,WS,LX,full_item_online,open,web_transcription,0,accepted,等级 LX(未定)
domestic:WS:pcc-national-assembly-resolution-1946,政治协商会议国民大会问题决议案,WS,LX,full_item_online,open,web_transcription,0,accepted,等级 LX(未定)
domestic:WS:pcc-government-reorganization-1946,政治协商会议改组政府案,WS,LX,full_item_online,open,web_transcription,0,accepted,等级 LX(未定)
domestic:SHAC:6-5-1216-meng-illegal-transfer-1947,奉令为宣布民主同盟为非法团体转令遵照由,SHAC,L4,catalogue_only_online,open,other,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MMYunnan:democracy-weekly-run-1944-1946,昆明《民主周刊》出版沿革与馆藏追索线索,MMYunnan,L4,catalogue_only_online,open,official_history_page,0,accepted,仅目录级(media_class=catalogue_only)
domestic:MMHIST:yannan-meeting-minutes-1945-07-04,《延安会谈纪要》,MMHIST,L2,catalogue_only_online,open,book_or_assembly,1,accepted,仅目录级(media_class=catalogue_only)
domestic:HKU:guangmingbao-1941-microform-holdings,《光明報》1941年9月18日—12月12日馆藏缩微胶卷记录,HKU,L2,catalogue_only_online,reading_room,press_scan,0,needs_human_review,仅目录级(media_class=catalogue_only)
domestic:HKU:guangmingbao-primo-record,《光明報》1941—1949港大 JULAС/Primo 书目记录,HKU,L2,catalogue_only_online,reading_room,press_scan,0,needs_human_review,仅目录级(media_class=catalogue_only)
domestic:GXMM:dagongbao-1947-10-28-illegal-declaration,内部宣布民盟非法·该盟分子到处图谋不轨·各地治安机关严加取缔,GXMM,L4,catalogue_only_online,open,official_history_page,0,accepted,仅目录级(media_class=catalogue_only)
domestic:GXMM:dagongbao-1947-10-29-self-surrender,民盟分子自首·须向治安机关申请·首都负责方面宣布,GXMM,L4,catalogue_only_online,open,official_history_page,0,accepted,仅目录级(media_class=catalogue_only)
domestic:GXMM:dagongbao-1947-10-30-ban-activities,民盟禁止活动·董显光答记者问·无越轨行动盟员可登记,GXMM,L4,catalogue_only_online,open,official_history_page,0,accepted,仅目录级(media_class=catalogue_only)
domestic:SHCM:revolutionary-relics-1945-minmeng-platform,1945年10月中国民主同盟发布的《中国民主同盟纲领》,SHCM,L3,catalogue_only_online,reading_room,official_history_page,1,accepted,仅目录级(media_class=catalogue_only)
domestic:SHDPZ:zlc-chapter5-line571-shi-liang-1942-join,史良 1942 年加入民盟条目（《上海民主党派志》资料长编 第五章）,SHDPZ,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:SHDPZ:zlc-characters-line527-shang-ding-1943-join,尚丁 1943 年参加中国民主同盟条目（《上海民主党派志》资料长编 人物）,SHDPZ,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:SHDPZ:zlc-characters-line79-liu-simou-1942-return,刘思慕 1942 年春回国条目（《上海民主党派志》资料长编 人物）,SHDPZ,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:SHDPZ:printed-page816-su-yanbin-1943-11-join,苏延宾 1943 年 11 月参加中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,SHDPZ,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:SHDPZ:printed-page840-shang-ding-1943-10-join,尚丁 1943 年 10 月加入中国民主同盟条目（《上海民主党派志》印刷厂验收稿正文）,SHDPZ,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:SHDPZ:printed-page820-zhou-gucheng-federation-consultant-1942,周谷城 1942 年后被聘为民主政团同盟顾问条目（《上海民主党派志》印刷厂验收稿正文）,SHDPZ,L3,not_online,offline,press_scan,0,needs_human_review,仅离线无数字影像
domestic:XHB:reprint-1938-1947-1987-shanghai-bookstore,《新华日报》(1938—1947) 影印本全 18 册（上海书店 1987 出版）,XHB,L3,catalogue_only_online,login,press_scan,0,accepted,仅目录级(media_class=catalogue_only)
domestic:VOC:guoxun-1942-issue253-cnbksy-index,《国讯》半月刊 1942 年第 253 期起（中华职业教育社重庆创刊）— 全国报刊索引条目,VOC,L3,catalogue_only_online,login,web_transcription,0,accepted,仅目录级(media_class=catalogue_only)
