code,canonical_institution,institution_type,source_family,authority_level
SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A
NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A
WM,Wikimedia Commons 民国人物/盟史分类,国际公共数字资源,公共数字化/学术/海外,B
MM1941,《民盟历史文献全媒体数据库》minmeng1941.cn,民盟系统非官方数据库,民盟自身与盟史,C
MMHIST,民盟中央文史资料委员会/马恩主义文库汇编,民盟系统,民盟自身与盟史,B
DRNH,台湾国史馆档案史料文物查询系统,境外馆藏,公共数字化/学术/海外,A
QY,群言出版社(民盟中央直属),民盟系统出版机构,民盟自身与盟史,B
GXMM,民盟广西区委,民盟省市委,民盟自身与盟史,B
WS,维基文库/公网数据库,公共网络资源,公共数字化/学术/海外,C
SHDPZ,上海市地方志办公室,地方志机构,政协/统一战线/官方媒体,A
FRUS,美国国务院 FRUS 外交档案(民盟项目组编),境外档案,公共数字化/学术/海外,A
MMSH,民盟上海市委,民盟省市委,民盟自身与盟史,B
MX,民盟上海市委《盟贤》内部汇编,民盟系统内部资料,民盟自身与盟史,B
MMC,民盟中央委员会官网,民盟系统,民盟自身与盟史,A
MMC2,民盟中央官网(mmzy.org.cn),民盟系统,民盟自身与盟史,A
RMrb,《人民日报》历史版面,官方媒体,政协/统一战线/官方媒体,B
RMTZ,民盟同仁/民盟网站转述,民盟系统网络,民盟自身与盟史,C
RCL,上海市地方志办公室民盟资料汇编,地方志机构,政协/统一战线/官方媒体,B
GMD,光明日报(gmw.cn),官方媒体,政协/统一战线/官方媒体,B
PP,澎湃新闻,商业媒体,其他,C
FJMM,民盟福建省委,民盟省市委,民盟自身与盟史,B
93JS,九三学社中央委员会,民主党派系统,政协/统一战线/官方媒体,B
MMZY,民盟中央委员会,民盟系统,民盟自身与盟史,A
SCU,四川大学党史科研组公开汇编,高校/学术机构,公共数字化/学术/海外,B
ZL1872,张澜纪念馆公开史料页,纪念馆/民盟系统,民盟自身与盟史,C
XHB,《新华日报》(1938-1947),历史报刊,政协/统一战线/官方媒体,B
ZLWEB,张澜网(民盟背景),纪念馆/民盟系统,民盟自身与盟史,C
MGCH,团结出版社(民革中央直属),民主党派系统出版机构,政协/统一战线/官方媒体,B
RMZXW,人民政协网,官方媒体,政协/统一战线/官方媒体,B
RMZXB,人民政协网(rmzxb.com.cn),官方媒体,政协/统一战线/官方媒体,B
NGD,农工党中央委员会,民主党派系统,政协/统一战线/官方媒体,B
93,九三学社中央委员会(93.gov.cn),民主党派系统,政协/统一战线/官方媒体,B
TM,台盟中央委员会,民主党派系统,政协/统一战线/官方媒体,B
DAJS,苏州市档案馆,地方档案馆,国内党政机关与档案馆,A
HNMM,民盟湖南省委员会,民盟省市委,民盟自身与盟史,B
BJTZB,北京市委统战部,统战系统,政协/统一战线/官方媒体,A
HBMJ,民建湖北省委,民主党派系统,政协/统一战线/官方媒体,B
ZJMG,相关民主党派官方机构,民主党派系统,政协/统一战线/官方媒体,B
ZG,致公党中央委员会,民主党派系统,政协/统一战线/官方媒体,B
BJDCMM,民盟北京市东城区委员会,民盟基层组织,民盟自身与盟史,C
HLJMM,民盟黑龙江省委员会,民盟省市委,民盟自身与盟史,B
SHAC,上海市档案馆,地方档案馆,国内党政机关与档案馆,A
MMYunnan,民盟云南省委员会,民盟省市委,民盟自身与盟史,B
ZJMM,民盟浙江省委员会,民盟省市委,民盟自身与盟史,B
YADS,延安党史网/市委党史研究室,党史系统,政协/统一战线/官方媒体,B
LNU,岭南大学数字典藏,高校/学术机构,公共数字化/学术/海外,A
HKU,香港大学图书馆特别馆藏,境外馆藏,公共数字化/学术/海外,A
SHCM,中共一大纪念馆,文博系统,其他,B
SHPRESS,上海《时代日报》线索(盟史转述),历史报刊线索,其他,C
CPPCC,全国政协网站,政协系统,政协/统一战线/官方媒体,A
WH,《文汇报》(1938创刊),历史报刊,政协/统一战线/官方媒体,B
KMY,《民主周刊》线索(闻一多),历史报刊线索,其他,C
JFB,《解放日报》延安版,历史报刊,政协/统一战线/官方媒体,B
VOC,中华职业教育社/报刊索引/近代史数字图书馆,公共数字化/学术/海外,公共数字化/学术/海外,B
MH,中国社科院近代史研究所/近代史数字图书馆,中央研究机构,公共数字化/学术/海外,A
CQ,重庆出版社/重庆市政协文史委,出版社/政协文史,政协/统一战线/官方媒体,B
HB,湖北人民出版社/民盟湖北省委,出版社/民盟,政协/统一战线/官方媒体,B
GZ,贵州人民出版社/民盟贵州省委,出版社/民盟,政协/统一战线/官方媒体,B
SN,陕西人民出版社/民盟陕西省委,出版社/民盟,政协/统一战线/官方媒体,B
GD,广东人民出版社/民盟广东省委,出版社/民盟,政协/统一战线/官方媒体,B
ZJ,浙江人民出版社/省民主党派志编委会,出版社/政协,政协/统一战线/官方媒体,B
JS,江苏人民出版社/民盟江苏省委/省政协,出版社/民盟,政协/统一战线/官方媒体,B
FJ,线装书局/民盟福建省委,出版社/民盟,政协/统一战线/官方媒体,B
HE,河北人民出版社/民盟石家庄市委,出版社/民盟,政协/统一战线/官方媒体,B
HN,群言出版社/民盟湖南省委员会,出版社/民盟,政协/统一战线/官方媒体,B
YN,晨光出版社/民盟云南省委,出版社/民盟,政协/统一战线/官方媒体,B
SC,四川人民出版社/民盟四川省委,出版社/民盟,政协/统一战线/官方媒体,B
AH,安徽教育出版社/时代出版传媒,出版社,政协/统一战线/官方媒体,B
BJ,民盟北京市委员会,民盟省市委,民盟自身与盟史,B
MG,民革中央委员会,民主党派系统,政协/统一战线/官方媒体,B
CJD,民建中央委员会,民主党派系统,政协/统一战线/官方媒体,B
MJ,民进中央委员会,民主党派系统,政协/统一战线/官方媒体,B
NJSH,中国第二历史档案馆,国家级档案馆,国内党政机关与档案馆,A
WP,文物出版社,中央级出版机构,政协/统一战线/官方媒体,B
CDMM,民盟成都市委员会,民盟基层组织,民盟自身与盟史,C
BJMM,民盟北京市委员会(bjmm.org.cn),民盟省市委,民盟自身与盟史,B
8P,八大民主党派中央主管出版社(自媒体转述),出版线索,其他,C
ACAD,密歇根大学/道客巴巴公开学术资源,高校/商业文库,公共数字化/学术/海外,C
SCIO,国务院新闻办公室,中央政府机构,政协/统一战线/官方媒体,A
XINHUA,新华社英文版,官方媒体,政协/统一战线/官方媒体,B
CAIXIN,财新网,商业媒体,其他,C
ZSY,中央社会主义学院,中央研究机构,政协/统一战线/官方媒体,A
CSSN,中国社会科学院,中央研究机构,公共数字化/学术/海外,A
CPC,中国共产党新闻网,官方媒体,政协/统一战线/官方媒体,B
SH,搜狐网,商业媒体,其他,C
MG2,民盟中央(与民革同码冲突保留),民盟系统,民盟自身与盟史,B
