candidate_id,repository_code,canonical_institution,institution_type,source_family,authority_level,material_type,material_class,source_kind,document_date_raw,date_iso_start,date_iso_end,date_precision,evidence_level_final,evidence_level_proposed,availability,access_mode,review_status
domestic:SAAC:catalog-02-02_14,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-07-11,1949-07-11,1949-07-11,day,L1,L1,surrogate_online,open,accepted
domestic:NLC:minmeng-yanlunji-1945-congress-declaration,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,汇编/出版物收录,汇编,press_scan,1945-10-16,1945-10-16,1945-10-16,day,L2,L2,full_item_online,open,accepted
domestic:DAJS:guangming-suzhou-1949,DAJS,苏州市档案馆,地方档案馆,国内党政机关与档案馆,A,其他/未分类,待定,other,1949-04-27,1949-04-27,1949-04-27,day,L1,L1,surrogate_online,open,accepted
domestic:NLC:guangmingbao-1946-issue8-zhang-tiesheng-republican-withdraw-us-diplomacy,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1946-11-28,1946-11-28,1946-11-28,day,L1,L1,full_item_online,open,accepted
domestic:SAAC:1948-08-01-01,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1948-08-01,1948-08-01,1948-08-01,day,L1,L1,surrogate_online,open,accepted
domestic:MX:shang-ding-1942-journalist-secretary,MX,民盟上海市委《盟贤》内部汇编,民盟系统内部资料,民盟自身与盟史,B,汇编/出版物收录,汇编,press_scan,2024,2024,2024,year,L3,L3,not_online,offline,needs_human_review
domestic:SAAC:1949-item-a03,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-26,1949-09-26,1949-09-26,day,L1,L1,surrogate_online,open,accepted
domestic:WM:1949-zhang-lan-mao-zedong-heying,WM,Wikimedia Commons 民国人物/盟史分类,国际公共数字资源,公共数字化/学术/海外,B,报刊原刊扫描（原件）,一手,press_scan,1949,1949,1949,year,L2,L2,full_item_online,open,accepted
domestic:SAAC:1949-index-c15,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,档案影像（原件）,一手,archive_scan,1949-09-22,1949-09-22,1949-09-22,day,L1,L1,surrogate_online,open,accepted
domestic:NLC:minxian-85452-1945-01-15,NLC,中国国家图书馆数字化民国文献(Wikimedia镜像),国家级图书馆,公共数字化/学术/海外,A,报刊原刊扫描（原件）,一手,press_scan,1945-01-15,1945-01-15,1945-01-15,day,L1,L1,full_item_online,open,accepted
domestic:SAAC:catalog-06-06_12,SAAC,中央档案馆/国家档案局,国家级档案馆,国内党政机关与档案馆,A,汇编/出版物收录,汇编,archive_scan,1949-10-01,1949-10-01,1949-10-01,day,L1,L1,surrogate_online,open,accepted
domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-xia,MM1941,《民盟历史文献全媒体数据库》minmeng1941.cn,民盟系统非官方数据库,民盟自身与盟史,C,汇编/出版物收录,汇编,book_or_assembly,1946-1949,1946,1949,range,L3,L3,catalogue_only_online,login,accepted
domestic:JFB:1944-02-22-jiefang-ribao-zhang-lan-booklet-review,JFB,《解放日报》延安版,历史报刊,政协/统一战线/官方媒体,B,网页转述/转录,二手,web_transcription,1944-02-22,1944-02-22,1944-02-22,day,L4,L4,surrogate_online,open,accepted
