candidate_id,field,issue,recommendation
domestic:NLC:minmeng-yanlunji-1945-congress-declaration,level_consistency,完整原刊整期扫描标 L2（疑似低估，应按原件影像升 L1）,按 L1—L4 定义复核
domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-xia,date_range,日期为区间/多值: 1946-1949,按起始日排序，区间保留
domestic:WS:pcc-national-assembly-resolution-1946,level_consistency,LX 未定等级,按 L1—L4 定义复核
domestic:FRUS:1943-07-31-d232-ringwalt-liang-shuming-interview,level_proposed_vs_accepted,proposed L3 → accepted L2,核对等级赋值依据
domestic:FRUS:1943-09-18-d272-atcheson-federation-platform,level_proposed_vs_accepted,proposed L3 → accepted L2,核对等级赋值依据
domestic:MM1941:outline-1942-1949-xian-minmeng-xibei-zongzhibu-mimi-huodongdi,date_range,日期为区间/多值: 1942-1949,按起始日排序，区间保留
domestic:SAAC:1949-03-12-01,date_range,日期为区间/多值: 1949-03-12/1949-03-23,按起始日排序，区间保留
domestic:NLC:minmeng-wenxian-1946-whole,level_consistency,完整原刊整期扫描标 L2（疑似低估，应按原件影像升 L1）,按 L1—L4 定义复核
domestic:MMZY:lead-楚图南-民盟文章,date_range,日期为区间/多值: 1945—1949,按起始日排序，区间保留
domestic:MMHIST:yannan-meeting-minutes-1945-07-04,date_range,日期为区间/多值: 1945-07-01/1945-07-04,按起始日排序，区间保留
domestic:LNU:guangmingbao-index-1941,level_consistency,L3 但标 full_item_online（疑似低估）,按 L1—L4 定义复核
domestic:LNU:guangmingbao-index-1941,date_range,日期为区间/多值: 1941-10/1941-11,按起始日排序，区间保留
domestic:MMZY:1945-first-congress-page,date_range,日期为区间/多值: 1945-10-01/1945-10-12,按起始日排序，区间保留
domestic:NLC:minmeng-wenxian-1946-final-war-political-platform,level_consistency,完整原刊整期扫描标 L2（疑似低估，应按原件影像升 L1）,按 L1—L4 定义复核
domestic:MM1941:outline-jianguoqian-fujian-mengshi-ziliao-zhong,date_range,日期为区间/多值: 1946-1949,按起始日排序，区间保留
domestic:MM1941:outline-1942-1949-minmeng-zai-shaanxi-jing,date_range,日期为区间/多值: 1942-1949,按起始日排序，区间保留
