kind,key,candidates,relationship
same_url,"('SCU', 'upload.wikimedia.org/wikipedia/commons/2/29/ntul-9910001969_%e5%81%9c%e6%88%98%e8%b0%88%e5%88%a4%e8%b5%84%e6%96%99%e9%80%89%e7%bc%96.pdf')",domestic:SCU:democratic-league-anti-civil-war-talk-1945-11-02;domestic:SCU:democratic-league-situation-talk-1946-01-02,possible_true_dup
same_url,"('MMHIST', 'marxists.org/chinese/pdf/history_of_international/china/mzhtm1.pdf')",domestic:MMHIST:formation-declaration-1941;domestic:MMHIST:program-draft-1944-09-19;domestic:MMHIST:platform-1945;domestic:MMHIST:political-report-1945;domestic:MMHIST:congress-declaration-1945;domestic:MMHIST:li-gongpu-protest-1946-07-12;domestic:MMHIST:wen-yiduo-emergency-statement-1946-07-16;domestic:MMHIST:li-gongpu-statement-1946-07-17;domestic:MMHIST:league-banned-1947-10-27;domestic:MMHIST:league-dissolution-announcement-1947-11-06;domestic:MMHIST:lo-lung-chi-national-assembly-1946-01-17;domestic:MMHIST:chang-po-chun-national-assembly-1946-01-17;domestic:MMHIST:situation-talk-1946-01-02;domestic:MMHIST:chang-lan-pcc-opening-1946-01-10;domestic:MMHIST:chang-dong-sun-freedom-1946-01-14;domestic:MMHIST:lo-lung-chi-government-reorganization-1946-01-14;domestic:MMHIST:league-military-proposal-1946-01-16;domestic:MMHIST:zhang-bo-jun-common-program-1946-01-16;domestic:MMHIST:huang-yan-pei-common-program-1946-01-16;domestic:MMHIST:lo-lung-chi-common-program-1946-01-16;domestic:MMHIST:huang-yan-pei-constitution-draft-1946-01-19;domestic:MMHIST:organization-regulation-1945,compilation_multi_doc
same_url,"('NLC', 'commons.wikimedia.org/wiki/file%3anlc404-01j000514-10429_%e5%85%89%e6%98%8e%e5%a0%b1_1946%e5%b9%b48%e6%9c%9f.pdf')",domestic:NLC:guangmingbao-1946-issue8;domestic:NLC:guangmingbao-1946-issue8-conditional-national-assembly;domestic:NLC:guangmingbao-1946-issue8-zhang-tiesheng-republican-withdraw-us-diplomacy;domestic:NLC:guangmingbao-1946-issue8-qiu-xini-guangdong-shengtianli,issue_article_container
same_url,"('NLC', 'commons.wikimedia.org/wiki/file%3anlc404-01j000514-10430_%e5%85%89%e6%98%8e%e5%a0%b1_1946%e5%b9%b49%e6%9c%9f.pdf')",domestic:NLC:guangmingbao-1946-issue9;domestic:NLC:guangmingbao-1946-issue9-anti-civil-war-conscription-editorial,issue_article_container
same_url,"('NLC', 'commons.wikimedia.org/wiki/file%3anlc404-01j000514-10431_%e5%85%89%e6%98%8e%e5%a0%b1_1946%e5%b9%b410%e6%9c%9f.pdf')",domestic:NLC:guangmingbao-1946-issue10;domestic:NLC:guangmingbao-1946-issue10-guangdong-kmt-protest-editorial,issue_article_container
same_url,"('NLC', 'commons.wikimedia.org/wiki/file%3anlc404-01j000332-6817_%e8%a7%80%e5%af%9f_1947%e5%b9%b43%e5%8d%b711%e6%9c%9f.pdf')",domestic:NLC:observer-1947-v3n11;domestic:NLC:observer-1947-3-11-article-government-oppression-minmeng,issue_article_container
same_url,"('NLC', 'commons.wikimedia.org/wiki/file%3anlc404-01j000332-6817_%e8%a7%82%e5%af%9f_1947%e5%b9%b43%e5%8d%b711%e6%9c%9f.pdf')",domestic:NLC:observer-1947-v3n11-dong-shijin;domestic:NLC:observer-1947-v3n11-han-depei,issue_article_container
same_url,"('NLC', 'commons.wikimedia.org/wiki/file%3anlc404-01j000514-10424_%e5%85%89%e6%98%8e%e5%a0%b1_1946%e5%b9%b43%e6%9c%9f.pdf')",domestic:NLC:guangmingbao-1946-issue03;domestic:NLC:guangmingbao-1946-issue03-double-ten-task-article;domestic:NLC:guangmingbao-1946-issue03-ceasefire-telegram,issue_article_container
same_url,"('NLC', 'commons.wikimedia.org/wiki/file%3anlc404-01j000514-10426_%e5%85%89%e6%98%8e%e5%a0%b1_1946%e5%b9%b45%e6%9c%9f.pdf')",domestic:NLC:guangmingbao-1946-issue05;domestic:NLC:guangmingbao-1946-issue05-beijing-comrades-editorial,issue_article_container
same_url,"('NLC', 'commons.wikimedia.org/wiki/file:nlc511-027032016010761-42571_%e4%b8%ad%e5%9c%8b%e6%b0%91%e4%b8%bb%e5%90%8c%e7%9b%9f%e8%a8%80%e8%ab%96%e9%9b%86.pdf')",domestic:NLC:minmeng-yanlunji-1945-whole;domestic:NLC:minmeng-yanlunji-1945-congress-political-report;domestic:NLC:minmeng-yanlunji-1945-congress-declaration,compilation_multi_doc
same_url,"('XHB', 'news.xinhuanet.com/zwcp/jsxwh')",domestic:XHB:xinhuaribao-1946-refuse-national-assembly-editorial-1946-11-25;domestic:XHB:xinhuaribao-1946-li-wen-mao-zhu-condolence-1946-07-21,possible_true_dup
same_url,"('ZLWEB', 'zl1872.cn/zxxnewsview.aspx?producid=1397')",domestic:ZLWEB:1943-09-18-zhang-lan-china-needs-real-democracy;domestic:ZLWEB:1943-09-17-jiang-zhang-chongqing-exchange,possible_true_dup
same_url,"('NGD', 'ngd.org.cn/gs/jj/index.htm')",domestic:NGD:ngd-org-cn-history-1930-shanghai;domestic:NGD:website-jianjie-anchor,web_page_near_dup
same_url,"('ZG', 'zg.org.cn')",domestic:ZG:zg-org-cn-history-1925-america;domestic:ZG:website-anchor,web_page_near_dup
same_url,"('QY', 'qypublish.com/pages/zdaboutus.aspx')",domestic:QY:qunyan-chubanshe-meng-zhongyang;domestic:QY:mengtuan-lishiwenxian-congshu-anchor,web_page_near_dup
