document_id,grade,score,reason,orphan_type,disposition,evidence
325,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
330,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
331,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
333,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
335,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
338,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
339,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
340,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
341,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
346,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
348,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
358,相关文献,60,CIA 民盟关键词命中但主题相关性次于核心档案,cia 重复文档行（已删）,归属：合并至同卷现存 CIA 文档；无同名幸存则视为过期记录建议清理,邻居 id 为 cia-meng rdp* 文档；该 id 无 pages/provenance/translations；删除于 CIA extended-v2 去重
402,相关文献,50,archive.org 全文检索命中 Democratic League,archive.org 文档行（已删）,保留为历史记录但标注 deprecated；archive.org 平台已整体退役（现无该平台文档），建议清理孤儿行,无 pages/provenance/translations；archive.org 平台已不在 source_platform 分布中
403,相关文献,50,archive.org 全文检索命中 Democratic League,archive.org 文档行（已删）,保留为历史记录但标注 deprecated；archive.org 平台已整体退役（现无该平台文档），建议清理孤儿行,无 pages/provenance/translations；archive.org 平台已不在 source_platform 分布中
422,相关文献,50,archive.org 全文检索命中 Democratic League,archive.org 文档行（已删）,保留为历史记录但标注 deprecated；archive.org 平台已整体退役（现无该平台文档），建议清理孤儿行,无 pages/provenance/translations；archive.org 平台已不在 source_platform 分布中
