event_id,event_year,event_date,event_title,event_summary,scope_type,scope_name,actors,tags,organizations,places,importance
1,1945,1945-10-05,昆明暗杀事件引发的政治压力与外交关注,他们询问苏联对美国军队在天津和北平地区登陆的立场。,topic,昆明暗杀与民盟政治压力,周恩来; 蒋介石,昆明暗杀; 北平接触,国民党; 中国共产党,昆明; 北平; 重庆; 延安; 满洲; 天津,60
2,1945,1945/09/22 ~ 1945/09/22,昆明暗杀事件引发的政治压力与外交关注,邱清泉电唐纵戴笠等情报暂十七师开越及共党在昆活动机关有观察报社等又民盟罗隆基李公朴潘光旦等人于各大学演讲诋毁元首请令严密防范为要,topic,昆明暗杀与民盟政治压力,罗隆基,昆明暗杀; 民盟,中国民主同盟,,45
3,1946,1946/07/15 ~ 1946/07/15,昆明暗杀事件引发的政治压力与外交关注,陶镕电蒋中正民盟负责人李公朴被人刺死后捕获嫌疑犯一人警备总部正在严缉中惟奸党阴谋借此攻击国民党和青年团支团并煽动学生,topic,昆明暗杀与民盟政治压力,,昆明暗杀; 民盟,中国民主同盟; 国民党,,35
4,1948,1948-11-19,昆明暗杀事件引发的政治压力与外交关注,在所有有组织的国民党抵抗停止后，内战结束的标志很可能是组建一个包括现国民政府重要成员在内的新联合政府。 这样的联合政府有可能在“反帝国主义”这一核心议题上寻求团结，但也有可能避免与美国对抗。,topic,昆明暗杀与民盟政治压力,蒋介石,昆明暗杀; 马歇尔调处; 联合政府; 民盟,中国民主同盟; 国民政府; 国民党; 中国共产党; 美国国务院,香港; 满洲,55
5,1948,1948/07/22 ~ 1948/07/22,陶镕电蒋中正立院休会返昆昆明学潮虽解决但因中共民盟发展已久外县仍多奸党活动及滇省共匪在滇桂越边境较多企图与桂境李济琛指挥下之民主联军联合,陶镕电蒋中正立院休会返昆昆明学潮虽解决但因中共民盟发展已久外县仍多奸党活动及滇省共匪在滇桂越边境较多企图与桂境李济琛指挥下之民主联军联合,topic,昆明暗杀与民盟政治压力,,民盟,中国民主同盟; 中国共产党,昆明,20
6,1948,1948/09/07 ~ 1948/09/07,卢汉电蒋中正称滇西匪段英已遭击溃在昆明捕获现正严讯中期得民盟在云南逆谋以为预防,卢汉电蒋中正称滇西匪段英已遭击溃在昆明捕获现正严讯中期得民盟在云南逆谋以为预防,topic,昆明暗杀与民盟政治压力,,民盟,中国民主同盟,昆明,20
7,1949,1949-01-01,北平接触与民盟人士沟通,迁沪后不久，北平、南京分会相继成立，随后于1946年开设了香港九龙分会。 实际上，各分会及上海总部均由中共地下女党员、中国民主同盟成员及其他左翼人士领导，他们与解放区妇女联合会筹备委员会合作，并秘密接受蔡畅、邓颖超及该筹备委员会其他核心成员的指导。,topic,昆明暗杀与民盟政治压力,,北平接触; 民盟,中国民主同盟; 国民党; 中国共产党,昆明; 北平; 南京; 重庆; 上海; 香港; 成都,75
8,1949,1949-06-14,昆明暗杀事件引发的政治压力与外交关注,我军计划于今年冬季攻占以下城市：广州、南宁、昆明、贵阳、重庆、成都、青海、宁夏。为防止帝国主义列强可能实施的经济封锁和军事干预，应采取以下措施： a) 尽快将帝国主义的走狗——国民党残余势力从地球上彻底消灭。这是首要任务。如果中国大陆没有帝国主义的走狗，那么帝国主义者实施经济封锁和干预将十分困难，甚至几乎不可能。 b) 建立沿海防线。 c) 准备实现经济自给自足，以免受可能的经济封锁之影响。 4.,topic,昆明暗杀与民盟政治压力,,昆明暗杀,国民党,昆明; 重庆; 成都,40
9,1950,1950-01-20,昆明暗杀事件引发的政治压力与外交关注,**中共决定承认越南民主共和国** 昨晚在此间收听到的北平电台广播宣布，中共政府已决定承认胡志明博士在越南的越南民主共和国（Vietminh Republic）。,topic,昆明暗杀与民盟政治压力,蒋介石,昆明暗杀; 第三方面; 北平接触,国民党; 中国共产党; 美国国务院,昆明; 北平; 香港; 延安; 满洲; 华盛顿,20
19,1946,22 July 1946,昆明暗杀事件引发的政治压力与外交关注,893/7-2246：电报〔文件698〕马歇尔将军致杜鲁门总统。 我也不同意他认为全部责任都在共产党一方的看法，并且我着重谈到昆明和平的民盟教授遭暗杀一事对世界舆论的影响；尤其是有关一个恐怖恐吓自由派人士的组织的传闻，直接指向一位最显著的国民党领导人。,topic,昆明暗杀与民盟政治压力,周恩来; 马歇尔; 司徒雷登; 蒋介石,昆明暗杀; 马歇尔调处; 民盟,中国民主同盟; 国民党; 中国共产党; 行政院,昆明; 南京; 牯岭,70
