organization,theme,cooccurrence_events
中国民主同盟,民盟,1052
中国共产党,民盟,913
中国共产党,马歇尔调处,744
政治协商会议,政协,718
国民党,民盟,681
中国民主同盟,马歇尔调处,576
中国共产党,政协,542
国民党,马歇尔调处,502
中国共产党,北平接触,474
美国国务院,民盟,453
中国民主同盟,政协,450
政治协商会议,民盟,450
国民党,政协,398
国民党,北平接触,380
中国民主同盟,北平接触,355
政治协商会议,马歇尔调处,354
国民大会,马歇尔调处,305
国民大会,民盟,301
中国共产党,第三方面,298
国民政府,民盟,294
国民政府,马歇尔调处,284
中国共产党,联合政府,256
中国民主同盟,联合政府,253
国民大会,政协,240
国民党,联合政府,236
美国国务院,马歇尔调处,227
国民政府,政协,226
美国国务院,政协,225
美国国务院,北平接触,221
国民党,第三方面,220
青年党,民盟,210
中国民主同盟,第三方面,206
政治协商会议,北平接触,206
青年党,马歇尔调处,178
政治协商会议,联合政府,162
行政院,马歇尔调处,161
行政院,民盟,160
美国国务院,联合政府,130
行政院,政协,126
国民大会,第三方面,120
国民政府,北平接触,118
美国驻北平总领事馆,北平接触,118
政治协商会议,第三方面,115
美国国务院,第三方面,108
青年党,政协,108
中国民主同盟,昆明暗杀,97
美国驻华使馆,民盟,92
国民大会,联合政府,90
中国共产党,昆明暗杀,87
国民党,昆明暗杀,85
国民政府,联合政府,80
行政院,第三方面,75
青年党,第三方面,73
美国驻华使馆,马歇尔调处,71
国民大会,北平接触,71
国民政府,第三方面,67
美国驻北平总领事馆,民盟,66
民主社会党,民盟,62
美国驻华使馆,政协,62
美国驻北平总领事馆,政协,60
美国国务院,昆明暗杀,59
青年党,联合政府,59
美国驻上海总领事馆,民盟,53
美国驻华使馆,第三方面,44
青年党,北平接触,44
行政院,联合政府,41
民主社会党,马歇尔调处,39
民主社会党,第三方面,36
国民政府,昆明暗杀,35
民主社会党,联合政府,35
行政院,北平接触,31
民主社会党,政协,28
美国驻上海总领事馆,第三方面,23
美国驻上海总领事馆,北平接触,22
民主社会党,北平接触,21
美国驻上海总领事馆,政协,20
政治协商会议,昆明暗杀,19
美国驻华使馆,联合政府,19
美国驻北平总领事馆,联合政府,17
行政院,昆明暗杀,16
美国驻华使馆,昆明暗杀,16
美国驻上海总领事馆,联合政府,16
美国驻上海总领事馆,马歇尔调处,15
美国驻北平总领事馆,马歇尔调处,14
美国驻华使馆,北平接触,13
美国驻昆明领事馆,昆明暗杀,10
美国驻昆明领事馆,民盟,8
美国驻昆明领事馆,马歇尔调处,6
美国驻北平总领事馆,第三方面,6
美国驻昆明领事馆,政协,4
青年党,昆明暗杀,2
民主社会党,昆明暗杀,2
