organization,event_count,event_ids,year_min,year_max,year_span
中国共产党,1395,1;100;1000;1001;1002;1003;1005;1007;1008;101;1012;1013;1014;1015;1016;1017;1018;1019;102;1021;1022;1023;1024;1025;1026;1027;1028;1029;103;1030;1031;1032;1033;1034;1035;1036;1037;1038;104;1040,1943,1950,1943-1950
中国民主同盟,1064,100;1001;1002;1003;1004;1005;1006;1008;101;1016;102;1022;1024;1029;103;1030;1031;1033;1034;1035;1037;1038;104;1042;1053;1055;1056;1057;1058;1059;1060;1061;1062;1063;1064;1065;1066;1067;1068;1069,1943,1950,1943-1950
国民党,974,1;100;1000;1005;1006;1007;1008;101;1012;1013;1015;1016;1021;1022;1024;1027;1028;103;1031;1035;1036;1037;1038;104;1041;1045;1047;1049;105;1052;1053;1054;1055;1056;1057;1058;106;1063;1064;1070,1943,1950,1943-1950
政治协商会议,718,100;101;1012;1014;1016;102;1024;103;1031;1034;104;1042;1047;1049;105;1050;1051;1055;1058;1063;1066;1067;107;1070;1107;111;1112;1119;112;1125;1127;113;1130;1131;1132;1133;1136;1138;114;1141,1945,1950,1945-1950
美国国务院,587,103;1032;1049;1054;1057;1059;1069;1107;1108;1109;1110;1111;1113;1114;1115;1116;1117;1119;1121;1128;1129;1133;1134;1135;1136;1137;1139;1140;1141;1143;1144;1145;1146;1148;1149;1150;1151;1152;1153;1154,1943,1950,1943-1950
国民政府,418,1012;103;1032;104;105;1057;106;1108;1112;1115;1116;1120;1121;1122;1125;1126;113;1130;1133;1135;1138;1139;1145;115;1151;1157;1158;116;1162;1163;1169;117;1170;1177;1183;1185;1187;1189;1202;1204,1944,1950,1944-1950
国民大会,391,101;103;106;107;108;109;110;1107;1110;1112;1123;1125;1126;1127;1128;1130;1131;1132;1133;1134;1138;1141;1142;1151;1196;1204;1227;1236;1246;1247;1258;1261;1264;1265;1267;1276;1280;1281;1294;1297,1945,1949,1945-1949
青年党,240,101;107;110;1108;1110;1130;1142;1149;1151;1163;1166;1170;1185;1211;1221;1236;1239;1241;1243;1253;1259;1295;1319;1328;1333;1336;1341;1353;1366;1378;1380;1387;1393;1420;1440;1460;1469;1470;1476;1486,1944,1949,1944-1949
行政院,221,101;1032;1108;111;1123;1125;1128;1133;1136;1142;1161;1170;122;1221;1227;1232;1246;1247;1255;1256;1257;1258;1262;1264;1265;1267;1272;1276;1280;1319;1323;1324;1327;1330;1333;1343;1375;1382;1383;1389,1945,1949,1945-1949
美国驻华使馆,127,1107;1122;1142;1148;1151;1166;1170;1176;1182;1186;1212;1224;1231;1238;1239;1256;1257;1258;1259;1263;1266;1267;1273;1318;1333;1335;1343;1350;1390;1391;1392;1393;1399;1400;1405;1415;1469;1476;1477;1486,1944,1949,1944-1949
美国驻北平总领事馆,118,1119;1120;1134;1135;1144;1146;1168;1169;1174;1189;1190;1199;1217;1235;1245;1250;1251;1254;1269;1270;1271;1274;1281;1283;1284;1285;1286;1287;1288;1289;1322;1345;1346;1349;1354;1369;1384;1386;1402;1403,1946,1949,1946-1949
民主社会党,62,108;1130;1149;1150;1246;1253;1297;1328;1336;1337;1382;1470;1471;1505;1572;1641;1644;1645;1650;1656;1660;1661;1663;1674;1675;1678;1694;1727;1790;1876;213;215;33;397;402;413;420;463;550;553,1946,1949,1946-1949
美国驻上海总领事馆,55,1143;1150;1154;1158;1159;1165;1176;1197;1198;1214;1223;1225;1233;1244;1248;1337;1338;1350;1373;1377;1381;1471;1472;1484;1485;1487;1572;1573;1581;1608;1609;1614;1615;1644;1661;1698;1727;1797;1800;213,1946,1950,1946-1950
美国驻昆明领事馆,10,1786;21;28;31;37;38;388;42;624;672,1944,1946,1944-1946
