person,theme,cooccurrence_events
马歇尔,马歇尔调处,707
蒋介石,马歇尔调处,573
蒋介石,民盟,557
周恩来,马歇尔调处,489
马歇尔,民盟,475
周恩来,民盟,421
司徒雷登,民盟,415
罗隆基,民盟,378
司徒雷登,马歇尔调处,351
周恩来,政协,309
蒋介石,政协,309
马歇尔,政协,291
周恩来,北平接触,263
蒋介石,北平接触,262
罗隆基,马歇尔调处,231
司徒雷登,政协,230
罗隆基,政协,218
蒋介石,第三方面,197
张澜,民盟,194
罗隆基,北平接触,184
马歇尔,北平接触,172
蒋介石,联合政府,171
罗隆基,第三方面,163
马歇尔,第三方面,161
张君劢,民盟,155
张君劢,马歇尔调处,144
罗隆基,联合政府,128
黄炎培,民盟,127
周恩来,第三方面,126
张澜,政协,126
司徒雷登,北平接触,123
司徒雷登,第三方面,123
张君劢,第三方面,123
张澜,北平接触,123
章伯钧,民盟,106
张东荪,民盟,104
马歇尔,联合政府,101
沈钧儒,民盟,100
黄炎培,政协,98
周恩来,联合政府,96
沈钧儒,政协,91
章伯钧,政协,91
张东荪,北平接触,91
张君劢,政协,89
蒋介石,昆明暗杀,86
黄炎培,北平接触,86
张东荪,政协,83
司徒雷登,联合政府,82
张澜,联合政府,71
张君劢,联合政府,71
沈钧儒,北平接触,65
章伯钧,北平接触,63
司徒雷登,昆明暗杀,59
章伯钧,联合政府,55
黄炎培,联合政府,54
马歇尔,昆明暗杀,53
张东荪,联合政府,53
张澜,第三方面,51
史良,民盟,49
张君劢,北平接触,43
黄炎培,马歇尔调处,43
张澜,马歇尔调处,42
沈钧儒,联合政府,40
史良,北平接触,40
周恩来,昆明暗杀,39
黄炎培,第三方面,38
罗隆基,昆明暗杀,36
史良,政协,36
梁漱溟,民盟,31
梁漱溟,第三方面,31
章伯钧,马歇尔调处,31
章伯钧,第三方面,29
张东荪,马歇尔调处,27
梁漱溟,政协,25
梁漱溟,马歇尔调处,22
沈钧儒,第三方面,19
张东荪,第三方面,19
沈钧儒,马歇尔调处,14
梁漱溟,联合政府,12
梁漱溟,昆明暗杀,11
沈钧儒,昆明暗杀,10
史良,昆明暗杀,7
史良,马歇尔调处,7
张君劢,昆明暗杀,6
梁漱溟,北平接触,6
黄炎培,昆明暗杀,4
史良,联合政府,4
张澜,昆明暗杀,3
