place,event_count,event_ids,year_min,year_max,year_span
南京,938,1000;1007;1008;101;1015;1024;103;1032;1033;1036;1037;1038;105;1055;1058;106;1066;1067;107;108;1106;1107;1108;1109;1112;1113;1114;1116;1117;1119;1122;1123;1125;1126;1127;1128;1129;1130;1133;1134,1943,1950,1943-1950
上海,585,1000;1003;1004;1005;1006;1008;1012;1015;1023;1024;1029;103;1030;1031;1032;1033;1034;1038;104;1042;1044;1050;1052;1055;1057;1058;106;1061;1066;1067;108;1105;1112;1114;1119;1122;1125;1130;1133;1134,1945,1950,1945-1950
北平,570,1;1000;1008;101;1013;1015;1016;102;1024;1025;1027;1028;1029;103;1030;1031;1032;1033;1035;1036;1037;1038;104;1041;1042;1046;1048;1050;1051;1053;1054;1058;1059;106;1060;1061;1062;1063;1064;1065,1943,1950,1943-1950
满洲,475,1;1017;1019;102;1020;1021;1023;1028;1032;1036;1040;1044;1045;1047;1048;1054;1059;106;1069;108;1105;1106;1107;1108;1109;1112;1119;1120;1121;1122;1125;1129;1134;1136;1144;1154;1159;1160;1170;1177,1945,1950,1945-1950
延安,288,1;100;101;103;1054;106;1061;107;108;109;1123;1125;1126;1128;1130;1133;1138;1160;1184;1185;1188;1193;1196;1202;1204;1209;1210;1211;1212;1213;1216;1219;1221;1224;1229;1241;1260;1275;1280;1295,1945,1950,1945-1950
重庆,243,1;100;101;102;1024;1027;103;1032;1033;1110;1111;1115;1133;1137;1140;1147;1148;1151;1155;1161;1166;1182;1185;1204;1206;1207;1229;1230;1239;1241;1282;1287;1295;1296;1309;1321;1334;1335;1343;1353,1943,1949,1943-1949
香港,215,1003;1004;1005;1007;1023;1024;1031;1033;1035;1037;1038;105;1054;1055;1056;1057;1058;1059;106;1061;1064;1065;1066;1067;1068;1069;109;1109;1116;1119;1122;1136;1145;1154;1156;1157;1164;1165;1181;1186,1946,1950,1946-1950
天津,196,1;1002;101;1012;1015;1023;1032;1046;1051;1052;1058;1061;1066;1067;108;1112;1133;1134;1143;1146;1161;1169;1177;1182;1188;1190;1193;1206;1212;1214;1217;1221;1230;1250;1269;1276;1285;1286;1290;1297,1945,1950,1945-1950
昆明,100,1;1054;1115;1117;1139;1147;1155;1167;1171;1172;1177;1181;1206;1273;1282;1321;1334;1343;1347;1348;1361;1405;1409;1461;1497;1499;1530;1532;1575;1633;1709;1764;1786;1802;1804;1806;1809;1833;19;21,1944,1950,1944-1950
沈阳,91,1032;1065;1106;1129;1143;1144;1174;1188;1189;1193;1194;1206;1209;1211;1240;1241;1254;1271;1290;1349;136;1361;1364;1366;1386;1403;1413;1450;1478;1531;1607;1625;1700;1795;1807;1817;1822;1833;1836;1838,1945,1950,1945-1950
华盛顿,86,103;1054;1057;108;1108;1149;1151;1154;1157;1158;1159;1170;1174;1178;1186;1191;1194;1200;1232;1235;1249;1289;1297;1319;1336;1338;1349;1412;1422;1470;1472;1498;1547;1573;1574;1641;1645;1650;1653;1660,1945,1950,1945-1950
牯岭,57,1112;1113;1171;1172;1177;1179;1320;1347;1348;1351;1664;1764;1777;1779;1781;1782;1783;1784;1786;1806;1809;19;1910;23;31;381;383;384;385;388;426;46;47;48;49;50;505;586;606;608,1946,1946,1946-1946
成都,46,1033;1111;1118;1140;1147;1148;1166;1239;1263;1282;1334;1335;1343;1409;1422;1462;1467;1476;1486;1489;1496;1532;1633;1802;20;22;260;27;313;33;34;35;40;425;452;497;55;670;7;731,1944,1949,1944-1949
桂林,20,1032;1115;1147;1239;1282;1321;1334;1409;1450;1486;1500;1501;22;25;250;35;37;55;906;995,1943,1949,1943-1949
