page_id,document_id,doc_key,title,hit_type,page_label,page_url,text_length,text_excerpt,batch7_bucket,disposition_code,disposition_label,recommended_action,citation_eligible,reocr_priority,citation_ready,needs_human_review,review_status,ocr_engine,ocr_lines,image_path_resolved,image_exists,image_size_bytes,citation_ready_conflict,demote_citation_ready,priority_queue,audited_at
20708,1527,domestic-ocr/SAAC:domestic:SAAC:51koukou-p03-dde03-f1,中国人民政治协商会议筹备会第二次全体会议记录（1949-09-17）,saac_page_ocr,page-04,file://data/domestic/raw/saac_scans/sec03_03-03/s03_04.jpg,0,,Q0_EMPTY,D0_EMPTY_LIKELY_BLANK,空文本且影像偏小（疑似空白/低信息页）,保留结构页；低优先级重 OCR；citation 禁止,no,1,0,1,review_only,paddleocr,0,data/domestic/raw/saac_scans/sec03_03-03/s03_04.jpg,yes,29989,no,no,P0_EMPTY,2026-08-07T15:02:10Z
20718,1530,domestic-ocr/SAAC:domestic:SAAC:51koukou-p04-dde01-i3,新政治协商会议筹备会关于召开成立会的通知（1949-06-14）,saac_page_ocr,page-02,file://data/domestic/raw/saac_scans/sec04_04-01/02.jpg,0,,Q0_EMPTY,D0_EMPTY_NEEDS_REOCR,空文本但有影像（OCR 失败）,高优先级重 OCR；核验前 citation 禁止,no,3,0,1,review_only,paddleocr,0,data/domestic/raw/saac_scans/sec04_04-01/02.jpg,yes,204620,no,no,P0_EMPTY,2026-08-07T15:02:10Z
20762,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,saac_page_ocr,page-02,file://data/domestic/raw/saac_scans/sec05_05-05/02.jpg,0,,Q0_EMPTY,D0_EMPTY_HANDWRITING,空文本且题名/语境提示签到手写,高优先级手写/版式 OCR 或人工著录要点；citation 禁止,no,3,0,1,review_only,paddleocr,0,data/domestic/raw/saac_scans/sec05_05-05/02.jpg,yes,351412,no,no,P0_EMPTY,2026-08-07T15:02:10Z
20763,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,saac_page_ocr,page-03,file://data/domestic/raw/saac_scans/sec05_05-05/03.jpg,0,,Q0_EMPTY,D0_EMPTY_HANDWRITING,空文本且题名/语境提示签到手写,高优先级手写/版式 OCR 或人工著录要点；citation 禁止,no,3,0,1,review_only,paddleocr,0,data/domestic/raw/saac_scans/sec05_05-05/03.jpg,yes,297257,no,no,P0_EMPTY,2026-08-07T15:02:10Z
20764,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,saac_page_ocr,page-04,file://data/domestic/raw/saac_scans/sec05_05-05/04.jpg,0,,Q0_EMPTY,D0_EMPTY_HANDWRITING,空文本且题名/语境提示签到手写,高优先级手写/版式 OCR 或人工著录要点；citation 禁止,no,3,0,1,review_only,paddleocr,0,data/domestic/raw/saac_scans/sec05_05-05/04.jpg,yes,226676,no,no,P0_EMPTY,2026-08-07T15:02:10Z
20766,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,saac_page_ocr,page-06,file://data/domestic/raw/saac_scans/sec05_05-05/06.jpg,0,,Q0_EMPTY,D0_EMPTY_HANDWRITING,空文本且题名/语境提示签到手写,高优先级手写/版式 OCR 或人工著录要点；citation 禁止,no,3,0,1,review_only,paddleocr,0,data/domestic/raw/saac_scans/sec05_05-05/06.jpg,yes,199180,no,no,P0_EMPTY,2026-08-07T15:02:10Z
1650,1067,domestic-ocr/NLC:guangmingbao-1948-v1n12-full-ocr,《光明報》1948年第一卷第十二期（OCR试点）,domestic_ocr_pilot,01,https://commons.wikimedia.org/wiki/File:NLC404-01J000514-10514_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B712%E6%9C%9F.pdf#page=01,11,12 日六十月八年七零,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,,,,,,https:/commons.wikimedia.org/wiki/File:NLC404-01J000514-10514_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B712%E6%9C%9F.pdf#page=01,no,,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
1775,1109,domestic-ocr/NLC:minmeng-wenxian-1946-alternate-front-ocr,《民主同盟文獻》1946年官方汇编交替扫描前页（OCR试点）,domestic_ocr_pilot,01,https://commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=01,14,民主同盟文献 上海圖書館藏書,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,保留结构用途；不作为正文证据；citation 禁止,no,0,,,,,,https:/commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=01,no,,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
1776,1109,domestic-ocr/NLC:minmeng-wenxian-1946-alternate-front-ocr,《民主同盟文獻》1946年官方汇编交替扫描前页（OCR试点）,domestic_ocr_pilot,02,https://commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=02,27,上海图书馆藏书 A541 212 0022 87788,Q3_OCR_SUSPECT,D2_LIBRARY_STAMP,馆藏章/索书号页,保留结构用途；不作为正文证据；citation 禁止,no,0,,,,,,https:/commons.wikimedia.org/wiki/File:NLC511-027032013012333-19131_%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E6%96%87%E7%8D%BB.pdf#page=02,no,,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
1778,1110,domestic-ocr/NLC:minmeng-yanlunji-1945-front-ocr,《中國民主同盟言論集》1945年选编前页（OCR试点）,domestic_ocr_pilot,01,https://commons.wikimedia.org/wiki/File:NLC511-027032016010761-42571_%E4%B8%AD%E5%9C%8B%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E8%A8%80%E8%AB%96%E9%9B%86.pdf#page=01,23,中國民主同盟言論集 時事研究社出版 章 店舊華,Q3_OCR_SUSPECT,D4_COVER_TITLE,封面/版权/题名页短文本,结构保留；citation 禁止（可用作题名辅助）,no,0,,,,,,https:/commons.wikimedia.org/wiki/File:NLC511-027032016010761-42571_%E4%B8%AD%E5%9C%8B%E6%B0%91%E4%B8%BB%E5%90%8C%E7%9B%9F%E8%A8%80%E8%AB%96%E9%9B%86.pdf#page=01,no,,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
18448,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,domestic_page_ocr,2,file://data/domestic/press_scans/SSID-13679264_观察_第3卷第1-12期.pdf#page=2,1,福,Q3_OCR_SUSPECT,D6_OCR_GARBLED,极短碎片（无法独立引用）,对照影像判断截断/图注；citation 禁止,no,2,0,1,unreadable,PaddleOCR 3.7.0,1,work/domestic/month_20260728/pages/SSID-13679264/images/page-0002.png,yes,987841,no,no,P1_OCR_OR_FRAGMENT,2026-08-07T15:02:10Z
