page_id,document_id,doc_key,title,page_label,text_length,disposition_code,reocr_priority,image_path_resolved,image_exists,image_size_bytes,ocr_engine,recommended_action
20718,1530,domestic-ocr/SAAC:domestic:SAAC:51koukou-p04-dde01-i3,新政治协商会议筹备会关于召开成立会的通知（1949-06-14）,page-02,0,D0_EMPTY_NEEDS_REOCR,3,data/domestic/raw/saac_scans/sec04_04-01/02.jpg,yes,204620,paddleocr,高优先级重 OCR；核验前 citation 禁止
20762,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,page-02,0,D0_EMPTY_HANDWRITING,3,data/domestic/raw/saac_scans/sec05_05-05/02.jpg,yes,351412,paddleocr,高优先级手写/版式 OCR 或人工著录要点；citation 禁止
20763,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,page-03,0,D0_EMPTY_HANDWRITING,3,data/domestic/raw/saac_scans/sec05_05-05/03.jpg,yes,297257,paddleocr,高优先级手写/版式 OCR 或人工著录要点；citation 禁止
20764,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,page-04,0,D0_EMPTY_HANDWRITING,3,data/domestic/raw/saac_scans/sec05_05-05/04.jpg,yes,226676,paddleocr,高优先级手写/版式 OCR 或人工著录要点；citation 禁止
20766,1541,domestic-ocr/SAAC:domestic:SAAC:51koukou-p05-dde05-i3,政协一届全体会议代表签到（1949-09-21）,page-06,0,D0_EMPTY_HANDWRITING,3,data/domestic/raw/saac_scans/sec05_05-05/06.jpg,yes,199180,paddleocr,高优先级手写/版式 OCR 或人工著录要点；citation 禁止
1650,1067,domestic-ocr/NLC:guangmingbao-1948-v1n12-full-ocr,《光明報》1948年第一卷第十二期（OCR试点）,01,11,D6_OCR_GARBLED,2,https:/commons.wikimedia.org/wiki/File:NLC404-01J000514-10514_%E5%85%89%E6%98%8E%E5%A0%B1_1948%E5%B9%B41%E5%8D%B712%E6%9C%9F.pdf#page=01,no,,,对照影像判断截断/图注；citation 禁止
16694,1286,domestic-page/NLC404-01J000514-10514,《光明報》1948 年1卷12期,1,24,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-01J000514-10514/images/page-0001.png,yes,3524302,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
16778,1285,domestic-page/NLC404-01J000514-10484,《光明報》1948 年1卷1期,1,116,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC404-01J000514-10484/images/page-0001.png,yes,1062733,PaddleOCR 3.7.0,重 OCR 或人工复核；citation 禁止
17610,1292,domestic-page/NLC511-027032016010761-42571,《中国民主同盟言论集》,105,11,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC511-027032016010761-42571/images/page-0105.png,yes,30868,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
17612,1292,domestic-page/NLC511-027032016010761-42571,《中国民主同盟言论集》,107,10,D6_OCR_GARBLED,2,work/domestic/month_20260728/pages/NLC511-027032016010761-42571/images/page-0107.png,yes,664650,PaddleOCR 3.7.0,对照影像判断截断/图注；citation 禁止
