file_id,batch,pages,mean_confidence,decision,citation_ready,needs_human_review,source_path
P3-018,accepted21,9,0.723,REVIEW_ORIGINAL,False,True,data/domestic/gazette_scans/ROC1947-11-06國民政府公報2973.pdf
P3-016,accepted21,17,0.7459,REVIEW_ORIGINAL,False,True,data/domestic/gazette_scans/ROC1947-10-27國民政府公報2964.pdf
P3-017,accepted21,13,0.7556,REVIEW_ORIGINAL,False,True,data/domestic/gazette_scans/ROC1947-10-30國民政府公報2967.pdf
P3-019,accepted21,17,0.7276,REVIEW_ORIGINAL,False,True,data/domestic/gazette_scans/ROC1947-11-07國民政府公報2974.pdf
P3-013,accepted21,107,0.882,GO_SEARCH_DRAFT,False,True,data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf
P3-012,accepted21,178,0.9645,GO_SEARCH_DRAFT,False,True,data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf
P3-011,accepted21,176,0.9189,GO_SEARCH_DRAFT,False,True,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf
P3-021,accepted21,2,0.9681,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/LNU_PROFMKCHAN_INDEXLIST_14_光明報_1941.pdf
P3-006,accepted21,6,0.8017,REVIEW_ORIGINAL,False,True,data/domestic/press_scans/NLC1080-00N000846-8631_新华日报_1941-10-10.pdf
P3-002,accepted21,16,0.8635,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10460_光明報_1947年21期.pdf
P3-004,accepted21,16,0.9186,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10431_光明報_1946年10期.pdf
P3-009,accepted21,20,0.9062,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000332-6817_观察_1947年3卷11期.pdf
P3-008,accepted21,24,0.9038,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10834_光明報_1946年1期.pdf
P3-001,accepted21,2,0.7696,REVIEW_ORIGINAL,False,True,data/domestic/press_scans/NLC1080-00N000846-8712_新华日报_1941-10-28.pdf
P3-010,accepted21,16,0.9256,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-72818_光明報_1947年12期.pdf
P3-005,accepted21,45,0.8522,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85453_民憲_第一卷第十二期.pdf
P3-007,accepted21,47,0.8899,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-00J001436-85445_民憲_第一卷第四期.pdf
P3-003,accepted21,55,0.8482,REVIEW_ORIGINAL,False,True,data/domestic/press_scans/NLC404-00J001436-85449_民憲_第一卷第八期.pdf
P3-020,accepted21,1,0.8633,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/GXMM_大公報_天津版_1947-11-06_第2版_民盟宣布解散_嵌图截取.png
P3-014,accepted21,789,0.9845,GO_SEARCH_DRAFT,False,True,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf
P3-015,accepted21,622,0.9856,GO_SEARCH_DRAFT,False,True,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf
P3-10424,pending37,16,0.8962,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10424_光明報_1946年3期.pdf
P3-10425,pending37,16,0.9061,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10425_光明報_1946年4期.pdf
P3-10426,pending37,20,0.8997,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10426_光明報_1946年5期.pdf
P3-10427,pending37,16,0.9184,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10427_光明報_1946年6期.pdf
P3-10428,pending37,16,0.8993,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10428_光明報_1946年7期.pdf
P3-10429,pending37,16,0.8993,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10429_光明報_1946年8期.pdf
P3-10430,pending37,16,0.9024,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10430_光明報_1946年9期.pdf
P3-10453,pending37,16,0.9178,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10453_光明報_1947年13期.pdf
P3-10454,pending37,20,0.9248,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10454_光明報_1947年14期.pdf
P3-10455,pending37,16,0.9214,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10455_光明報_1947年15期.pdf
P3-10456,pending37,17,0.9156,GO_SEARCH_DRAFT,False,True,data/domestic/press_scans/NLC404-01J000514-10456_光明報_1947年16–17期.pdf
