file_id,chunk_index,page_range,source_path,chunk_path,mean_confidence,search_usable,likely_ocr_problems,suspicious_names_or_dates,article_boundary_guess,recommended_action,citation_ready,needs_human_review,period_covered,phase,reviewer,notes
P3-018,1,all,data/domestic/gazette_scans/ROC1947-11-06國民政府公報2973.pdf,work/domestic/ocr_collection_phase4/ROC1947-11-06國民政府公報2973.ocr.md,0.7230,true_with_caution,"medium (中等置信度, 抽查繁体异体字)",medium (人名/日期需校对),"per_page (公报按页, 可直接定位)",REVIEW_ORIGINAL,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-016,1,all,data/domestic/gazette_scans/ROC1947-10-27國民政府公報2964.pdf,work/domestic/ocr_collection_phase4/ROC1947-10-27國民政府公報2964.ocr.md,0.7459,true_with_caution,"medium (中等置信度, 抽查繁体异体字)",medium (人名/日期需校对),"per_page (公报按页, 可直接定位)",REVIEW_ORIGINAL,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-017,1,all,data/domestic/gazette_scans/ROC1947-10-30國民政府公報2967.pdf,work/domestic/ocr_collection_phase4/ROC1947-10-30國民政府公報2967.ocr.md,0.7556,true_with_caution,"medium (中等置信度, 抽查繁体异体字)",medium (人名/日期需校对),"per_page (公报按页, 可直接定位)",REVIEW_ORIGINAL,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-019,1,all,data/domestic/gazette_scans/ROC1947-11-07國民政府公報2974.pdf,work/domestic/ocr_collection_phase4/ROC1947-11-07國民政府公報2974.ocr.md,0.7276,true_with_caution,"medium (中等置信度, 抽查繁体异体字)",medium (人名/日期需校对),"per_page (公报按页, 可直接定位)",REVIEW_ORIGINAL,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-013,1,all,data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf,work/domestic/ocr_collection_phase4/NLC511-027032016010761-42571_中国民主同盟言论集.ocr.md,0.8820,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_chapter (汇编按章节, 待人工对照目录)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-012,1,all,data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf,work/domestic/ocr_collection_phase4/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.ocr.md,0.9645,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_chapter (汇编按章节, 待人工对照目录)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-011,1,all,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf,work/domestic/ocr_collection_phase4/NLC416-01jh004281-12557_民主同盟文獻_1946.ocr.md,0.9189,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),"per_chapter (汇编按章节, 待人工对照目录)",GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-021,1,all,data/domestic/press_scans/LNU_PROFMKCHAN_INDEXLIST_14_光明報_1941.pdf,work/domestic/ocr_collection_phase4/LNU_PROFMKCHAN_INDEXLIST_14_光明報_1941.ocr.md,0.9681,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),per_issue_or_per_article (待人工对照版面),GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-006,1,all,data/domestic/press_scans/NLC1080-00N000846-8631_新华日报_1941-10-10.pdf,work/domestic/ocr_collection_phase4/NLC1080-00N000846-8631_新华日报_1941-10-10.ocr.md,0.8017,true_with_caution,"medium (中等置信度, 抽查繁体异体字)",medium (人名/日期需校对),per_issue_or_per_article (待人工对照版面),REVIEW_ORIGINAL,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
P3-002,1,all,data/domestic/press_scans/NLC404-01J000514-10460_光明報_1947年21期.pdf,work/domestic/ocr_collection_phase4/NLC404-01J000514-10460_光明報_1947年21期.ocr.md,0.8635,true_with_caution,"medium (印刷清晰, 抽查专有名词/人名/期号)",medium (人名/日期/期号需校对原版),per_issue_or_per_article (待人工对照版面),GO_SEARCH_DRAFT,false,true,1941|1944-1945|1946|1947|1948-1949,Phase 4,Claude Code (local rule-based on accepted21 phase5 / pending37 rule),
