priority,priority_rationale,coverage_state,source_path,pdf_pages,ocr_draft_pages,indexed_pages,ocr_pages_to_generate,pages_to_formalize,sha256,record_ids,indexed_titles
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/SSID-13679264_观察_第3卷第1-12期.pdf,278,278,8,0,270,d8f4dacfbf367f590d46344084fab8722d91d18fbb2d0b8cc241f7416d5f7f04,LOCALFULL:P3-023；OBSERVER-V3N01-1947；OBSERVER-V3N02-1947；OBSERVER-V3N03-1947；OBSERVER-V3N04-1947；OBSERVER-V3N05-1947；OBSERVER-V3N06-1947；OBSERVER-V3N07-1947；OBSERVER-V3N08-1947；OBSERVER-V3N09-1947；OBSERVER-V3N10-1947；OBSERVER-V3N11-1947；OBSERVER-V3N12-1947；NLC:observer-1947-v3n11-bound-selected-ocr,SSID-13679264_观察_第3卷第1-12期.pdf · OCR检索草稿；SSID-13679264_观察_第3卷第1-12期.pdf · OCR检索草稿；SSID-13679264_观察_第3卷第1-12期.pdf · OCR检索草稿；《觀察》第三卷第十一期合订本高价值页（OCR试点）；《觀察》第三卷第十一期合订本高价值页（OCR试点）；《觀察》第三卷第十一期合订本高价值页（OCR试点）；《觀察》第三卷第十一期合订本高价值页（OCR试点）；《觀察》第三卷第十一期合订本高价值页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC511-012031312030001-21906_大公報_第114卷.pdf,248,248,4,0,244,80d5daea555bfa6e5df03baaa71b4b0dc251510adb89752ab93da3ce932bb0bd,COLLECTION:P3-114:ocr-draft-20260727；NLC:dagongbao-vol114-1947-11-06-selected-ocr,NLC511-012031312030001-21906_大公報_第114卷；NLC511-012031312030001-21906_大公報_第114卷；NLC511-012031312030001-21906_大公報_第114卷；《大公報》第114卷1947年11月6日第2版关键页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC511-012031312030001-21905_大公報_第113卷.pdf,232,232,5,0,227,31060177686a64a99f1c8b464d972d3a5271f00c6ee47e8616b5340b8f771c84,COLLECTION:P3-113:ocr-draft-20260727；NLC:dagongbao-vol113-1947-11-06-selected-ocr,NLC511-012031312030001-21905_大公報_第113卷；NLC511-012031312030001-21905_大公報_第113卷；NLC511-012031312030001-21905_大公報_第113卷；《大公報》第113卷1947年11月6日第1—2版关键页（OCR试点）；《大公報》第113卷1947年11月6日第1—2版关键页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85454_民憲_第二卷第一期.pdf,71,71,3,0,68,ea8481761246aa26c98f9a7a058e894597c551798fb5ad37f30c400a4cb34fcd,COLLECTION:P3-85454:ocr-draft-20260727；LOCALFULL:P3-85454；NLC:minxian-1945-v2n1-contents-ocr,NLC404-00J001436-85454_民憲_第二卷第一期；NLC404-00J001436-85454_民憲_第二卷第一期.pdf · OCR检索草稿；《民憲》第二卷第一期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85449_民憲_第一卷第八期.pdf,55,55,3,0,52,867fcca3821c8cc3deb67ba1aae6a76e62f192c0c849805fa2fda4cc9835aa19,COLLECTION:P3-003:ocr-draft-20260727；LOCALFULL:P3-003；NLC:minxian-1944-v1n8-contents-ocr,NLC404-00J001436-85449_民憲_第一卷第八期；NLC404-00J001436-85449_民憲_第一卷第八期.pdf · OCR检索草稿；《民憲》第一卷第八期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85446_民憲_第一卷第五期.pdf,53,53,3,0,50,25d339490905fc06832f4ddbaf7a367d761ef06e0b40f8439c6c1a8c8d6fd69a,COLLECTION:P3-85446:ocr-draft-20260727；LOCALFULL:P3-85446；NLC:minxian-1944-v1n5-contents-ocr,NLC404-00J001436-85446_民憲_第一卷第五期；NLC404-00J001436-85446_民憲_第一卷第五期.pdf · OCR检索草稿；《民憲》第一卷第五期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85448_民憲_第一卷第七期.pdf,51,51,3,0,48,a1e2269150fea87cfcca1e2016662ecc953f9a9b2a151184aad62fad776f09e0,COLLECTION:P3-85448:ocr-draft-20260727；LOCALFULL:P3-85448；NLC:minxian-1944-v1n7-contents-ocr,NLC404-00J001436-85448_民憲_第一卷第七期；NLC404-00J001436-85448_民憲_第一卷第七期.pdf · OCR检索草稿；《民憲》第一卷第七期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85452_民憲_第一卷第十一期.pdf,51,51,3,0,48,71edf42b8f1e532edb277c2899f2a9a548f531a1cd76c6f7b79a69b1fdce0d2e,COLLECTION:P3-85452:ocr-draft-20260727；LOCALFULL:P3-85452；NLC:minxian-1945-v1n11-contents-ocr,NLC404-00J001436-85452_民憲_第一卷第十一期；NLC404-00J001436-85452_民憲_第一卷第十一期.pdf · OCR检索草稿；《民憲》第一卷第十一期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85451_民憲_第一卷第十期.pdf,49,49,3,0,46,7383f69dd74477969acf50708456b2975e167c16eaa3d6ed7deb6243616b6328,COLLECTION:P3-85451:ocr-draft-20260727；LOCALFULL:P3-85451；NLC:minxian-1944-v1n10-contents-ocr,NLC404-00J001436-85451_民憲_第一卷第十期；NLC404-00J001436-85451_民憲_第一卷第十期.pdf · OCR检索草稿；《民憲》第一卷第十期目录页（OCR试点）
A,同期报刊/原始扫描优先,draft_ready_formal_gap,data/domestic/press_scans/NLC404-00J001436-85443_民憲_第一卷第二期.pdf,47,47,3,0,44,43c91c806af550c60d321793a81cc18bc7866774057f318e364915c70f543118,COLLECTION:P3-85443:ocr-draft-20260727；LOCALFULL:P3-85443；NLC:minxian-1944-v1n2-contents-ocr,NLC404-00J001436-85443_民憲_第一卷第二期；NLC404-00J001436-85443_民憲_第一卷第二期.pdf · OCR检索草稿；《民憲》第一卷第二期目录页（OCR试点）
