candidate_id,title,repository_code,repository_name,catalog_reference_status,access_mode,online_availability,evidence_type,authenticity_level_proposed,relevance_grade_proposed,review_status,decision,decision_reason,citation_ready
domestic:HKU:guangmingbao-1941-microform-holdings,《光明報》1941年9月18日—12月12日馆藏缩微胶卷记录,HKU,香港大学图书馆特别馆藏,verified,reading_room,catalogue_only_online,printed_finding_aid,L2,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:HKU:guangmingbao-primo-record,《光明報》1941—1949港大 JULAС/Primo 书目记录,HKU,香港大学图书馆 Special Collections；JULAC/Primo,verified,reading_room,catalogue_only_online,printed_finding_aid,L2,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:KMY:minzhuzhoukan-1946-li-wen-wen-yiduo-1946-07,闻一多在《民主周刊》的社论与追悼文章（1946-07）,KMY,"《民主周刊》(闻一多任社长,1946-07 停刊)",pending,open,surrogate_online,secondary_lead,L1,core,needs_human_review,NEED_ORIGINAL,目前只有二次线索或替代页面；在取得原刊影像、档案复制件或可核验全文前维持人工复核。,False
domestic:MM1941:outline-1937-06-07-qijunzi-bianhu,1937-06-07 七君子和 21 位辩护律师合影,MM1941,《民盟历史文献全媒体数据库》（minmeng1941.cn）,verified,login,catalogue_only_online,digital_image,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:MM1941:outline-1937-qijunzi-yuzhong-zhao,1937 年救国会七君子在狱中合影,MM1941,《民盟历史文献全媒体数据库》（minmeng1941.cn）,verified,login,catalogue_only_online,digital_image,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:MX:cheng-boren-1942-join-northwest-org,成柏仁 1942 年加入民盟条目（《盟贤》第 47 页）,MX,民盟上海市委内部传记汇编《盟贤》（169 页 PDF）,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:MX:ding-cong-1942-chongqing-artist,丁聪 1942 年在桂林/重庆/成都/昆明美术设计活动条目（《盟贤》第 158 页）,MX,民盟上海市委内部传记汇编《盟贤》,unpublished,offline,not_online,printed_finding_aid,L3,related,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:MX:lu-jinhua-1942-yueju-troupe,陆锦花 1942 年入袁雪芬领衔大来剧场条目（《盟贤》，1956-10 入盟）,MX,民盟上海市委内部传记汇编《盟贤》,unpublished,offline,not_online,printed_finding_aid,L3,related,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:MX:shang-ding-1942-journalist-secretary,尚丁 1942 年任黄炎培秘书 + 政团同盟组织协调条目（《盟贤》第 63 页，1942 关键人物活动）,MX,民盟上海市委内部传记汇编《盟贤》,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
domestic:MX:shang-ding-1943-11-join-mengxian,尚丁 1943 年 11 月加入民盟条目（《盟贤》第 63 页；与 SHDPZ 印刷厂正文 1943-10 互证）,MX,民盟上海市委内部传记汇编《盟贤》（169 页 PDF）,unpublished,offline,not_online,printed_finding_aid,L3,core,needs_human_review,ACCEPT_METADATA,目录或本地内部汇编记录可核验；只接受元数据线索，不代表已取得原件，不提升citation_ready。,False
