review_priority,review_score,evidence_id,document_id,page_ids,page_labels,text_chars,source_doc_title,source_id,article_title_original,date_original,evidence_level,ocr_status,article_boundary_status,citation_ready,next_action,gate
P1,120,eu-1944-1945-009,1049,1442,96,393,中国民主同盟纲领（OCR试点页）,domestic-ocr/MMHIST:platform-1945:ocr-pilot,中国民主同盟纲领（OCR试点页）,1945-10,L1,draft,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-022,1071,1715,02,220,《民憲》第一卷第一期目录页（OCR试点）,domestic-ocr/NLC:minxian-1944-v1n1-contents-ocr,《民憲》第一卷第一期目录页（OCR试点）,1944-05-16,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-023,1072,1716,02,200,《民憲》第一卷第六期目录页（OCR试点）,domestic-ocr/NLC:minxian-1944-v1n6-contents-ocr,《民憲》第一卷第六期目录页（OCR试点）,1944-08-15,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-026,1076,1725,02,198,《民憲》第一卷第十期目录页（OCR试点）,domestic-ocr/NLC:minxian-1944-v1n10-contents-ocr,《民憲》第一卷第十期目录页（OCR试点）,1944-12-20,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-027,1080,1736,02,156,《民憲》第一卷第二期目录页（OCR试点）,domestic-ocr/NLC:minxian-1944-v1n2-contents-ocr,《民憲》第一卷第二期目录页（OCR试点）,1944-05-01,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-028,1081,1737,02,171,《民憲》第一卷第三期目录页（OCR试点）,domestic-ocr/NLC:minxian-1944-v1n3-contents-ocr,《民憲》第一卷第三期目录页（OCR试点）,1944-06-15,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-030,1083,1739,02,226,《民憲》第一卷第五期目录页（OCR试点）,domestic-ocr/NLC:minxian-1944-v1n5-contents-ocr,《民憲》第一卷第五期目录页（OCR试点）,1944-07-16,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-031,1094,1756,02,201,《民憲》第一卷第七期目录页（OCR试点）,domestic-ocr/NLC:minxian-1944-v1n7-contents-ocr,《民憲》第一卷第七期目录页（OCR试点）,1944-09-10,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-032,1095,1757,02,216,《民憲》第一卷第八期目录页（OCR试点）,domestic-ocr/NLC:minxian-1944-v1n8-contents-ocr,《民憲》第一卷第八期目录页（OCR试点）,1944-10-12,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-033,1096,1758,02,240,《民憲》第一卷第十一期目录页（OCR试点）,domestic-ocr/NLC:minxian-1945-v1n11-contents-ocr,《民憲》第一卷第十一期目录页（OCR试点）,1945-01-15,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-034,1097,1759,02,253,《民憲》第一卷第十二期目录页（OCR试点）,domestic-ocr/NLC:minxian-1945-v1n12-contents-ocr,《民憲》第一卷第十二期目录页（OCR试点）,1945-02-25,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-035,1098,1760,02,290,《民憲》第二卷第一期目录页（OCR试点）,domestic-ocr/NLC:minxian-1945-v2n1-contents-ocr,《民憲》第二卷第一期目录页（OCR试点）,1945-05-15,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1944-1945-036,1099,1761,02,271,《民憲》第二卷第二期目录页（OCR试点）,domestic-ocr/NLC:minxian-1945-v2n2-contents-ocr,《民憲》第二卷第二期目录页（OCR试点）,1945-06-13,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1946-041,1086,1742,01,988,《光明報》新一號首版（OCR试点）,domestic-ocr/NLC:guangmingbao-1946-issue1-front-ocr,《光明報》新一號首版（OCR试点）,1946-09-18,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1946-047,1101,1764,01,1043,《光明報》新九號首版（OCR试点）,domestic-ocr/NLC:guangmingbao-1946-issue9-front-ocr,《光明報》新九號首版（OCR试点）,1946-08-20,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1947-063,1103,1766,01,252,《光明報》新二十號首版（OCR试点）,domestic-ocr/NLC:guangmingbao-1947-issue20-front-ocr,《光明報》新二十號首版（OCR试点）,1947-06-23,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,120,eu-1947-065,1105,1768,01,340,《光明報》新二十二號首版（OCR试点）,domestic-ocr/NLC:guangmingbao-1947-issue22-front-ocr,《光明報》新二十二號首版（OCR试点）,1947-08-01,L1,needs_human_review,unknown,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1941-001,1048,"1439,1440,1441","35,36,37",1388,中国民主政团同盟成立宣言（OCR试点页）,domestic-ocr/MMHIST:formation-declaration-1941:ocr-pilot,中国民主政团同盟成立宣言（OCR试点页）,1941-10-10,L1,draft,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1941-008,1100,"1762,1763","1,2",1076,1941年《光明報》香港工运剪报索引清单（OCR导航）,domestic-ocr/NLC:guangmingbao-1941-index-list-ocr,1941年《光明報》香港工运剪报索引清单（OCR导航）,1941,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-010,1050,"1443,1444","101,117",1098,中国民主同盟临时全国代表大会政治报告（OCR试点页）,domestic-ocr/MMHIST:political-report-1945:ocr-pilot,中国民主同盟临时全国代表大会政治报告（OCR试点页）,1945-10-11,L1,draft,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-011,1051,"1445,1446","118,123",890,中国民主同盟临时全国代表大会宣言（OCR试点页）,domestic-ocr/MMHIST:congress-declaration-1945:ocr-pilot,中国民主同盟临时全国代表大会宣言（OCR试点页）,1945-10-16,L1,draft,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-012,1052,"1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459","48,49,50,51,52,53,54,55,56,57,58,59,60",5897,中国民主同盟纲领（1946年官方汇编OCR试点）,domestic-ocr/NLC:minmeng-wenxian-1946-minmeng-platform-1945:ocr-pilot,中国民主同盟纲领（1946年官方汇编OCR试点） (前段),1945-10,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-013,1052,"1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472","61,62,63,64,65,66,67,68,69,70,71,72,73",7355,中国民主同盟纲领（1946年官方汇编OCR试点）,domestic-ocr/NLC:minmeng-wenxian-1946-minmeng-platform-1945:ocr-pilot,中国民主同盟纲领（1946年官方汇编OCR试点） (后段),1945-10,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-014,1054,"1478,1479,1480,1481","021,022,023,024",1267,1944—1945早期文件页组（OCR试点）,domestic-ocr/NLC:minmeng-wenxian-1946-early-group:ocr-pilot,1944—1945早期文件页组（OCR试点） (前段),1944-10—1945-01,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-015,1054,"1482,1483,1484,1485,1486","025,026,027,028,029",3004,1944—1945早期文件页组（OCR试点）,domestic-ocr/NLC:minmeng-wenxian-1946-early-group:ocr-pilot,1944—1945早期文件页组（OCR试点） (后段),1944-10—1945-01,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-016,1055,"1487,1488,1489,1490","031,032,033,034",2416,1945政治主张文件页组（上，OCR试点）,domestic-ocr/NLC:minmeng-wenxian-1946-boundary-group:ocr-pilot,1945政治主张文件页组（上，OCR试点） (前段),1945,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-017,1055,"1491,1492,1493,1494,1495","035,036,037,038,039",2370,1945政治主张文件页组（上，OCR试点）,domestic-ocr/NLC:minmeng-wenxian-1946-boundary-group:ocr-pilot,1945政治主张文件页组（上，OCR试点） (后段),1945,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-018,1056,"1496,1497,1498,1499","039,040,041,042",2115,1945政治主张文件页组（下，OCR试点）,domestic-ocr/NLC:minmeng-wenxian-1946-around-group:ocr-pilot,1945政治主张文件页组（下，OCR试点）,1945,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-021,1070,"1710,1711","16,17",2612,《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点）,domestic-ocr/NLC:minxian-1944-v1n9-democracy-vs-nondemocracy-article-ocr,《民憲》第一卷第九期〈民主政治與非民主政治〉正文（OCR试点） (前段),1944-11-20,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-024,1073,"1717,1718,1719","04,05,06",3796,《民憲》第一卷第一期〈努力與思索〉（代發刊詞）正文试点,domestic-ocr/NLC:minxian-1944-v1n1-preface-effort-and-thought-ocr,《民憲》第一卷第一期〈努力與思索〉（代發刊詞）正文试点,1944-05-16,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-025,1074,"1720,1721,1722,1723","04,05,06,07",5158,《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点,domestic-ocr/NLC:minxian-1944-v1n6-democracy-philosophy-upper-ocr,《民憲》第一卷第六期〈民主政治的哲學問題（上）〉正文试点,1944-08-15,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
P1,100,eu-1944-1945-037,1110,"1778,1779,1780","01,02,03",123,《中國民主同盟言論集》1945年选编前页（OCR试点）,domestic-ocr/NLC:minmeng-yanlunji-1945-front-ocr,《中國民主同盟言論集》1945年选编前页（OCR试点）,1945-10,L1,needs_human_review,likely,False,"compare source image with OCR, confirm article boundary and citation locator",hold_until_human_review
