document_id,doc_key,title,hit_type,reason,evidence_values,source_file
1119,domestic-ocr/COLLECTION:P3-013:ocr-draft-20260727,NLC511-027032016010761-42571_中国民主同盟言论集,domestic_ocr_pilot,conflicting_catalog_dates,1945-10 | 1945-10-11 | 1945-10-16,data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf
1120,domestic-ocr/COLLECTION:P3-012:ocr-draft-20260727,NLC511-027032013012333-19131_民主同盟文獻_alternate_scan,domestic_ocr_pilot,conflicting_catalog_dates,1941-10-10 | 1946-12,data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf
1198,domestic-ocr/LOCALFULL:P3-010,NLC404-01J000514-72818_光明報_1947年12期.pdf · OCR检索草稿,domestic_ocr_pilot,conflicting_catalog_dates,1947 | 1947-01-08 | 1947-08-08,data/domestic/press_scans/NLC404-01J000514-72818_光明報_1947年12期.pdf
1199,domestic-ocr/LOCALFULL:P3-011,NLC416-01jh004281-12557_民主同盟文獻_1946.pdf · OCR检索草稿,domestic_ocr_pilot,conflicting_catalog_dates,1941-10-10 | 1944-10-10 | 1945 | 1945-01-15 | 1945-10 | 1945-10-16 | 1946 | 1946-12,data/domestic/sourcebooks/NLC416-01jh004281-12557_民主同盟文獻_1946.pdf
1200,domestic-ocr/LOCALFULL:P3-012,NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf · OCR检索草稿,domestic_ocr_pilot,conflicting_catalog_dates,1941-10-10 | 1946-12,data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf
1201,domestic-ocr/LOCALFULL:P3-013,NLC511-027032016010761-42571_中国民主同盟言论集.pdf · OCR检索草稿,domestic_ocr_pilot,conflicting_catalog_dates,1945-10 | 1945-10-11 | 1945-10-16,data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf
1202,domestic-ocr/LOCALFULL:P3-014,中国民主同盟临时全国代表大会宣言_公开转录.pdf · OCR检索草稿,domestic_ocr_pilot,no_unambiguous_document_or_publication_date,,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf
1203,domestic-ocr/LOCALFULL:P3-015,中国民主同盟历史文献_1941-1949_公开扫描.pdf · OCR检索草稿,domestic_ocr_pilot,no_unambiguous_document_or_publication_date,,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf
1206,domestic-ocr/LOCALFULL:P3-023,SSID-13679264_观察_第3卷第1-12期.pdf · OCR检索草稿,domestic_ocr_pilot,no_unambiguous_document_or_publication_date,,data/domestic/press_scans/SSID-13679264_观察_第3卷第1-12期.pdf
1212,domestic-ocr/LOCALFULL:P3-10429,NLC404-01J000514-10429_光明報_1946年8期.pdf · OCR检索草稿,domestic_ocr_pilot,conflicting_catalog_dates,1946 | 1946-08 | 1946-11-28,data/domestic/press_scans/NLC404-01J000514-10429_光明報_1946年8期.pdf
1213,domestic-ocr/LOCALFULL:P3-10430,NLC404-01J000514-10430_光明報_1946年9期.pdf · OCR检索草稿,domestic_ocr_pilot,conflicting_catalog_dates,1946 | 1946-08-20 | 1946-08-21,data/domestic/press_scans/NLC404-01J000514-10430_光明報_1946年9期.pdf
1224,domestic-ocr/LOCALFULL:P3-10515,NLC404-01J000514-10515_光明報_1949年2卷1期.pdf · OCR检索草稿,domestic_ocr_pilot,conflicting_catalog_dates,1949 | 1949-01-10 | 1949-05-10,data/domestic/press_scans/NLC404-01J000514-10515_光明報_1949年2卷1期.pdf
1227,domestic-ocr/LOCALFULL:P3-72821,NLC404-01J000514-72821_光明報_1949年2卷12期.pdf · OCR检索草稿,domestic_ocr_pilot,conflicting_catalog_dates,1949 | 1949-02-12 | 1949-06-16,data/domestic/press_scans/NLC404-01J000514-72821_光明報_1949年2卷12期.pdf
1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,domestic_page_ocr,no_unambiguous_document_or_publication_date,,data/domestic/sourcebooks/中国民主同盟临时全国代表大会宣言_公开转录.pdf
1291,domestic-page/SRC-257bb7be70,《中国民主同盟历史文献 1941—1949》公开扫描,domestic_page_ocr,no_unambiguous_document_or_publication_date,,data/domestic/sourcebooks/中国民主同盟历史文献_1941-1949_公开扫描.pdf
1292,domestic-page/NLC511-027032016010761-42571,《中国民主同盟言论集》,domestic_page_ocr,conflicting_catalog_dates,1945-10 | 1945-10-11 | 1945-10-16,data/domestic/sourcebooks/NLC511-027032016010761-42571_中国民主同盟言论集.pdf
1294,domestic-page/NLC511-027032013012333-19131,《民主同盟文獻》另一扫描本,domestic_page_ocr,conflicting_catalog_dates,1941-10-10 | 1946-12,data/domestic/sourcebooks/NLC511-027032013012333-19131_民主同盟文獻_alternate_scan.pdf
