repository_code,total,accepted,pending,L1,L2,L3,L4,LX
SAAC,234,234,0,174,60,0,0,0
NLC,150,149,1,139,10,1,0,0
WM,49,49,0,2,44,3,0,0
MM1941,27,27,0,0,0,27,0,0
MMHIST,23,23,0,0,23,0,0,0
QY,15,15,0,0,15,0,0,0
GXMM,10,10,0,1,0,0,9,0
DRNH,10,10,0,0,10,0,0,0
WS,8,6,2,2,0,2,0,4
MMSH,6,6,0,0,0,0,6,0
SHDPZ,6,0,6,0,0,6,0,0
FRUS,6,6,0,0,6,0,0,0
MX,6,0,6,0,0,6,0,0
XHB,4,1,3,3,0,1,0,0
MMC,4,4,0,0,4,0,0,0
GMD,4,4,0,0,4,0,0,0
MMZY,3,3,0,0,0,0,3,0
RMrb,3,3,0,0,3,0,0,0
RCL,3,0,3,0,0,3,0,0
NGD,3,3,0,0,3,0,0,0
93,3,3,0,0,3,0,0,0
TM,3,3,0,0,3,0,0,0
PP,3,3,0,0,3,0,0,0
HNMM,2,2,0,0,0,1,1,0
FJMM,2,2,0,0,0,0,2,0
93JS,2,2,0,0,0,0,2,0
BJDCMM,2,2,0,0,0,1,1,0
SCU,2,2,0,0,2,0,0,0
ZL1872,2,2,0,0,0,0,2,0
HKU,2,0,2,0,2,0,0,0
WH,2,0,2,2,0,0,0,0
ZLWEB,2,2,0,0,0,0,2,0
MH,2,2,0,0,0,1,1,0
CQ,2,2,0,0,1,1,0,0
JS,2,2,0,0,0,2,0,0
CJD,2,2,0,0,2,0,0,0
ZG,2,2,0,0,2,0,0,0
RMTZ,2,2,0,0,2,0,0,0
MGCH,2,2,0,0,2,0,0,0
RMZXW,2,2,0,0,2,0,0,0
ACAD,2,2,0,0,2,0,0,0
RMZXB,2,2,0,0,2,0,0,0
SH,2,2,0,0,2,0,0,0
DAJS,1,1,0,1,0,0,0,0
BJTZB,1,1,0,0,0,0,1,0
HBMJ,1,1,0,0,0,0,1,0
ZJMG,1,1,0,0,0,0,1,0
HLJMM,1,1,0,0,0,0,1,0
SHAC,1,1,0,0,0,0,1,0
MMYunnan,1,1,0,0,0,0,1,0
ZJMM,1,1,0,0,0,0,1,0
YADS,1,1,0,0,0,1,0,0
LNU,1,1,0,0,0,1,0,0
SHCM,1,1,0,0,0,1,0,0
SHPRESS,1,0,1,0,0,0,1,0
CPPCC,1,1,0,0,0,0,1,0
KMY,1,0,1,1,0,0,0,0
JFB,1,1,0,0,0,0,1,0
VOC,1,1,0,0,0,1,0,0
HB,1,1,0,0,0,1,0,0
GZ,1,1,0,0,0,1,0,0
SN,1,1,0,0,0,1,0,0
GD,1,1,0,0,0,1,0,0
ZJ,1,1,0,0,1,0,0,0
FJ,1,1,0,0,1,0,0,0
HE,1,1,0,0,0,1,0,0
HN,1,1,0,0,1,0,0,0
YN,1,1,0,0,0,1,0,0
SC,1,1,0,0,0,1,0,0
AH,1,1,0,0,0,1,0,0
BJ,1,1,0,0,0,1,0,0
MG,1,1,0,0,1,0,0,0
MJ,1,1,0,0,1,0,0,0
NJSH,1,1,0,0,0,1,0,0
WP,1,1,0,0,1,0,0,0
CDMM,1,1,0,0,1,0,0,0
BJMM,1,1,0,0,1,0,0,0
8P,1,1,0,0,1,0,0,0
SCIO,1,1,0,0,1,0,0,0
XINHUA,1,1,0,0,1,0,0,0
CAIXIN,1,1,0,0,1,0,0,0
ZSY,1,1,0,0,1,0,0,0
CSSN,1,1,0,0,1,0,0,0
CPC,1,1,0,0,1,0,0,0
