cluster_id,canonical_candidate_id,duplicate_candidate_id,equal_dim,canonical_title,duplicate_title,canonical_period,duplicate_period,canonical_repo,duplicate_repo,canonical_l1_l4,duplicate_l1_l4,canonical_availability,duplicate_availability,has_diff_archive,diff_archive_note,keep_policy
DCL-0001,domestic:SAAC:1949-index-c01,domestic:SAAC:catalog-05-05_01,archive|title|url,中国人民政治协商会议第一届全体会议会场,中国人民政治协商会议第一届全体会议会场,1946-1950,1946-1950,SAAC,SAAC,L1,L1,surrogate_online,surrogate_online,no,no diff in archive fields,skip_ocr_dupe_or_link_only
DCL-0002,domestic:GXMM:dagongbao-dissolution-report-1947-11-06,domestic:GXMM:dagongbao-tianjin-dissolution-1947-11-06,archive|title|url,民盟今日解散·张澜等昨开会决定·通告各地盟员停止政治活动,《民盟宣布解散》——《大公报》天津版第2版,1946-1950,1946-1950,GXMM,GXMM,L4,L4,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-middle-route-again-deng,archive|title|url,《光明報》新二十二號（1947年8月1日）,再論中間路線問題,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-one-year-war-result-lu,archive|title|url,《光明報》新二十二號（1947年8月1日）,打了一年多以後的結果,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-cry-recall-xingzhi-deng,archive|title|url,《光明報》新二十二號（1947年8月1日）,哭憶行知,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-gongpu-still-beside-zhang,archive|title|url,《光明報》新二十二號（1947年8月1日）,公樸，你還在我的身邊,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-learn-taofen-spirit-hu,archive|title|url,《光明報》新二十二號（1947年8月1日）,習韜奮精神,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-patriotic-poet-wen-hong,archive|title|url,《光明報》新二十二號（1947年8月1日）,愛國詩人聞一多,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-hengshe-tonghua-sa,archive|title|url,《光明報》新二十二號（1947年8月1日）,由衡舍桐花談起,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-action-memorial-peng,archive|title|url,《光明報》新二十二號（1947年8月1日）,用行動來紀念鄒李聞陶四先生,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-double-effort-people-shen,archive|title|url,《光明報》新二十二號（1947年8月1日）,加倍為人民事業努力,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-wipe-out-killers-li,archive|title|url,《光明報》新二十二號（1947年8月1日）,撲滅殺人的兇手,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-pass-the-test-hu-sheng,archive|title|url,《光明報》新二十二號（1947年8月1日）,過關,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-liwen-anniversary-qian,archive|title|url,《光明報》新二十二號（1947年8月1日）,李聞週年祭,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-painful-memorial-chen,archive|title|url,《光明報》新二十二號（1947年8月1日）,沉痛紀念鄒李聞陶四先生,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-mourn-and-spur-song,archive|title|url,《光明報》新二十二號（1947年8月1日）,悼念逝者，鞭策自己,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-dare-not-forget-chen,archive|title|url,《光明報》新二十二號（1947年8月1日）,不敢忘,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-dictators-killed-them-ye,archive|title|url,《光明報》新二十二號（1947年8月1日）,是獨裁者殺死了他們！,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-gongpu-rest-in-peace-simu,archive|title|url,《光明報》新二十二號（1947年8月1日）,公樸，安眠吧！,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-one-falls-thousands-rise-lu,archive|title|url,《光明報》新二十二號（1947年8月1日）,一個倒下去千百個起來,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-history-essays-shen-gong,archive|title|url,《光明報》新二十二號（1947年8月1日）,讀史隨筆,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-shantou-black-terror,archive|title|url,《光明報》新二十二號（1947年8月1日）,汕頭的黑色恐怖,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0003,domestic:NLC:guangmingbao-1947-issue22,domestic:NLC:guangmingbao-1947-issue22-meixian-recent-look,archive|title|url,《光明報》新二十二號（1947年8月1日）,梅縣近貌,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0004,domestic:NLC:guangmingbao-1946-issue11,domestic:NLC:guangmingbao-1946-issue11-anti-one-party-constitution,archive|title|url,《光明報》新十一號（1946年9月13日）,反对一党独裁的宪法！,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0005,domestic:NLC:dagongbao-shanghai-1947-11-06-page2-full,domestic:NLC:dagongbao-tianjin-1947-11-06-page2-full,archive|title|url,民盟今日解散·张澜等昨开会决定·通告各地盟员停止政治活动,民盟宣布解散·公告与政府洽商之经过·通知盟员停止政治活动·一律免除登记可享合法自由,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0006,domestic:NLC:minxian-v1n9-1944-11-20,domestic:NLC:minxian-v1n9-democracy-vs-nondemocracy-1944-11-20,archive|title|url,《民憲》第一卷第九期,民主政治與非民主政治,1944-1945,1944-1945,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0007,domestic:NLC:guangmingbao-1946-issue11-zhang-lan-shanghai-welcome-speech,domestic:NLC:guangmingbao-1946-issue11-china-at-1947-threshold,archive|title|url,张澜在上海各人民团体欢迎茶会演讲词,中国，在一九四七年的门槛上,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0007,domestic:NLC:guangmingbao-1946-issue11-zhang-lan-shanghai-welcome-speech,domestic:NLC:guangmingbao-1946-issue11-truman-december-18-statement,archive|title|url,张澜在上海各人民团体欢迎茶会演讲词,评杜鲁门总统十二月十八日的声明,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0008,domestic:NLC:dagongbao-hankow-1947-11-04-zhang-qun-notice,domestic:NLC:dagongbao-hankow-1947-11-04-league-dissolution-meeting,archive|title|url,张群书面通知民盟：应允保障盟员安全,民盟将召开中常会讨论解散,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
DCL-0009,domestic:NLC:guangmingbao-1946-issue01-refounding-editorial,domestic:NLC:guangmingbao-1946-issue01-shen-zhiyuan-minmeng-current-situation-proposal,archive|title|url,复刊词,民盟对当前时局的主张,1946-1950,1946-1950,NLC,NLC,L1,L1,full_item_online,full_item_online,no,title differs but other keys match,skip_ocr_dupe
