candidate_id,period,repository_code,repository_name,title,document_date,authenticity_level_accepted,evidence_grade,source_url,source_family,source_kind,citation_ready,review_status,catalog_reference,sha256,page_count,cluster_id,cluster_role,needs_ocr,notes
domestic:MMSH:web-history,1944-1945,MMSH,,,,L4,L4_secondary,https://mng.minmengsh.gov.cn/detailpage/mmgk-3da6fe99-f684-11ec-95d4-94c691be0bb6.html,民盟自身与盟史,book_or_assembly,no,accepted,,,0,,,no,官方历史沿革页面，包含1945—1947年上海民盟组织叙述；属于官方二次呈现，不是原始档案。
domestic:MMSH:web-office-history,1944-1945,MMSH,,,2024-05-12,L4,L4_secondary,https://paper.minmengsh.gov.cn/html/2024-05/12/content_144526_17450774.htm,民盟自身与盟史,book_or_assembly,no,accepted,,,0,,,no,官方数字报回顾上海民盟机关地点和早期活动线索，属于二次叙述。
domestic:MMSH:web-political-cooperation,1946-1950,MMSH,,,2024-10-12,L4,L4_secondary,https://paper.minmengsh.gov.cn/html/2024-10/12/content_144526_17882979.htm,民盟自身与盟史,book_or_assembly,no,accepted,,,0,,,no,官方数字报研究文章，提供民盟与政治协商关系的二次叙述和检索词。
domestic:MMSH:web-liukaiqu,1946-1950,MMSH,,,2024-10-12,L4,L4_secondary,https://paper.minmengsh.gov.cn/html/2024-10/12/content_144526_17882981.htm,民盟自身与盟史,book_or_assembly,no,accepted,,,0,,,no,官方数字报文章回顾刘开渠1946—1949年在上海的活动，正文包含具体时间、地点和人物线索，属于二次叙述。
domestic:DAJS:guangming-suzhou-1949,1946-1950,DAJS,,,1949-04-27,L1,L1_needs_review,https://www.dajs.gov.cn/art/2026/2/19/art_123_45642.html,国内党政机关与档案馆,other,no,accepted,,,0,,,yes,苏州市档案馆官方页面标明保管单位，并展示1949年4月27日中国民主同盟苏州支部印刷出版的《光明报》号外及其版面图片；这是具体原件的官方数字替身，但不是上海档案。
domestic:SAAC:1948-04-30-01,1946-1950,SAAC,,,1948-04-30,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_01.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题的具体条目页，题名和形成日期明确，并提供原件图片入口。
domestic:SAAC:1948-04-30-02,1946-1950,SAAC,,,1948-04-30,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_02.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体电报条目，题名和1948年4月30日日期明确。
domestic:SAAC:1948-05-01-01,1946-1950,SAAC,,,1948-05-01,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_04.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体电报条目，题名、收发关系和日期明确。
domestic:SAAC:1948-08-01-01,1946-1950,SAAC,,,1948-08-01,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_06.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体电报条目，题名和1948年8月1日日期明确。
domestic:SAAC:1948-10-01-01,1946-1950,SAAC,,,1948-10-01,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_07.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体电报条目，题名、形成者和日期明确。
domestic:SAAC:1948-10-08-01,1946-1950,SAAC,,,1948-10-08,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_08.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体电报条目，题名、收发关系和日期明确。
domestic:SAAC:1949-01-08-01,1946-1950,SAAC,,,1949-01-08,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_12.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体会议文件条目，题名和1949年1月8日日期明确。
domestic:SAAC:1949-02-01-01,1946-1950,SAAC,,,1949-02-01/1949-02-02,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_14.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体电报条目，题名、参与人数和日期范围明确。
domestic:SAAC:1949-02-14-01,1946-1950,SAAC,,,1949-02-14,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_15.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体电报草稿条目，题名和1949年2月14日日期明确。
domestic:SAAC:1949-03-12-01,1946-1950,SAAC,,,1949-03-12/1949-03-23,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/01/01_16.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体会议文件条目，题名和日期范围明确。
domestic:SAAC:1949-09-21-01,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_02.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体名册条目，题名和1949年9月21日日期明确，直接涉及各单位及代表构成。
domestic:SAAC:1949-09-21-02,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_03.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体签名册条目，题名和日期明确，适合核验代表出席与签名信息。
domestic:SAAC:1949-09-21-03,1946-1950,SAAC,,,1949-09-21/1949-09-30,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_06.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体会议程序条目，日期覆盖1949年9月21日至30日。
domestic:SAAC:1949-09-21-04,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_07.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体主席团名单条目，题名和日期明确。
domestic:SAAC:1949-09-21-05,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_11.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体讲话条目，形成者、民盟身份和日期明确。
domestic:SAAC:1949-09-21-06,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_18.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体会议记录条目，题名和日期明确。
domestic:SAAC:1949-09-21-07,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_20.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体会议纪要条目，题名和日期明确。
domestic:SAAC:1949-09-22-01,1946-1950,SAAC,,,1949-09-22,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_23.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体报告条目，题名、形成者和日期明确。
domestic:SAAC:1949-09-22-02,1946-1950,SAAC,,,1949-09-22,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_24.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体报告条目，题名、形成者和日期明确。
domestic:SAAC:1949-09-23-01,1946-1950,SAAC,,,1949-09-23,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_39.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体会议记录条目，题名和日期明确。
domestic:SAAC:1949-09-25-01,1946-1950,SAAC,,,1949-09-25,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_50.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体委员会会议记录条目，题名和日期明确。
domestic:SAAC:1949-09-26-01,1946-1950,SAAC,,,1949-09-26,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_56.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体书信条目，形成者、收信人和日期明确。
domestic:SAAC:1949-09-27-01,1946-1950,SAAC,,,1949-09-27,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_58.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体正式会议文件条目，题名和通过日期明确。
domestic:SAAC:1949-09-27-02,1946-1950,SAAC,,,1949-09-27,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_59.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体正式会议文件条目，题名和通过日期明确。
domestic:SAAC:1949-09-28-01,1946-1950,SAAC,,,1949-09-28,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_65.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体委员会会议记录条目，题名和日期明确。
domestic:SAAC:1949-09-29-01,1946-1950,SAAC,,,1949-09-29,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_68.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体正式文件条目，题名和通过日期明确，是新政协建国文件核心记录。
domestic:SAAC:1949-09-29-02,1946-1950,SAAC,,,1949-09-29,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_71.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体会议记录条目，题名和日期明确。
domestic:SAAC:1949-09-30-01,1946-1950,SAAC,,,1949-09-30,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_80.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体文件草案条目，题名和日期明确。
domestic:SAAC:1949-09-30-02,1946-1950,SAAC,,,1949-09-30,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_82.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体委员名单条目，题名和日期明确，可用于核验民盟代表进入政协全国委员会情况。
domestic:SAAC:1949-09-30-03,1946-1950,SAAC,,,1949-09-30,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_84.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,中央档案馆官方专题具体闭幕词条目，题名、形成者和日期明确。
domestic:SAAC:1949-index-c01,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_01.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,DCL-0001,canonical,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c02,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_04.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c03,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_05.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c04,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_08.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c05,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_09.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c06,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_10.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c07,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_12.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c08,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_13.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c09,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_14.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c10,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_15.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c11,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_16.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c12,1946-1950,SAAC,,,1949-09-21,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_17.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c13,1946-1950,SAAC,,,1949-09-22,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_25.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c14,1946-1950,SAAC,,,1949-09-22,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_26.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c15,1946-1950,SAAC,,,1949-09-22,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_27.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c16,1946-1950,SAAC,,,1949-09-22,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_28.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c17,1946-1950,SAAC,,,1949-09-22,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_29.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c18,1946-1950,SAAC,,,1949-09-23,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_30.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c19,1946-1950,SAAC,,,1949-09-23,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_31.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c20,1946-1950,SAAC,,,1949-09-23,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_32.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c21,1946-1950,SAAC,,,1949-09-23,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_33.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c22,1946-1950,SAAC,,,1949-09-23,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_34.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c23,1946-1950,SAAC,,,1949-09-23,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_41.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
domestic:SAAC:1949-index-c24,1946-1950,SAAC,,,1949-09-24,L1,L1_needs_review,https://www.saac.gov.cn/daj/gqzt/content/05/05_42.html,国内党政机关与档案馆,archive_scan,no,accepted,,,0,,,yes,国家档案局官方具体条目页可访问，题名和形成日期明确，并提供公开图片入口；暂按官方影印/数字替身候选处理。
