task_id,candidate_id,title,period,repository_code,repository_name,current_level,gap_type,action,priority,estimated_minutes,source_url
NR-0001,domestic:HKU:guangmingbao-1941-microform-holdings,《光明報》1941年9月18日—12月12日馆藏缩微胶卷记录,1941-1943,HKU,香港大学图书馆特别馆藏,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://lib.hku.hk/sites/all/files/files/hkspc/pathfinders/newspaper_1940s_update_072021.pdf
NR-0002,domestic:HKU:guangmingbao-1941-microform-holdings,《光明報》1941年9月18日—12月12日馆藏缩微胶卷记录,1941-1943,HKU,香港大学图书馆特别馆藏,,online_only_catalogue,查看图书馆/档案馆 OPAC 是否能调阅原文；若可下载，登记 URL,p2,10,https://lib.hku.hk/sites/all/files/files/hkspc/pathfinders/newspaper_1940s_update_072021.pdf
NR-0003,domestic:HKU:guangmingbao-1941-microform-holdings,《光明報》1941年9月18日—12月12日馆藏缩微胶卷记录,1941-1943,HKU,香港大学图书馆特别馆藏,,access_login,注册账号 / 馆内访问 / cheer-only 接力；记录 access 状态,p2,15,https://lib.hku.hk/sites/all/files/files/hkspc/pathfinders/newspaper_1940s_update_072021.pdf
NR-0004,domestic:HKU:guangmingbao-1941-microform-holdings,《光明報》1941年9月18日—12月12日馆藏缩微胶卷记录,1941-1943,HKU,香港大学图书馆特别馆藏,,level_review,升级或降级当前等级；提供理由,p1,5,https://lib.hku.hk/sites/all/files/files/hkspc/pathfinders/newspaper_1940s_update_072021.pdf
NR-0005,domestic:HKU:guangmingbao-primo-record,《光明報》1941—1949港大 JULAС/Primo 书目记录,1941-1943,HKU,香港大学图书馆 Special Collections；JULAC/Primo,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,https://julac.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=HKU_IZ21440249790003414&vid=HKU&lang=en_US
NR-0006,domestic:HKU:guangmingbao-primo-record,《光明報》1941—1949港大 JULAС/Primo 书目记录,1941-1943,HKU,香港大学图书馆 Special Collections；JULAC/Primo,,online_only_catalogue,查看图书馆/档案馆 OPAC 是否能调阅原文；若可下载，登记 URL,p2,10,https://julac.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=HKU_IZ21440249790003414&vid=HKU&lang=en_US
NR-0007,domestic:HKU:guangmingbao-primo-record,《光明報》1941—1949港大 JULAС/Primo 书目记录,1941-1943,HKU,香港大学图书馆 Special Collections；JULAC/Primo,,access_login,注册账号 / 馆内访问 / cheer-only 接力；记录 access 状态,p2,15,https://julac.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=HKU_IZ21440249790003414&vid=HKU&lang=en_US
NR-0008,domestic:HKU:guangmingbao-primo-record,《光明報》1941—1949港大 JULAС/Primo 书目记录,1941-1943,HKU,香港大学图书馆 Special Collections；JULAC/Primo,,level_review,升级或降级当前等级；提供理由,p1,5,https://julac.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=HKU_IZ21440249790003414&vid=HKU&lang=en_US
NR-0009,domestic:SHPRESS:zhanglan-shidai-ribao-1947-11-07-lead,张澜个人书面谈话（1947-11-07《时代日报》等出处线索）,1946-1950,SHPRESS,上海《时代日报》等（后期盟史与研究引文）,,archive_id_missing,补全全宗 / 系列 / 案卷 / 件号；如无档号，建立临时引用并标注,p1,8,http://www.sdmm.org.cn/bencandy.php?fid=33&id=7998
NR-0010,domestic:SHPRESS:zhanglan-shidai-ribao-1947-11-07-lead,张澜个人书面谈话（1947-11-07《时代日报》等出处线索）,1946-1950,SHPRESS,上海《时代日报》等（后期盟史与研究引文）,,level_review,升级或降级当前等级；提供理由,p1,5,http://www.sdmm.org.cn/bencandy.php?fid=33&id=7998
