candidate_id,title,event_date,institution,original_url,page_url,source_type,layer_label,access_status,mime,file_size_bytes,sha256,page_count,page_chain,judgment_basis,gap_theme,concrete_class,probe_status,probe_error,wave,citation_ready,human_verified,verified_at
W6-HG-COMMON-PROGRAM,共同纲领（维基文库）,1949-09-29,维基文库,https://zh.wikisource.org/wiki/中國人民政治協商會議共同綱領,https://zh.wikisource.org/wiki/中國人民政治協商會議共同綱領,primary_legal_text_transcript,primary_legal_text_public,public_remote_accessible,text/html; charset=UTF-8,,,,https://zh.wikisource.org/wiki/中國人民政治協商會議共同綱領,公开法律文本；非影像。,1948-1949_cluster,concrete_public_text_remote,200,,6,False,False,2026-08-02T20:44:54+08:00
W6-HG-FOUNDING-WS,政团同盟成立宣言（维基文库）,1941-10-10,维基文库,https://zh.wikisource.org/wiki/中國民主政團同盟成立宣言,https://zh.wikisource.org/wiki/中國民主政團同盟成立宣言,public_transcript_of_primary_text,transcript_not_scan,public_remote_accessible,text/html; charset=UTF-8,,,,https://zh.wikisource.org/wiki/中國民主政團同盟成立宣言,转录≠原报。,1941-1946_early_mid,concrete_public_text_remote,200,,6,False,False,2026-08-02T20:44:54+08:00
W6-LEAD-SEPT-T2,Sept T2 中央社院请求,1941-1949,中央社会主义学院,,work/domestic/HARD_GAPS_SEPT_PACKAGE_20260802/T2_中央社会主义学院_院史与三中全会_request_draft_20260802.md,archive_request_lead,lead_only_archive_request,lead_only_no_local_bytes,,,,,work/domestic/HARD_GAPS_SEPT_PACKAGE_20260802/T2_中央社会主义学院_院史与三中全会_request_draft_20260802.md,人工请求模板。,1948-1949_cluster,lead_only,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LEAD-SEPT-T5,Sept T5 全国政协/统战请求,1949,全国政协/中央统战部,,work/domestic/HARD_GAPS_SEPT_PACKAGE_20260802/T5_全国政协中央统战部_1949_政协筹备与统战档案_request_draft_20260802.md,archive_request_lead,lead_only_archive_request,lead_only_no_local_bytes,,,,,work/domestic/HARD_GAPS_SEPT_PACKAGE_20260802/T5_全国政协中央统战部_1949_政协筹备与统战档案_request_draft_20260802.md,人工请求模板。,1948-1949_cluster,lead_only,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LEAD-B02-CPPCC-DOCS,一届政协文献选编 lead,1949,人民政协出版社,,work/domestic/OFFICIAL_RESEARCH_CODEX_PACKET_20260802/B_02_1948_49_LEADS.jsonl,publication_acquisition_lead,lead_only_publication,lead_only_no_local_bytes,,,,,work/domestic/OFFICIAL_RESEARCH_CODEX_PACKET_20260802/B_02_1948_49_LEADS.jsonl,出版物 lead；未购前不得写已下载。,1948-1949_cluster,lead_only,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-001,NLC511-012031312030001-21905_大公報_第113卷.pdf,from_filename_pending,local_scan,,local://data/domestic/press_scans/NLC511-012031312030001-21905_大公報_第113卷.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,92180675,31060177686a64a99f1c8b464d972d3a5271f00c6ee47e8616b5340b8f771c84,232,local:data/domestic/press_scans/NLC511-012031312030001-21905_大公報_第113卷.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,1947_cluster,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-002,NLC511-012031312030001-21906_大公報_第114卷.pdf,from_filename_pending,local_scan,,local://data/domestic/press_scans/NLC511-012031312030001-21906_大公報_第114卷.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,111330592,80d5daea555bfa6e5df03baaa71b4b0dc251510adb89752ab93da3ce932bb0bd,248,local:data/domestic/press_scans/NLC511-012031312030001-21906_大公報_第114卷.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,1947_cluster,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-005,domestic:SCU:democratic-league-anti-civil-war-talk-1945-11-02_中国民主同盟发言人发表反对内战的谈话_070.pdf,from_filename_pending,local_scan,,local://data/domestic/official_research_public_20260730/pdf/domestic:SCU:democratic-league-anti-civil-war-talk-1945-11-02_中国民主同盟发言人发表反对内战的谈话_070.pdf,local_primary_or_compiled_scan,local_scan_unclassified,local_file_verified,application/pdf,37533387,9fb353e97db9bff3781da23c382ea46bce3393b4ffe3a794b64f028a1ed0eefc,349,local:data/domestic/official_research_public_20260730/pdf/domestic:SCU:democratic-league-anti-civil-war-talk-1945-11-02_中国民主同盟发言人发表反对内战的谈话_070.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,1941-1946_early_mid,concrete_local_scan,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-006,commons_NLC_民主同盟二中全会政治报告.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0007_20260801/pdf/commons_NLC_民主同盟二中全会政治报告.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,1246888,eec17a166b2ca7cf25d64d47a61344d64f83b40f14871d261736ab6db1f56293,30,local:data/domestic/grok_cycle_0007_20260801/pdf/commons_NLC_民主同盟二中全会政治报告.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
W6-LOCAL-007,commons_NLC_中国民主同盟概况.pdf,from_filename_pending,local_scan,,local://data/domestic/grok_cycle_0011_20260801/pdf/commons_NLC_中国民主同盟概况.pdf,local_primary_or_compiled_scan,contemporaneous_primary_scan,local_file_verified,application/pdf,1604407,f160eadb7f0e171874c9a60ba2ae3de5c5bf240a0fc8f4d65d2a0275d3e7c35c,54,local:data/domestic/grok_cycle_0011_20260801/pdf/commons_NLC_中国民主同盟概况.pdf,Wave6 新本地绑定；人工确认 period/是否汇编。,other,concrete_primary_scan_local,,,6,False,False,2026-08-02T20:44:54+08:00
